"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"
"g1"	-9.051847821	-15.8290032866492	-6.27375745660777	-2.5327329775869	-12.3626563827757	-19.3246357622316	-4.399433185193	20.4075857183389	-10.6910443230867	-9.53776588511247	-11.225009954413	-3.49557279824906	9.08225900180917	-7.85709961619535	2.48263296882134	13.2540576637005	9.72023724919488	8.95347958147246	-1.71655298586506	13.0523324402326	2.28744346736489	2.93714495265457	7.63736875455209	9.88407963551811	8.20417457734722	-7.95093019593858	9.42397792466699	-8.16498614697849	12.2765459537238	1.87346869715952	-11.7324884762854	-5.18982889836022	-11.1846875248995	-5.55406896444481	18.1002836582343	11.0081655200255	2.28602004361654	6.60135977427561	5.05817780067365	13.7368791449764	-0.309035583350316	-0.0113534928404407	10.9610527319492	-6.61585652980366	0.890998802421936	-7.84389048168497	0.922940519264654	2.75611307708075	-5.24338101881686	-12.6688550434353	-9.34168464282146	11.0946745991666	-6.73122000929242	-3.7631224031012	-4.0981775904593	6.37541355143646	6.13961122527437	6.36205960471039	11.1772907637206	-11.9958986621141	-2.79005855625778	-10.471554203558	-10.1438227906873	-26.6403791653182	17.1629146824064	6.66753614409628	-0.795528013580117	-4.36758303022521	-0.429269467653413	11.0262059250839	-14.3611078016996	5.19544290604477	17.1691869491464	13.4441490653379	-11.1897113920442	0.841186231036704	-10.3442868036561	-2.35371967620217	12.2910583193493	18.2894194019968	10.05794493876	0.344600992637806	1.99336687211731	-17.6214501237737	12.4806729685231	1.70983309560564
"g2"	-6.62299404681718	-0.874744209512869	5.79085384776866	3.21479988417814	10.4820427109514	-20.054515137249	-1.74997310939964	0.118056256950449	0.174368666672827	0.770039317470725	-5.49935850688225	7.23455472159093	-9.0950906376243	8.10891155445905	-18.5588044679713	3.34722617775774	3.16700662557588	-3.7826525367935	-25.7140586844924	-21.4178549579375	-10.268116093928	-16.724901008784	6.57153236529238	-8.76751882146915	7.60900903398344	1.76962140685382	-7.90004578530761	-4.72610032757802	-3.13575296607667	1.83865314347458	6.96179437475863	6.95833212562551	-1.01891570620577	14.7919683231575	-7.29184563627979	-8.81169732619128	-10.1868316201825	-15.7068312922107	-0.923661683515423	0.123341777387083	-8.28808048463567	-8.18492017777112	12.0538822081671	-12.8041878968476	-3.72149471735651	3.41379522685823	-9.08055689678363	-5.54247711387228	10.4216402504904	-21.2624393414333	5.88581347636931	-14.313116422515	2.26178634924471	-3.06994300411644	1.16235523127337	3.74890685840287	-4.74576635344471	3.72560264365127	24.3944981135487	-9.06598230324929	1.58687733940843	5.07574447350124	-1.38653951623357	-2.86820596001017	8.89878901069119	-8.62568454400067	-3.07438035276193	-5.69346259763137	-2.2381428841485	8.88052534946931	1.42267885129905	19.1764947857471	7.01888948968463	-0.540926860774566	-6.8972460784425	-9.04728229860281	12.4653100465708	9.47915444946784	-1.38856391468863	2.4947074061644	5.24722990458373	-0.934969792415078	3.37359025764556	9.48864829708963	-5.48028974099106	7.92939446544984
"g3"	-14.1139785298275	-2.60750617843381	-19.9544713899069	-1.62742996194128	-7.96906581194589	-4.05094791761334	14.8203473169405	-3.75359262052533	8.44762599909074	-11.1101372379026	6.91169182556054	20.880531705706	-0.57850130240695	-7.44345942979612	-10.9580262420476	2.92073074848828	-7.83342300191501	11.6616602909126	-6.66873205608327	-6.04628978885837	-4.36728131365436	-6.59286642557232	-1.0700324742272	-6.87608911012604	-14.2842349455602	1.92099600587269	19.5288362396723	10.9077478498462	-11.7899358932873	7.39404424168294	-15.2899217702422	-8.24872668078243	-5.70637143178309	-9.48845235365145	-10.4965653729268	-13.1983424023449	-7.2629513219309	7.67001592798672	5.17970879904116	-9.28511140935708	-2.53180181998909	-25.715113057129	-1.04148509585669	-8.7556318242747	7.17596161717465	4.69195822055766	-2.06267443380004	-14.1011637711415	-7.11445102327072	0.408618819986499	4.56799149585147	-23.4374787220408	-2.09809470887349	6.73609234343437	0.0319295993252414	-12.8387632446448	-3.30655335823638	-2.35523237804831	2.93836290250777	-6.99031524464109	22.2232071572767	5.57444953960477	-11.7132814134535	19.6431282902662	2.3767391199501	5.59067571090227	-12.6300489482489	-7.00392220533121	-2.87106272965873	3.37972663249585	-1.21528203774502	6.32875877195029	-0.695642243816112	-9.37680636652833	8.44580434436815	-13.1675840068225	18.3959555962554	4.57076807102875	20.1963035733635	7.20541731324028	17.7213501261082	4.09483679066786	2.75597384049657	2.3133305606768	2.26272464389914	-4.44200461588581
"g4"	-3.90361097616216	-2.99945580832806	5.75893258304461	-6.50363542968753	-8.03646994626362	8.86041451466435	-23.2902056491791	-9.09490973678583	8.75114263937495	16.9352527998889	1.46094094192618	-16.239412443357	-5.69508325761065	0.817679556622452	-0.54870750789391	5.07692224422625	-17.3055188291168	-14.1025196850243	-1.81290912842148	4.80343296759373	-9.81295790967953	-3.21040906305626	27.3431105484313	-2.44006788298105	-8.09282255032067	10.0834998996403	13.937336099745	-9.37773903150446	-7.87471694346414	2.42426101424814	-1.73398267025924	6.01415361781088	-0.269377512735906	8.02428203284239	-5.19441363542019	-5.26716230050611	17.2581109570356	14.21987952852	-10.8696668354562	-13.6497155193277	15.7969741593692	-14.7404430004482	-3.58138304294178	9.1711471811493	19.8043723763148	-17.1100730411769	6.3261619283841	-10.0997434566152	-6.74010389099501	24.3865793277244	-3.24929013663263	-6.89155644015517	-1.43748079504803	-7.70230571315599	3.53276112785624	8.23421044084495	-8.753129603344	-6.97634804051214	-7.12990889542294	-11.9485132964299	14.5761933260273	1.06520429545125	-2.87237647283818	4.45527306951936	2.53412084354704	-9.53020679455439	6.17127944885549	-3.31803593147179	-3.783170283489	6.61004527790624	14.3967932795216	14.0766234550795	-3.10380453498853	-3.60731467678204	-4.13886056020676	-4.81985673320148	-2.7631492602529	-0.88979892066584	-10.5829600745308	-5.61445085010936	4.46083723700917	-7.18907313457756	-1.08138570243974	13.7308866720645	-7.4982346738101	4.65935290566781
"g5"	2.55658863189961	-3.85141747313236	9.10045145664435	-8.47468164793592	-3.2256135975303	25.6607664065794	-3.44766089194657	4.15176947517563	4.01813201009401	5.70716592697465	9.6932696526824	-9.04903328907046	-0.336961494037639	-10.1394777559805	6.5449878927725	16.8237423580183	-10.5079747004167	8.16956638520472	-11.7447357702345	-3.49366640298054	-0.657418574328053	-7.95504799034406	11.5199775730062	-5.71362605388344	-14.4404489203469	-22.6774271263834	-6.65640562964495	-2.00179080121056	-2.01150704244113	-6.18771594405806	0.0959595123725638	15.9530160743643	7.18648747835787	6.46697763815493	-6.73384201031086	2.44167296492124	-6.39143257915324	17.0228422869855	3.22730543172536	-6.91336985614586	0.810561816772646	16.8230186180637	1.87897194199805	13.2196763551585	1.60359647791453	7.72372293956377	5.94880319609092	12.1280295972789	-8.4625254579321	0.670612953449926	14.3928011274635	0.256515913470234	-0.767890930146356	-25.5939692908761	-5.05511542831088	-14.5230828019555	-3.55032953685521	-17.3595293623699	13.508968093955	23.655326944962	-1.087023762693	-1.08335368440321	18.3049144436252	-9.72012004804171	-10.911680525901	5.10941011315813	-0.928100555328655	9.89065174131147	11.4676196442852	1.80698137975373	-1.63544166812305	-9.39127800778043	12.0369351689311	6.72163648476615	10.6562230282326	5.69476886298445	17.8008735596565	-4.2980908101006	-14.549092113214	1.82781523135817	-11.7377814452955	-7.77073099739181	4.95509469249333	-22.098032674798	-8.02808169925851	-0.344844151620129
"g6"	6.17628285958813	14.0809869506474	-6.81833629988061	-15.1228178877861	-0.10437667961488	5.6078059230032	-7.73871888540448	-12.7487271636514	-4.16792127849324	-1.02308020655688	13.6335451291169	-1.97587142870545	5.18632029956452	-3.71536540002157	4.76891213224927	10.6172669489587	3.02111589456244	6.41092528982566	13.33567556552	2.83134234603719	-1.50432047457063	-2.92413846850647	-5.31259115776398	-13.0601484784679	-12.8913603559673	-7.61683979385533	16.5639587588891	-1.88518302973587	1.47715799254066	10.5431685325274	-11.3784433101071	-7.05369596524315	-9.36324848380992	5.30591463171764	1.7735862859118	1.3255240505829	-5.95106857503072	2.29587467553012	-5.77759441541621	-4.16018589878703	4.6909015010093	-5.24655028748565	12.5735362783258	7.94768932197383	-4.34799633579788	-6.35772255991398	-10.3808766212165	2.84573247343506	19.6612727665411	2.97340436309987	0.179112622802018	0.0192797378780352	3.80740317108101	-3.2913214692551	24.8238254728016	10.4570310796649	-25.8164126335714	-9.30883830046403	5.05756931342629	11.4933299490702	14.4287867373271	-15.9189419861177	-8.40036292868689	-10.2843925353309	2.04318316928162	-0.762960112342384	14.4926907517361	9.66653918943713	1.59252114700484	0.642374329418942	8.39525865943492	-3.14289212396663	4.27161036242402	-5.69776953631269	4.36113069084011	-1.0463148869278	0.6545662493573	10.0996262551201	1.55654666927395	7.27428252085879	5.87713435254691	6.22851745457481	-6.05887057405997	16.5802471674913	-12.9106688468761	12.2992781021621
"g7"	11.8010922646731	-6.97184227976732	-8.19547618929821	20.1245934261885	-13.3063702187565	-2.97069882103327	-11.4591671749625	11.4211973019687	15.2020640911209	7.16738199765915	6.73118973853475	-7.45182961395959	-2.75999308215611	3.76750651875978	5.6293546117338	7.8159958278721	-9.92046825569813	1.36667468422249	-8.41789569258639	-7.70405828138937	-16.9349547391158	-22.4352783184211	-5.80224837593607	-13.7409771564888	12.9010868488427	-6.64472638754382	-1.45480984997798	-6.66540357390452	-13.6068594348395	-19.0536409541415	-2.98806762059667	10.711741763478	-6.16119991442542	-26.8543194861835	6.65780449816407	-0.159587103264889	2.71338741823134	-3.00948935014158	-16.6479916441472	0.165297178566411	-1.09737589025663	-10.035220185573	-8.09678951158321	12.3698748570158	2.8241642549328	12.5895104302444	-7.18178562268592	-18.8260070456944	0.862656207847272	-8.16209290836711	7.0837663047131	7.84910272075336	5.33225075840896	5.28053580283854	2.228650343984	10.3003375394287	-12.6539285424441	-8.09081160330941	0.49095116566736	1.11432052390636	11.8296056147225	-12.8143923121877	17.5980225826487	-0.303960887773217	-14.9645071692659	-1.29079388321668	-7.0321258778363	2.32681588301944	-10.9548195359887	-13.115557263479	-3.32407999153326	0.570907394890381	0.17288354625992	-11.2743740010058	-7.58616128205671	16.4366145982979	12.2118414094174	-8.31282067612	-11.0746318258349	10.9520913740394	-3.50238661974613	2.83507108168142	-2.12088630864029	4.20824543105722	4.57770083249831	5.3382551836741
"g8"	12.9227885290444	3.83932597896207	-13.201834461601	-4.82300354332819	9.43862059298661	-3.359225858042	-1.19168215269997	-18.8123992509037	3.74487920925341	22.617421138306	-5.11042526930583	0.950151261119619	-7.32738702259657	-5.48658002992264	6.12859074208578	-5.07526835124105	7.83460622435178	13.5944537226166	4.05424258125598	17.3829960512037	-9.63217404101561	7.69380419092789	0.711684993477153	-5.53246549858187	-4.38587179625912	-3.89006640242518	2.23907401439788	-6.80210224789038	-2.34187186748604	-4.08033426519934	-9.27066053711426	5.74324775622267	-6.06916182206482	5.74579072436788	9.83449177801411	8.86742885606122	23.6371238061234	-3.67391515623753	-1.31931742207631	5.96430572152091	-6.4550818949643	3.94079642613248	3.16290627254137	0.173569124279051	-19.0364396854047	-10.3437203504095	-2.98563302299592	7.95687126921032	-4.21698399384124	-0.855108659750194	-11.4870574569716	-23.4172954535606	-6.70210853030543	15.2967969561134	2.35955570190102	-9.56496996816315	-1.15598952312616	6.64589288726994	7.8252742258233	-12.6853325969322	4.77323759399369	-19.8310913135891	-21.3228765082555	-18.7680957443906	12.0038431742631	-12.3266749673784	-18.1998658497044	-9.64936516023148	8.21553375399199	11.8200104077133	-6.8459702135787	0.161280758387419	23.9541110926073	-27.8976803386599	4.51945735574437	3.54706018604563	-16.3445395585209	3.68920757498428	2.3646986914577	-3.84986802342552	-9.12112185435231	15.456852596552	-8.23090124775069	-4.24297862619288	-8.76940047671842	-13.3451075180906
"g9"	-7.11251919721329	-27.5841402739951	21.7985630181806	7.10151466444755	6.84695899206076	6.52997192923055	-0.155317877221658	-6.1570956621825	-5.66232151258868	7.81318601979994	-1.74334923156317	10.6781608022314	5.77305350610672	1.30353576699792	6.80065140070509	-10.7224156832707	-7.93003893828874	6.70260976281412	-17.1295872347696	-7.38509239456047	3.07323264433925	-28.7546258816662	-12.742835812107	1.24977010734882	8.4895526157925	18.3764740654385	2.81553835391836	10.1103107536452	2.50550420103475	1.24624453245928	-5.49006074655655	29.3211306600221	5.03370656466328	1.97297816450836	-0.0551255610875464	-8.81633646370379	-1.81610285770504	14.906274834452	-7.96178979466635	-2.41206926518492	4.32393997655409	0.996857177681197	-11.7617313030808	4.0073375730557	-0.477230491369559	9.40689394392036	12.3638462580463	17.7870098401132	-3.10035509562073	4.94925130518258	26.0929304591561	-3.3566109405182	-0.930916953130814	18.823183872158	-9.25962778098964	3.68669520947432	-1.59775452331604	-11.1615616965623	-8.52294257951631	4.54323540384375	-5.89531242295889	3.35477204789738	5.80542128471594	3.73934596866827	-10.548325232545	-6.99475297525794	-4.03056984927813	-13.0220806016511	0.637675343227842	-9.88307808168321	7.58739747650438	-6.67734782155419	-13.1234003046952	20.5667122194987	2.00999697002094	-0.441179506764126	11.2707509807977	-16.194975153917	0.407576661230698	-0.321775958918438	0.48720301749792	6.05767517556191	6.75066960665155	17.0991624482673	-4.97293562668774	4.96055351465894
"g10"	11.046242630974	-7.27203926112479	24.1318865525605	1.88596575299718	-18.3670211661096	15.2250662762406	-2.37946295129521	10.0372174008112	6.23789526723086	16.4927144533302	-23.9219052992503	-1.98203160761125	-15.5811787521153	-3.40815150611662	11.3355530893315	14.9829989611423	-9.55201197988442	-2.03241882882652	-7.88464855744066	15.4544478560672	-5.12825992740068	0.213083872013761	12.4911232739542	-14.1002499975015	-8.12565913760865	-12.273873009454	17.6446017938771	16.3505101281509	-5.63054692746843	1.7453652096819	5.45590983617321	3.1706198190133	-2.95362028867585	-11.1147424444742	8.02839778097482	10.0109287353742	14.1332806165526	8.00546330575339	-5.5221678288004	-12.1174946320746	-0.359763250962105	-0.853149032131481	-5.17985806697386	-5.99083995947418	-19.3773542755132	6.51262617827638	5.53451338831433	5.67843215733611	-13.9422990004736	1.1552455132091	-0.029125168566586	-3.43631302312435	1.26559899623649	-6.78996303340616	-0.532924314618599	-6.45394719555701	-5.87136158074765	-7.13538481776687	10.9078123065792	17.2778891694994	-5.46408345095713	3.0248447381674	7.78743552330093	-22.0449301711546	8.61900070006079	-7.78997078563845	-11.7273744440205	-13.6933631601786	3.06237034598041	-12.3824026915733	1.45308559304664	0.986065826642379	-4.30485142273962	5.07151030256821	-13.457660489981	-18.2509582996574	-5.92640317198233	-6.99988009827963	-6.31471742090497	-8.57805902721248	4.73659127845079	10.7211961481902	-10.7929622598491	-0.668788620228703	6.65036903456649	16.9662898624322
