"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"
"g1"	3.60595740905945	-20.7195496379677	-2.89104948321185	11.4973964660843	-2.12690187320693	-5.28806008229982	-13.191387777223	-24.1863683441375	-23.8965739703028	3.91677802339197	0.598897193121441	7.09107816533847	6.50886522190383	6.12405746469193	-0.771648625750835	3.33941759555382	-6.25151474339472	4.01281101410069	-3.32333913038881	-1.42400600217843	21.2600588534948	-1.10328479248077	-7.26710326241522	6.22004279694314	-6.62660334494383	4.55670271240235	-8.13193526942783	-14.8928570367831	6.47137536508534	-12.8834891709463	-7.58513632232621	0.233471101733926
"g2"	-8.83517054153265	-11.3440292862741	-14.5227333861584	17.7078786333446	-3.42949660476529	3.07500292051706	5.38869721481906	-7.46015121102681	-3.67425277485966	-5.73332295894142	4.73897492627182	-1.62036162353133	-7.25414922281115	2.51952192726756	-9.75891812203383	-4.38600910352763	-1.85387810822596	-2.93303911542969	4.79284919709023	-10.9438770635158	-18.5248425000673	-4.75840176426954	-14.5966285814726	13.8297554950572	-2.85341235944006	1.15637401789061	-4.99753636460872	-15.0105344125131	5.57412301034168	-18.3905821599695	-10.2874212303849	-8.48076241732972
"g3"	-2.69254372494503	14.2734822624834	5.84557876018088	-5.11857293219166	10.8549318863807	2.28851154355966	-13.1290764201875	2.88172334453347	-12.0880710275547	6.68860108424835	-1.4636531939861	5.55781888717858	5.94286630880749	-2.57784671100891	28.1127180265864	-5.50245160461597	6.39681353673327	15.7265253557742	5.68859078504544	7.17907822809806	-4.33909039663223	-0.246283013036774	-13.6965561765638	-9.54902614815479	-8.12721080575911	2.19850355113348	4.68811247274853	3.33426281259644	15.0627598301374	-13.025674340577	11.5868699172149	-9.14761885205593
"g4"	15.6247009956016	1.91869397261763	2.68077108043246	8.96738996916613	-10.5806273297005	-4.53663436958879	-5.58005762351001	12.8356409230404	-8.86567494518123	5.74901389110195	-12.7636329025368	5.2520245251859	1.14473730647124	-10.5298064260801	18.3245942553519	1.63405159896926	2.82202853676609	7.31067791300249	10.0280815180747	-1.13168222816811	2.90460248829052	-1.1843831769744	7.58981237255936	-2.90593753854	-7.77651398025676	0.877358014191303	-1.68803850964348	5.75182520362378	-4.94564518379406	-5.05535481070943	-11.2830980433312	0.463983594833797
"g5"	-22.4191649064434	-5.58136577090364	3.89228846742912	2.79904870733206	1.28270735875464	6.72292009589454	1.3995392383003	-11.785296415042	14.6725427141547	21.1114844166197	-1.38449883163845	-4.24500704486211	27.9658278169497	-0.611384193238441	7.69932258131836	-1.17510435807591	6.45274760453071	-19.5107157049597	12.3240210671149	-4.72097267213755	7.53006193802187	-11.4014350307686	-15.5637710138619	6.765723850444	3.40363519337256	-33.3965130743951	5.09305283005793	3.82767976640313	15.7996760181571	9.22767827134138	-14.0536453873491	14.5168036695691
"g6"	-3.8895040048075	1.72694815563284	2.55557601692976	5.14973011685655	-21.0533042118021	9.29495537427189	22.748019151543	-2.60390239949376	-1.04543261029851	-9.42926653667775	-2.58653711515267	14.1198679256112	-5.54388131996503	17.3113280375705	13.2043841283756	-8.44490518128847	-0.338088469138647	1.56216865795404	3.06585686101894	-0.687879043392212	0.631266864482555	2.19686008599812	-22.6900702456961	-15.9333091911357	-3.97081328865591	-1.01131640159198	-6.07000234449757	-12.8032144519778	-1.76455422135595	3.18521208837367	2.07948874740361	-3.69876135460743
"g7"	-1.98118475829919	-15.6330093610494	-2.33807361359262	-8.1045579841498	-6.89519026170144	-10.5385165195937	18.4332355345229	12.4519117701058	2.03680957885847	7.40832196873263	-4.07381818473044	-0.85071717289566	11.6556280498631	-1.48131628204983	4.59488058416595	6.31535926163016	-10.5604528205809	-0.922547150229466	5.0942701974883	-6.33395399776719	-11.6052053407175	13.2857267264625	16.1489871852551	-2.26171019669632	26.0015604654232	4.66932365122812	4.95423948589822	-0.82060412634368	1.14908591776644	-14.0405736516722	-19.1342055624926	15.8630952128907
"g8"	-5.08127674634573	-2.65506310415831	-13.5546219157652	-11.6386397295598	-0.76570161685836	-0.687072209487866	-0.0275868788691215	-9.1013023610643	6.59026460398584	-9.22970453759539	-0.874658082435975	6.85766618175852	24.4559379707681	15.124943398011	14.2758588862839	-0.565043174713498	-6.96342405630492	6.02806156447387	3.28783140308282	-3.62873852604665	-15.0954040699773	3.42644615216051	-1.38919282354504	-14.715692810655	3.01178988202044	-9.82160715494783	-4.98650593919954	-2.0205360549063	-9.81999901721475	7.57114936712351	14.763114539772	5.12576047848338
"g9"	-6.46241390210667	14.3478185314583	1.23924527157684	6.66794042472146	-6.55208683761179	20.8275115221037	2.92865274147799	-2.00148433715163	-10.8092235484845	-6.83375731490389	-0.583586483574854	-1.43601949960322	-1.84844130821918	-13.4775795761802	30.7541380083792	7.57556013826533	8.59436164421042	-0.879654898353205	13.7616902413998	0.140883773735503	-18.7975370547716	3.45319563847823	8.35572894237503	8.22278779072387	9.87008535226141	14.2509352103878	4.92907256010148	-5.49422400753914	-10.3880686793625	10.7224348601588	13.504299922915	-18.5472997523751
"g10"	1.12277471244082	3.14244466048457	0.951146304821013	-0.697704107198751	1.4932118211638	-3.41225216450142	-6.24446979599939	-0.0501830998597526	-2.50153518694679	-8.45994470452306	7.50108574200234	14.4317700094039	-6.79574451419603	-8.85793112654976	3.24985504310194	-6.25454843620278	0.509090027200916	-9.37164329692651	0.00952105091293909	-8.26076608062799	-3.71402647560284	-1.11355758172629	21.2685778151384	24.8268390174231	2.79929706350521	-0.868848097313877	21.2324304052995	-4.99852974355556	-29.1899532872664	-1.76979689352653	-1.33680373287885	3.16233579587113
