"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"
"g1"	-13.9335420651486	-14.3739428791626	21.2369823912656	13.7757006020491	-3.54274078553278	9.42848389508291	14.6153806006795	-29.3591034514743	18.6497012094397	9.84246006558918	-10.9297161174393	17.0504903426268	1.74420345483458	0.123218093034851	-3.48581375787312	11.4736407667652	-5.86816983221211	-11.8223976590703	-12.7960292728792	-14.1295317746475	10.9315779476098	11.8956972360324	-19.6496337251416	-0.597613811117323	-21.7001553141926	-4.67945444584944	7.70495407776203	0.125762618206501	2.61575239545873	12.4036626452275	-4.74767375357236	-16.4220391097583
"g2"	0.332640963720349	18.7180000384056	3.67167947914098	-11.6078475498359	-1.9925632851694	8.27507112514733	-0.033923713323608	13.2841872825043	9.20738016426465	18.8851940468821	4.31234533036382	-5.95654505674728	-12.252895105081	-11.4499881660403	9.92092299877509	4.71736707900303	3.61029944654019	-5.6404821925149	6.54059529502185	-14.4390186136041	8.7257866304101	-19.0791117744162	-8.93770285063663	16.2592215619491	5.90411986072941	-1.02980188839696	17.9634448532035	-14.5661003173408	13.7381924500102	-13.1838454271812	23.4364443664837	6.49131419773075
"g3"	-1.10729861932495	-8.58428571781703	4.48608557789529	-1.49697183796245	-7.25505559919575	-11.3003681185989	5.06674815703939	5.26538641660462	3.1850439019809	5.06881435985871	0.105948798090503	1.45602453180322	-16.4629635038245	-5.9826366078102	7.96290464122946	13.8950680163228	4.77196414345651	9.91826848308823	-3.88737730111994	-8.5674280563737	2.10790043458149	-5.09593445018929	-12.4813399598065	-2.67098994162253	-4.17249125995033	-1.9048428938282	24.5354271541408	-12.2164142890325	0.48025974431321	10.9113855802287	-6.35993090424257	-0.834499354116011
"g4"	-13.8743586071569	-6.71454957672491	4.68739933010309	10.3065302243426	5.3915808910377	3.99991657936707	6.58458979373125	-4.2548423258056	2.64047148378912	-8.64481082128622	-0.433103635755656	-6.82279857396339	0.179108853515165	-15.9323569154104	-6.12882983849257	-13.1767235353135	-4.25728869904001	0.715954534026469	1.71761679496534	10.1737184786644	-2.1051358673388	0.186363628078903	-0.00267798941783439	0.638550616393375	8.86598096198227	4.39064513385382	5.42046100185609	19.3739246343737	15.1041739923497	1.79107200242886	12.9421919098067	-3.93206593500165
"g5"	-0.0619561613763456	12.4420046846503	24.358485755712	-19.642633170212	11.8222165925816	12.7239532351836	-10.2353761226922	4.35669854324247	-16.5411309146311	-9.58655626601362	9.73255706674252	2.46554164989309	14.7173764309693	9.87465699485958	11.8056441061111	4.8765130748514	-7.1119833466843	23.2706748230425	1.62547676919446	-6.32503846766302	3.96198875878467	-2.89400613952105	-9.40221404211701	-1.55933123653218	-10.1381523395051	4.56622955798494	-3.94036959245561	-20.1698233915272	-0.616681689409524	4.69706107838418	-3.58023321284978	7.9463119383486
"g6"	-0.324007158468051	-6.37810217690894	-4.78770256254424	-12.3508068436363	0.397676762462475	-0.413379783160663	-15.0680367533779	-12.3816011273263	2.56850945125401	6.9106999261912	10.0765848045662	-5.94278958391528	20.4940293620506	11.0882131302142	-2.82534347154573	6.8481672008255	-8.45501757756734	-0.355579305045379	-1.57293039703789	0.316608820641678	22.2876438880488	9.04276265438957	13.8631265762366	-2.70065597453207	-16.2866065110216	-9.20631032715615	6.77370812589817	5.75141369166382	-8.86080286276488	6.3905015407223	-12.6917779660226	-7.16499082742187
"g7"	0.946101975498012	-14.2179064092482	9.91630889337173	-2.43638967923554	-10.1839457056208	-2.64338284313886	3.95675682010932	-13.594794182708	10.518851400291	-13.4396062736858	13.8451589287237	-3.94564660330134	20.6082896023588	5.56402905729143	-3.93239312274216	-7.93271536459877	6.01412571310288	1.28235184460638	1.11390358950673	16.980528214678	-1.29969957187601	-7.63686619293537	-2.1730592121946	-0.396248102220893	-5.18813923411498	2.28784353237642	3.12079205597217	15.785184501089	-10.7012450663557	-14.414652767823	-4.90888510881668	-6.18244011446355
"g8"	3.43327339440165	-7.61156976381591	0.158959012666548	15.7490643724596	16.5036300690621	-4.18851170423018	-1.5592751008337	-0.337626056717929	-6.00393616021578	-4.03577474466209	-20.4571657861241	9.21566088565635	0.289900943698333	-11.6561603933223	23.8564791939671	2.77510669682363	0.276716100179499	-20.4234257724718	1.1033866235776	2.02774383114764	4.46810863292533	5.66958033295312	-5.41660305897588	7.92412238870746	-21.0833325899696	0.461939052582362	-11.1925138388905	-5.73524837708612	1.98475369104399	2.83893847573854	-5.75000862145198	0.242512259078426
"g9"	3.47329196906671	14.0684257086934	-24.5256487891617	19.0756264107532	-10.7881035506953	2.78059307881472	-7.50065517929111	-7.47272606054619	24.5676726878192	-23.9328574912178	-10.9446774242436	-0.449868744932642	6.21315186765032	4.80786353081487	-8.71148029917647	6.38322250986656	15.5705070046464	-22.1502782983777	19.0200768815617	6.65255246359011	-6.63199206563068	18.8862687419353	12.0022786183149	-3.99012317253931	9.85365823626347	14.3575340013733	-1.50966114984281	-2.6726351583666	5.11020711648896	8.62752717483407	-1.94262722883549	-0.178082528523534
"g10"	-1.2241179459365	-8.15422606456451	-0.273960458071329	14.5586990592682	11.2744256825394	-11.0327312046997	10.0973278560063	7.18858260707405	-3.00608838489397	-10.5065926134493	-12.0925419029988	-2.35990825421257	2.75816788448006	5.64180849757785	-5.09851647731386	-2.25229900905751	-5.28686007234514	6.862917560369	-11.1099606810768	-17.0124967902595	-7.35322017323178	-3.4629111983221	10.5653957532801	4.2101314487538	6.03299774832405	11.8005233036796	-8.02631689846251	-6.41522832438284	3.3938613657899	-4.76339378345988	18.7146942468415	-12.8384699896736
