"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"
"g1"	0.532104215834228	3.04642477726741	-10.7511200384344	-18.3549761050315	15.9133629020075	-5.0720056459071	19.0543177159013	-2.09746398847205	-6.84824702188196	-15.5872439975361	13.8674939934999	-10.730657062432	8.31135357611654	13.0486303455267	12.9446823925892	11.2073894723627	11.0752736501219	-0.782358939747036	-9.4907919457743	-10.6198873175014	17.4217335639981	-15.6277805171649	-9.9168823655334	2.89081714875329	16.6670270943173	1.74555765752588	-8.8963283951062	4.05639542471121	-4.28665994962508	15.9525991746061	-10.0108189150726	17.6726526404293	-4.35018322749999	7.88927981971998	1.43543056576686	1.69022227985392	1.12575167174144	1.29242834183227	-14.8701995951396	-6.32616234165233	-13.8114963751295	-0.766831062695257	-14.5141481485896	-11.5219216887263
"g2"	-9.35882109668626	-8.09244511108867	-11.4533262037203	5.15217720529355	0.788787087210911	2.42370893574317	24.7240133798165	23.5888426187739	-19.8661102620196	-4.32833939780229	7.46049647118308	-20.7100309966483	11.5253028220202	2.56771182011032	-0.27736042311486	3.75014524987017	-12.3230108527742	-2.70524300104903	-14.5615816745104	-6.45334235696534	-1.98581959636557	6.6784138576923	-10.9324853171599	-7.08253023702258	1.97211680392666	-11.5567516813078	8.97015871526287	-4.09168122369571	-3.33175168918341	-7.90712714407771	-18.9821722181952	7.78590490808558	-3.66200016531412	-1.01793402658803	-6.56376817418669	-10.4644315379145	-0.178019204019507	7.86589813231751	-1.12485313682606	16.5377518581635	0.66897800033084	3.19501952400545	-15.2743218818458	-11.2335477594052
"g3"	-11.1099952186156	-4.37587068494081	4.7338358933149	-1.77945016689236	-10.6105845311769	8.95570180023529	-17.3383751478668	3.39412793343777	-4.53944811621041	3.29234863603452	-4.09495656974571	-11.5847118012864	-16.2308745157922	1.37298560970431	-0.164072963695608	3.62858719514753	-16.057605830391	-3.46048674484701	6.90391373671013	-0.72205610041276	-1.69950210618259	7.45957576841626	0.570687612432486	14.9620476893516	3.07724506885629	8.05421231253353	10.9067464413665	-6.33061986667614	5.39851427125798	16.7125213642155	10.5381565914005	3.46855302899765	-16.3547160725113	-10.5550834963599	-17.5750784155843	10.8373648344027	12.6472528083052	-3.36829625381328	-5.16137797527705	0.1895079581435	6.66790301683941	12.4648989912416	-11.4426253194328	-1.62410343165903
"g4"	-2.04500121551936	3.09887659850889	-16.3988075264116	-6.19092238961589	-16.772046981858	-4.92558275043393	15.3153675951371	-8.65830576749662	-5.72982058379351	5.53874145090322	-10.3300439838935	-24.319442300348	13.5948873030082	4.78957645137211	22.0709068030878	-14.3941032091595	-10.4210967952206	-5.80592433499049	2.62340133090894	5.17289533575551	5.63768113626658	4.0856855077986	-7.27960147366666	6.49303024323305	-4.11333211812244	-9.56062277702722	-2.40483201190699	-9.77344092899194	-12.5288193228477	2.98395672281422	2.01867328822712	4.40133256550781	22.6382540682214	15.2502376819534	-3.16647206720756	9.76621312431903	-7.45563955970659	3.95645154205941	-12.3711550079245	-9.9256042186404	-12.9173723643649	13.4462846314521	7.02588526078942	4.39147355895113
"g5"	-3.44128866839693	-3.86880127666092	-2.20286144023367	-4.64801512152989	21.1672793905381	1.58176174567774	7.93388126816202	-14.232677442524	-8.46678037908212	-4.58842551081518	-11.7568381601088	-19.6049692406136	1.28419472574381	-15.0624984380046	-17.9677105117558	4.94426125912868	-23.1506499061823	9.54135010086334	3.38827256854273	3.66922878766884	-16.1248015871954	5.9402896843487	-8.44333366838643	-11.1061950808455	-4.08757316037814	9.86103669684492	-8.53899994121826	13.3988355081321	-0.0512608499766872	5.95353828245226	-28.2431452293994	-8.9894861632857	23.724261179218	-8.24832359605411	15.8888902432815	10.0472494551171	-2.0349959240875	32.0031833072045	-6.53481279598134	6.30214254243065	-12.6694539640363	6.28388227465379	-3.22271983291199	-2.04037100412121
"g6"	4.96812481860033	-8.20666827032705	-8.42134919627999	5.39105281373816	14.7969323025395	-20.4437605655548	7.57734268511471	0.729971205789937	-0.222722736546153	-1.06497610480322	4.3039337774834	12.5067263455765	19.5007235665712	0.68887278838852	10.8761117835636	-5.21264086323899	-2.80170375446002	-12.8637187271438	-3.32100941710839	-11.6230454186952	8.24641585707448	10.4547077992909	3.23306282889205	0.619502962117281	-14.6246222641557	-13.4146200326326	2.7370521243602	-14.4998239960147	0.969613720572451	2.30553682523457	12.9034769849711	2.51050590780284	-1.63638422711047	-8.74735447803782	-1.74384463846781	-10.1217089970715	-17.9126346638625	-5.55002824277717	-9.58038434306001	4.08334511024572	-4.15609676659749	-4.16553862543151	13.9680016810142	10.579620539293
"g7"	-12.750743171884	-11.9791714757582	-0.364507695187002	-6.09469707355648	-4.72633912778889	11.6561633793044	-7.69330752266202	6.45750512525869	0.77036865958803	3.03923413462698	1.82216517542646	-11.9125592650977	-5.29396535553134	6.85714351117915	1.68277930360048	1.80970542535662	-1.57153575785983	-9.94380758513926	-1.87340395575447	-9.87699658498233	5.32960578438088	25.0855607548442	10.7612668673281	6.27773989354	-14.4056608816822	-13.0115990546724	4.85432186937205	4.55865426266255	4.78522612842801	12.2339136586333	2.40488001560752	16.7318211569272	17.167424561312	-7.0224549378773	-15.3052666193556	7.65360681219227	4.03104032637391	13.7470992336385	-6.54144590920757	-8.93466066565034	18.5483149993036	-7.00571246343112	5.15993836258953	-2.79388722079442
"g8"	-1.34431075132886	3.00644139848464	10.2024150687976	-24.0127488484409	-11.1801794717878	-1.9006887561738	-1.31700071090395	7.60556854857833	11.2526082321479	16.2890982298579	0.652654330525899	2.27598003058485	-8.18508714778553	-1.37027952673094	-10.7437192205228	-19.3743713025618	-1.30725371454909	-5.35493743990974	-4.6088679342228	-6.05173413210071	6.94952548895643	-6.74747483092076	1.08735509046516	-2.42910497582964	-18.4927711424095	8.16458851874761	5.59613080793207	6.48270245634313	-7.56603760203702	15.9322964098599	-12.3449826861827	-7.20555971299748	-13.5229562588893	-9.41024628145842	10.8145056275736	1.16928296504743	22.8398218276827	1.23720507796608	-8.43613547303671	-11.8661259358194	4.16229339962228	-8.04806782624752	16.2038309843157	-5.33551103598414
"g9"	15.0559786943081	18.2203939621493	0.0102045887029912	3.8111915589017	-1.55215678774916	-8.51892956707214	2.46524829053371	-8.98657490374333	7.77787099539214	4.32169613205895	7.45945790488613	10.1326510140946	11.2232083428012	-10.1503267820939	6.02760030321808	-16.7711972761631	-11.510639466392	-4.22705358962289	2.8114041138632	19.944789489459	7.98143945217323	-18.2545616769512	1.52248703422512	17.7564915725284	-8.70130606609078	-10.0038927824399	2.75424032098434	14.140824759774	-1.43605222839499	-8.70225529434793	7.17991034997631	-6.91576433857285	10.592872619001	6.15046088888785	11.6633454743955	-7.38382585465241	-1.58718381997196	-1.01378463805466	10.1989321944909	5.84979966374162	-5.04759598496776	2.0922557113429	-0.715965180700839	5.5750620226876
"g10"	-3.46829087233735	-1.0814948369889	2.62947396758505	-10.5997477177877	-2.29142897655167	-6.38149376245898	4.5320688611237	-5.93768466069831	-6.40491463719782	7.92054546454554	5.17218840122482	7.65457685114106	-0.458520275736439	7.10955337367843	7.92431866236228	-6.86180027667132	-18.9131793177184	-3.13965544371389	4.02285982174944	-10.0106429322098	6.94932597475182	25.5743036415349	11.2157747770027	-5.10552501680382	-17.31221647316	-2.63328733916115	-5.98085976027779	5.6380634735302	-3.03085321199609	-12.1037797166788	3.60903130117077	-14.6702363509161	-3.03972004410806	-8.7331268506785	0.895131428118592	-5.80094281177727	-6.9816580392796	3.39094833333821	-7.39632256422137	-6.4000794386787	-1.92761141663677	-16.8070728685666	-9.26192883760044	-10.982284497191
"g11"	-2.54451725021633	0.691049309651408	-24.4008593423096	5.9894163325244	0.836823166710664	-9.49942553213168	11.4972446158872	-21.1012805045717	-4.15344977903019	0.850708443179282	15.2050276951298	-19.114398542885	-10.2695782609319	-10.2003836787824	-1.32998599075041	-3.23124267688628	9.60978570089843	17.4350476042758	-10.4115263265013	11.6949957467268	11.3991953114996	-9.95771751264859	-0.324059116294607	5.5260459329787	-3.46097073195496	-4.08333400202276	0.889598220458113	6.87510859859956	11.886885794635	-11.2990683012402	-2.54254607725694	2.59938795437053	-6.86481266552697	-2.27983435486729	0.862626398204187	-15.8674257675032	13.4696502884482	-2.29820162502308	4.18670389881993	-0.785494643766953	-7.27970782862859	-4.25325489750434	1.04992639272096	20.2107402370658
"g12"	14.5683942272427	-15.0761172261331	2.44184789811451	3.56393864564675	10.190741880705	2.60764748707123	4.26785556558881	19.6607117708155	5.82214115491052	-16.5708295538681	24.9432251527114	-8.21125355745926	0.549968741454144	17.0087216334804	8.59461687269178	-15.3914960078648	-11.7161881609866	1.03226093505049	-5.34756305898207	8.25857942975152	20.2996355556991	-8.22189849862086	-6.925629077153	-7.69057630322751	-15.9157754841156	0.438662533633471	-16.3408571401046	28.2825886990421	9.19506716546337	0.196925093071255	-4.90671837106613	-2.92805578098371	-4.59895960274532	1.57910640247133	0.0476856172002072	15.2381501132184	9.81901816479321	7.52000275096696	19.1598032015665	-1.64804570908774	6.03656390720373	5.09634344854851	15.0287390584457	-3.83793608257931
