"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"
"g1"	-12.0178335759946	-1.18189302507631	14.0670015770875	1.25811419585084	2.93015728838404	2.78008841806785	-13.3882223570339	-3.92078172165099	6.31126788554418	-7.80320480965428	16.9950035619685	-2.18642178355037	20.2235035204963	23.5847669295678	0.0220441144785153	1.83464411131301	1.77818725451951	-1.04042571037225	20.406732254376	-6.34590659793071	-0.697829167826449	-17.9027460428121	-0.470079433987522	5.02494816383291	-4.95188436744315	-2.00115859802457
"g2"	8.51569036808687	-16.044804893406	9.40696174406794	-19.2548107087273	-14.696006499917	-5.67448668300294	6.3339652991265	4.65594648406517	7.68133804252584	-4.65004926139716	2.00693184862102	-3.60083945980481	0.332033612697946	0.751665307088899	8.31104899600766	-17.3333393683816	-8.4569826984678	-3.49686337529286	9.68652058595064	-9.35985614485172	-4.30212880208678	6.97508256316191	0.932464913771453	-1.81343694588011	20.345316112324	-1.84746789560484
"g3"	-4.22497251805203	2.94106122059769	-30.1597098415091	6.96760587008644	0.600491244815778	-24.2687188828622	-10.6329409000814	0.514492199604497	-2.98395771010036	5.48330779989052	-8.15641703319603	-18.8141894975534	-0.0422579930202081	-8.96632006646571	-10.0661514046958	1.69173774748818	17.852735610346	8.88640053389032	-10.1270846938937	0.851348023660899	1.46333684078277	5.01790370586293	-6.51197021925194	1.43773978307205	3.63053905296292	-3.6006138748522
"g4"	8.39885987963501	-6.12592612473545	-10.4448216475957	4.48098413419633	-7.22895250925391	3.35332920740876	2.46157985577733	9.86030528035143	-3.56443869121408	4.25642637722141	5.01376605553071	-3.60624726933363	10.9286333616518	15.3916428915244	6.92827338493766	15.6110311812648	-1.74913225248184	-1.38777878396413	-14.1122865172165	0.63213532388784	-2.84615995612085	-1.56610422520587	-7.28590409837669	6.78122104336741	0.149470506669789	8.31704834516094
"g5"	29.1599059105395	21.603041263612	-11.9920499638686	17.5486621715148	-4.61998410566497	-15.7360646343297	-32.3390157272872	-2.95963902679312	12.1793601857379	-10.1269065845659	-7.15871189593408	-2.66402374125742	3.44394290425281	15.540883410603	14.3248347819709	-20.0234711759789	13.2024202560197	3.74471181305666	-5.28564366256196	3.10911838672704	7.22328497140736	5.06646627600603	0.789769874067136	6.24689804543798	-6.92467235886654	-7.47870454571505
"g6"	11.3890373359765	10.7631117582447	-7.19448386445825	11.9667907381015	-17.8650980290091	4.73641298972671	13.8403392453571	18.6335127647265	17.5082954963245	6.06456698373977	-6.76574228722842	10.3013289379115	7.90666055856772	-9.33519239840008	-4.80052103489244	-18.4570025146542	-7.79696880054616	6.77289108044277	-6.49930540836133	-6.12294498027714	12.7607454921828	-4.2367149239743	-14.4790313183311	-18.2470805564922	-3.8979342667001	0.732645311100637
"g7"	-23.7558787768371	-1.47666220884238	10.4659838592969	-10.6241235452575	5.55420780141873	-3.28608149453754	3.68560808832846	-17.3489563428021	-13.8348468898071	6.97037053094197	-14.359522572105	-3.71917899395377	-2.19721865189773	6.46660627290127	-2.46706639204592	7.72732161106117	3.04300054811922	3.95544493989997	-10.8584646827855	-6.30123173770416	-3.43038830505313	-0.265290563622383	7.81374837360018	-14.1182099967596	-3.61042086181378	-5.27917917619811
"g8"	14.4266794932453	-3.26025174148379	-16.5456819599812	7.89708321426498	16.8147645645778	3.81004024835797	-9.41444102976834	5.78515771148321	7.94380504352434	-22.6514248725054	7.3137276896371	0.314247303137542	-7.33697760857184	-24.0738272971891	-8.52166554359518	-3.78009374390859	1.15267181572232	8.29540335223103	-3.63505263613091	-10.0497580579485	-6.40804318439192	-6.60017128785241	6.51450965166159	-8.23883560207445	4.90450712023997	1.98234264144416
"g9"	5.10633368128514	5.52733937832723	0.345226395673906	-16.2490627432501	3.35638596500038	8.13079548804325	-14.4299984018333	-23.8748876728011	-5.45303881437538	18.8753005409536	0.958845595608515	16.2927698264296	-4.57884236901022	1.63210020514044	-9.14171542218091	-11.7114012545828	6.49714944165916	29.0495675396495	-23.8359679367583	14.377033242386	-6.16371986351445	3.38796444982672	-18.0071210192903	17.7871843509672	-8.34793515390316	2.61517543247178
"g10"	-1.85617214830308	4.2756713701067	-5.52027174388165	3.02466407623654	-10.3070540181207	-2.07318932649136	-13.3028200211512	-8.26247106037093	1.36694663397481	8.56560229164933	-2.46412953282592	-19.8975887221542	-8.99461074796264	-7.27138263142906	-5.9326496514241	14.3405879269107	0.727410808001561	17.7030363097056	-10.0495053439174	-8.48203877295811	22.4685880410325	-4.87075500602712	-3.47355129734514	-1.22368689486621	4.97284896837631	-9.72246865464607
