"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"
"g1"	8.4699287460008	6.28068201802913	7.60317179935079	-4.2007307531857	-11.9066717764554	-5.65524146646769	2.92672687907663	9.66525494547192	10.8245850923672	-1.04992831745032	-0.435542483524223	0.288395154616186	13.0819522981867	-4.34537530625173	7.74168207157739	-6.9883600631095	23.7411849714094	11.8024369089163	3.63308489055465	2.97472845806261	10.3485085636383	-13.4178750523952	13.6372941446287	11.3715459569492	15.3497423966694	-1.69790483918574	-1.38470806807612	-7.45638504848853	-4.40750424828896	8.94881799368414	2.53395685347943	6.11892368900203	6.32849172375615	-8.92352911619393	-12.3929151898502	12.9685981838746	7.41897396283153	13.895469140988	-6.882998275946	17.3926920615954	16.0757984926672	-13.3148222569227	4.15247174068113	10.0224670099212	-10.2822798316737	9.27012694855239	5.00411525898689	0.199816727951122	2.87568644054335	10.091081333351	-1.54846882834764	-5.08545377962139	-10.3384439637768	-19.8541894942603	9.89693244683547	-4.21372005205309	-2.36932219291626	1.12761024105184	-0.567129211734349	7.34294001995814	4.25875354977625	-1.23143291035444	-7.9821279268149	7.74233892996848	-11.0313666759698	15.1088625975319
"g2"	0.949285668282598	-22.995386381485	4.07079548347023	0.100080829236376	2.46040581095993	-15.6230231255305	-10.6388869699912	16.9648172436952	-1.66701905083379	-4.94183308026271	-7.85336729062495	-3.08891037416731	-7.41247509777155	-5.16126773372375	-2.70472156716354	8.45242017976773	11.0997456083033	4.59997645137685	3.90376090028589	-1.9640502213817	-16.7516741600686	-6.54959901944073	-14.0391767753337	-9.9128909023462	7.19009437552373	-22.1451479157618	-11.9911994486745	3.4304728533567	19.8140934886651	5.54433801279258	13.0297213641554	11.8901036910892	7.95474809756028	-4.31752654060165	10.1964279976365	2.54997426300355	-11.8082011999059	-2.63384115095614	14.0184796957119	2.82508739363524	-12.2926576936989	-10.8438756885253	-14.762443053697	-9.51116015104456	-3.48852490927096	6.57233843608231	0.500149066633773	4.89524006383904	-9.17601742175384	14.4115934389464	2.71518509067095	-7.69718442154367	-13.1237885892064	15.7747363549618	-5.84378732150534	1.43795704595821	-11.6116480945521	5.90304051492828	13.4353161450562	6.88414077130007	-0.759449204441079	-3.64799991773287	-4.78142603966828	3.12185620983981	-3.10803132653863	-3.64764528502012
"g3"	18.2865896212468	3.72143927969853	-15.6495019884496	-15.9946475742841	4.32331584172829	18.2731993361306	11.4516188920213	-3.94027501117773	-2.32678632213738	-3.98822675407735	-0.432741451636566	10.7536527302758	2.84861127112395	17.1530507061679	13.1874191584528	-0.64068836124863	-12.7862133502487	-6.42425804006335	0.659452719657851	9.24510291357745	3.21385254436664	22.9595330656684	-0.640677842544394	-9.11344221111448	10.1574680689498	-15.7922801980187	-0.725787525418005	-17.3526010424856	-17.8177372790632	2.97506433207931	22.0715777755385	-1.31110842941093	-12.1567386993348	-18.2584128347296	-1.32422487283725	-20.8746412165473	1.84737715010845	-7.55518102009816	7.07699871170361	-17.7720207864746	10.8536617994706	4.53112282337214	-3.59149614880054	4.06700469359605	0.985135445745307	10.5060280418688	9.40927290762811	4.07112917662878	-0.642690881762302	2.03412701213558	8.54986226163459	9.31689011702748	-10.6910834278454	8.53842975447884	-13.8699297208	-9.90209139076686	5.58952031485316	-16.325399516975	-3.51266520010208	0.591796069538298	32.9624985765872	6.82695653526621	-10.5860405264958	1.03236035142154	-1.66404113623994	-6.12208931671956
"g4"	-10.4679305795799	-16.9148828198955	9.47336118500461	8.48754679593327	-5.22430527092856	-16.4746548540869	5.30754678634104	-1.33938044365651	-16.6645248546914	5.28603664750122	-11.0980810021258	11.6347693884244	7.70920810184208	-10.2675498958806	-7.71312080039977	-2.0560949028571	6.32433108870103	-12.5995504553433	4.05963213773483	0.227860354879052	10.366650035793	-2.33907647865775	11.6862343375526	7.59972323659011	-12.7765160435353	2.79577950349486	7.83482647426436	1.36992841969806	-1.45746943803106	-1.88686823642181	-2.46900999271904	-13.7769691716772	-5.03589563998398	-0.485737887072496	-16.2752464961389	-6.86397744296364	23.1697377097334	1.04714327111239	-23.7665946595584	-0.764300589164892	6.17977973194461	-0.879830833825215	8.84545515793356	-3.85427456115933	-1.94467836690275	17.2031589900069	-5.38253086981148	11.6684479695477	-8.72094659993598	2.93908160567187	16.2973509211848	-3.42354948320206	-2.07234781719393	-4.77051730592784	14.571820919476	4.15290021882848	-7.74211604415651	0.350609479019456	-5.47265653497984	8.42800506331809	-13.4341324672911	-8.67374015232305	-4.79005856045936	6.84470159040435	7.33002274364765	-3.7582464814347
"g5"	2.94365366638869	-7.39391412383605	7.90445868330467	14.3419359327159	-8.05743338605983	-15.0640074354128	2.52739261270589	13.4233238665332	-13.1970525012469	6.50152925606516	9.83404747179664	12.0119157656649	-11.7090194814721	-22.9682703600023	-10.1185076572682	-19.8832484811281	-7.61340739315644	-13.425360715188	5.26855334842636	6.42937481937775	5.63853223369566	-0.735601673415471	2.41489048994741	0.475995779153016	23.8506515134227	-5.18043679023409	5.14064820807964	-1.64229285509641	2.75432208215456	2.28912629594989	17.2002852855561	-2.84608329188121	-0.162899463767556	-0.437103159202504	4.040943818585	21.3972524093116	-4.37403850463469	12.5485475249771	13.1147756177346	-14.122128433261	-0.689880966473521	7.15224985311375	12.2019896904534	0.146637423764885	1.98634620344025	-2.03880687643705	-14.7960462745232	-7.15888021547162	-2.74631299915407	-0.889602114778879	1.49912218079589	2.64749133139338	-0.167903831134817	-20.2692689544742	4.65588415227893	-16.1686313311323	-5.39891362462594	-5.37704189349229	-4.18815391280795	10.7203120400505	1.17087699635232	-7.85929477857034	-20.3851122111173	-8.72941100078943	-25.8074165829787	-15.4612284821856
"g6"	1.88071687824466	-1.10120930399912	5.3695079749512	6.45616664137041	19.5504980425493	5.69963630018487	-4.55779336185784	-18.2964845791016	0.899482451951896	6.73226728815867	3.44751910913729	-3.77337464721841	-5.02081953972491	-11.5717275614243	-1.9243220864435	24.3660695298266	15.0063641650777	-12.3524720861377	4.5147248651712	18.4343271115841	-7.00721071002794	-17.2182043508535	1.09267900467844	-1.84123268992389	-6.49260576690643	3.88498697902949	13.1388735722151	8.25434414224442	2.0251449661637	-1.53954846272151	-6.67524537397779	2.14611963626061	3.82624437469883	26.5096772365444	2.81610068761969	-11.2820985983931	6.46956814385802	14.0377586659213	5.09803410901123	1.42092434010347	-6.0548967121703	3.40681624362256	0.00522128751164161	-2.00705015045704	-2.98975329917568	37.6353292094385	-7.65427368186576	4.35233708805057	-12.7300369221551	5.70260697928984	-0.62921078224396	-3.23173454952651	0.00838945346843157	12.7243616371346	3.77580636549015	-0.745556534865173	-7.73674072488526	-6.72882843518137	5.58236390904024	1.10713568224163	-5.68245046131523	-2.17520537508633	12.4419250534673	-11.3708587731827	26.5760885898652	2.25371660889843
"g7"	11.2799398277895	2.11698253674835	-6.75676611015723	0.467589691692873	-4.00029887812442	-11.0180040550925	12.6969292635746	-2.07214140099997	-19.1618298033568	3.70288934162459	-2.14330816276843	17.4133940245241	8.5600969270823	7.79069079582685	-8.60285592289109	-16.8920574054758	-15.8265957719709	15.3226220812725	-4.82284375376915	6.27220424439093	-5.5507557247667	6.09485379934682	2.37545491641675	-9.04429686989022	-18.2945360894597	-11.6312854981578	-8.26710934488627	-7.56271892173265	-9.71468822832506	11.0795853892217	-2.50723698985798	-6.73810450989084	-10.3467248304476	4.10597050902123	-10.5500183201819	-0.198311654751323	19.1442635801429	-9.41141387418681	12.0256944368373	-10.77881365029	18.4254169014186	-2.75103995338986	-10.2538380679915	5.02923804290385	7.71572836814424	-9.95069189616498	-8.9934354750826	11.6633693899201	9.37948419581133	-30.8459872052185	-16.0308891066705	12.1673243618506	7.17916934791179	2.48151683781635	-0.558750727458047	-0.917875183952984	2.02080390918349	-4.80543827615154	-9.250022583705	1.70827583988674	-2.80769614731453	6.79352664036074	-2.29272114877463	-7.84083012568033	-15.5118525697404	14.0095124873915
"g8"	-3.73516214536058	10.0723624807766	-3.5994503772512	2.9920337049598	-15.0496667989245	16.2809569508291	-2.40269762800648	-3.89548196431108	-8.41876424311756	6.14419937499846	7.46834771479214	-3.53119684804686	2.25965468738187	-7.10055495643382	-11.0159746138029	-8.03156791542439	-8.86796517855534	-5.13033154970758	22.5887359812156	-0.952789916066594	-8.91010906252969	-11.7166389733957	2.52693810189165	-13.6506782111371	-2.85052211722607	2.92898873152367	9.14819303948413	-8.34641176294691	-15.0675676272449	21.1438515823759	-4.50178118009853	17.9787630621094	-7.4262400647733	-14.4356728276333	2.2677395958395	8.07776955925515	2.24484020914762	-7.15044294362627	-9.77412142203036	-9.34043782922281	4.09358903515014	-5.02809181816543	2.53274689781088	6.21438175870716	2.51872676652988	-22.7556372402191	-11.1629443438039	6.83239338446073	-12.0512587704158	-8.1039056893671	1.16872013326348	9.96759206563324	8.31933349628164	15.3134373643759	4.1681750460159	7.2876936825227	11.4826933583704	-1.45431622728717	-1.22444209050588	-6.45531892767015	7.71348342232741	-4.23102821900953	2.74594699083014	15.7730026170063	4.23951839306041	-8.31477048810357
"g9"	-3.5386621658651	9.933636452989	-2.03231494519821	-7.69425797239617	10.0549881731178	11.6285127453117	-8.13816314050532	21.0690776431926	-5.97046751818004	3.8128195438739	-3.73752874118478	-11.159119031033	13.1971308414366	6.37202314872548	5.10997540580632	-16.8300313742695	-7.77055408860068	9.30998503736216	-0.550899216142163	-4.17640495928743	-6.97045444307018	-5.84438926351105	6.67228804131259	-5.99503681500144	-9.35246614291563	8.88702718992508	-7.73089089492294	-16.9246908114692	2.58607766892608	2.39637959106254	8.0195794428519	1.34884137665993	-5.03356847086422	-4.70843931019807	-4.6246359686931	-16.9080302298489	11.5783725304237	19.36625117503	-6.92378581843941	-8.79642421173922	6.67071633193966	-1.22541838301744	-10.1467659297114	2.52110344956886	0.38284671997841	-0.316195343368251	-17.9510478824376	-9.54049893035347	-0.0279512452512707	5.04189712947936	6.05254381521835	-0.365088449129973	-5.93718866296977	8.1230327404147	-2.03024623875628	3.12734606366918	6.48974789031696	-15.6648387629628	1.59308245479405	3.87508287732962	12.5471614775318	3.12763574904936	-0.388936327751147	15.5166095428779	-21.4034119537619	-10.1881915003072
"g10"	0.914725284486026	-9.59011913641484	-2.89919622317224	1.32696372411023	-16.5345270061862	-14.3535146133348	8.10257644128556	-4.15928379289667	-6.79652547837168	14.1396470877178	2.14968042294757	9.23954143669594	-5.12788092839975	-0.441403548352561	6.39892977283132	15.1691920220622	-11.5087568948626	1.07946374095517	-22.9877870645404	-3.38965241207885	-4.29887800147665	-3.48057024021756	14.686079443647	-0.848658347992971	2.25225731720003	7.30652719414698	-3.33891417393619	4.40346756369993	2.51170953939014	11.5459884910674	-12.4780554118848	-3.2779893617738	-3.87777203506212	15.4542500696614	2.68401479929038	-4.96162619557207	12.8012459643192	9.15810348591653	-13.556873353287	-7.79844554877444	13.4321971705618	-3.6972345751617	-11.7490280653756	-22.0453064974788	-4.00212754276695	0.219711083858005	-3.4768147067783	6.75944086058093	3.37248374925624	4.46228612184594	0.995677295132784	9.07355241061566	-2.0817347106934	17.5112670457004	17.5846702300041	-0.46121482986284	4.46212569381548	-4.9789778710233	-2.03686678976911	-5.07030722439895	3.58572698806588	6.98889610557938	0.564582308866213	-8.33015665014742	-0.701300124758778	-3.80879223300643
"g11"	4.00556638465397	15.2448081902744	2.87328895514381	5.37901648268084	-0.0536522314410908	4.10360757966861	-18.3623978197924	-2.81142966844599	-6.18218129180083	3.7749579854959	6.42833633551664	-24.0530180613494	-9.47706528273123	-0.272440645317555	-8.03187261965679	1.69544289122499	4.35920881595485	-7.99493719894453	15.4389923666824	11.9902430073849	7.43721007807675	-8.13298536117768	-3.45162445979603	6.43517812478238	6.08499775686563	-11.4842913636295	10.8291831502151	23.942404269119	6.48075194589869	-5.05695580129597	4.64882175920571	-14.2161948606165	8.71929696234462	0.53853373326336	11.6402250277305	-4.87706411761265	8.44158606042799	-5.65991574240206	-11.3286630435696	-10.1509006370701	1.24963426283862	-5.19512819617139	5.81032764633278	4.39213943005899	-13.5271999416418	2.92859725069371	1.211892280691	-6.09633973289187	9.66039675132409	-16.7357933156289	-12.1121539004145	-1.39592134741141	-8.19564155548707	11.6061139929516	11.2209866644498	-4.12435050802324	9.88095205329221	7.48149599873723	-7.02633820402773	6.8988824287478	-15.3972552529732	5.61106649847014	6.59337946094835	0.968348289201316	-9.14876167842881	-15.134675801018
"g12"	-2.97636162807802	-3.44632157357678	-21.0169145463188	-4.18110476924036	1.19354849494317	8.22591130012843	13.2794652018372	-1.94359803822213	5.65229874699793	2.31249396674991	12.4094033472527	-2.86265080087134	2.21491872393326	4.69009430551095	-4.21079473061188	1.53262882022665	-10.1868471500499	-1.17603317935263	14.5172862686632	7.20548196907936	-2.9564713056796	24.8186119771151	5.28831618332945	9.6966521686106	-3.39308777208718	-4.88716916590294	0.319192087644963	-0.707184591088694	3.29068059728242	8.52068250251048	6.44933334065722	-0.176857795077496	-22.5512438182854	-7.48957981488832	12.2194439030429	-1.83807015212313	-12.9428348067598	-0.198659940257726	-0.352188988331418	-5.95327916137763	10.2904404707379	-7.13741503224453	2.36495822267765	-5.09162300267309	-1.54381967935505	2.34800610159824	-8.31646896013681	3.93960874894784	-4.93095885308682	-8.63543311821175	-2.69442037982238	4.24906918161102	-1.5389158022149	22.3475260658113	14.2200842995101	-20.3750583232887	-20.7034600859841	-6.87049727451747	-2.82932092096375	-11.8441780471272	4.61006265767556	5.59662949765852	14.6106173819138	-3.4957760087128	-9.36637000790538	-2.91705146999435
"g13"	-19.0885739322871	12.7977628651174	-0.762846837643897	-17.7581414752752	3.51493832285201	12.2868688406159	-1.9356451223479	-9.16292229797786	-4.69445991841064	-0.459191290294692	11.5720688011756	25.6670552641692	5.55547543806546	-2.8174301993076	-4.74785875804588	-1.63358796041754	-8.40113000736878	-8.51726392848612	-4.61114073020779	3.71756841541967	2.73893113206369	3.45548724164879	-3.32410206300861	-11.0639441616545	-5.56186637681541	2.27867019568157	1.4417856918007	-9.87051223760012	-2.63240911893986	-1.07473837849277	21.301037284434	-9.74036571817039	-2.51626649739945	11.0640855331427	-1.1098427801385	-16.0473203905588	12.0852133756455	1.17743057179038	11.7532946688163	11.7331347101392	0.338430690314055	-1.60823257328296	-23.5535309660691	0.640137246030558	18.6070401161419	7.68716502341173	-20.7513253286696	-7.0694353836287	16.1438979254629	2.81796861150451	-7.10339391093631	-17.8534082930991	-21.5842026972802	12.352807270488	-0.828207819140446	-0.52270486205141	2.82689433013484	4.88983904805556	-19.4995771810226	-12.96428963522	-6.25544998319616	2.8003543850534	-1.94448971933102	-2.1084266991	-4.29704768957562	-0.240258485101486
