"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"
"g1"	-8.54741845707238	-9.20761186134114	13.7370642308721	-3.89466418328417	-3.34872526726092	8.3183328567839	0.357835522124816	-6.49221939227137	-8.07828537748645	12.6440324282613	-1.1952821131486	-6.76614244177899	3.53576561232084	9.81838583778828	14.1053372295453	6.33589330234733	-1.30007193716728	10.1533154232348	3.21157377677656	8.84092693454318	3.1033785966128	17.151362379837	-2.03115939613094	1.40933224541215	-7.40245225636673	0.368575337285465	7.08193725645129	-13.8198086556753	5.95823414116234	-10.4988552606441	-7.26495171004028	-0.686048879321058	-2.82051456162191	-1.57699334520229	-10.7636510354636	9.81855855439838	4.49987764268761	1.25628440115982	-9.06456803220875	-11.4648591761878	4.20129913876881	15.8402966540752	-5.31810321768348	0.86622081801503	-25.2856966338869	13.5590648464643	8.9601969625627	5.97257358243069	9.95781695830102	16.6939769295447	7.36079626382548	4.25357812960114
"g2"	-11.6454385623002	-13.7766512016709	-17.2552423592551	-0.257992318123505	-3.7210292048428	9.7811924381997	6.19337983271972	11.2396685619041	6.20268143730669	-10.5476111238155	-0.915690597852208	4.69855865739403	8.64914844652955	-1.68289193462806	-8.97517166810276	6.91908731279589	-9.85048167810591	3.34119061441732	0.865819965010477	-1.50601754776943	-6.72884458061079	15.1631418421196	11.0904324882339	15.1272934046672	-3.50608945344937	-6.27639039745265	-7.10462504024589	0.0639343727036385	-2.55597806546099	7.27860848280232	1.42418096474255	-22.408134552587	-13.1867373507953	9.89997411810418	4.37780636723904	5.27349917428978	9.56659637104135	22.8917116122201	-5.13587118976478	14.8529267928379	7.71447614217501	-10.5797635136996	9.47920928387452	12.9090582827472	4.74391837482264	22.911247195687	-5.17871487110924	-6.60591543671091	-1.14317619158588	-2.74756150306938	8.12138876956261	1.06957319725661
"g3"	-7.16821099304284	0.485414928559304	-2.4669220068668	13.306799979854	0.0293290294925827	8.79409214773523	0.180678751639817	-15.6992230104776	-12.9349958349888	14.8831248054876	4.61693029518156	2.72501350380643	14.7839002607026	6.35897024807039	2.69473939715987	3.90630348290605	-11.2702746466514	-1.37432232697197	17.140163298938	-0.707097537347308	-17.0671136446585	-7.75203135971687	7.48338009937787	-1.55013680692113	8.89697565633602	3.68725919899869	-4.01833547102968	12.3845255634825	-8.02696735346842	-0.593362757626345	-7.37437366033194	12.7211641915488	4.72721529922451	11.1900221851669	-7.35888987930682	-10.6662950490253	13.6783268262104	1.10835907159199	14.3563672986213	-2.13094465753499	7.68891995783424	2.81685308475134	-20.9816594474078	0.0693433316496238	-10.5430875135723	-5.52945676928559	2.82322641441006	-8.26731601686811	6.2952871957902	-5.20739076041347	14.3327463313965	-8.44879959618004
"g4"	-4.36991818617877	2.25462261790637	16.1425022960708	2.20143756918074	20.8074541358975	15.646553176997	15.8648188594525	7.55003625406796	-9.7010417468308	3.62880096433425	11.6769467425135	11.1368856913915	8.63276613091133	-7.33131671683651	3.86488478541974	-7.47365483759049	-0.71650583958321	-16.3765646838991	-12.4542646454213	-3.66655513431132	1.40860083841915	-18.1417483784424	7.06661966852253	0.646892170965537	-5.28505711062345	10.2184408698009	-9.68173977851989	3.77335041395822	-0.673356415168707	12.9864371435686	-10.3533577962235	-10.7655702049384	5.87663080400628	0.831657726458546	7.16805819011564	-1.80254497049096	-10.2631144357794	-2.59528307013049	2.38807970635506	2.21695067473239	-27.5501936236236	-13.9450993688427	7.94710632259865	-5.48423820689117	1.13836149064796	-2.85128937768917	-4.93281667231235	-4.23312448901239	-2.66731783754495	0.448010780792534	0.0872407327533551	-8.31643547519456
"g5"	-14.1945478955128	24.4479195889247	0.614621073795018	-0.15452140790361	12.3933108260196	11.2606496340082	1.63717782186833	6.40732831391487	-6.94069614624326	-19.8833294526461	2.09323962279393	2.94760807776702	5.41250223490411	3.35252570498287	-5.35474374352263	6.61731552055474	3.90402776814774	-14.8170781712927	0.523235644670319	-0.977891179737777	-8.10083530333088	3.25946429931638	29.947882064213	4.05213416512841	-7.15569240490047	-5.02704222525223	7.11963251025828	0.813925983612093	-9.84942078476259	15.8330752139544	1.6472310336094	15.1757841601004	8.37432800484874	-0.762200343186434	3.52719436383215	9.41859443433397	0.400430700284168	-17.9310049849915	2.96172406846667	-1.11837902137776	-5.60754010559143	-12.0160680775248	11.5711168869373	5.12481834963306	0.0703018980125062	-4.12575157153371	10.7216063191865	9.4015224332823	27.8065656891346	-3.64895168586587	-6.54592452037887	5.7444068371932
"g6"	7.08721294024638	-4.79340878024311	-3.71523469935146	9.8922459821329	-13.705742689613	-12.5465288114728	-9.92128438806156	7.4665328685176	25.6241771763169	-15.3896842209828	33.7944910524608	-27.4399682932894	11.1363003428014	-12.5633303895091	11.8998168844144	-5.46805903957254	6.47584078062634	-0.856775624612815	-3.49989389617209	-1.12383218303972	9.0683474066527	9.47216990466326	-10.9372463920267	-2.13863914563712	-4.33712440264613	18.3932552703036	-1.3251023327956	-0.175167125000366	-9.61730648580489	0.37267696328611	-5.60737614782363	7.60500991241065	-7.77191103760855	-18.9694493379975	-16.7695450291641	5.74852556889429	-9.54955608319434	1.81562783090115	-10.0088808394646	-5.75467788196034	18.4464510508294	6.00402071139552	5.04133340428434	-14.3034046873676	23.1913394195409	6.64423939632856	-9.75887347244796	0.206635895949236	-13.4573818033408	17.1224200689695	6.84525549347169	-1.04138847285577
"g7"	-0.499629152988916	-2.78635694348382	6.73578205175965	12.7842410760406	-3.82381189285356	8.88325722069124	3.12665724894957	5.17922292772319	-1.87659851725126	18.43617759949	3.13004642355174	0.310553916226504	3.13127383923943	14.2729817113672	-2.13412854382468	6.40229312480617	16.4641327101196	-4.60253041436046	-3.06120979614981	9.547754516878	2.59697624740839	-18.7987664236119	-6.24769886697567	-6.19540509939329	11.1664345467884	5.98156727192573	-6.60630097162176	3.21911719015626	-5.32963053841346	-6.11354577401246	-7.24414530225545	13.3139050117773	-16.7459850597328	-6.59585137667027	-0.809818404730285	-5.54017286134134	-4.72936557438069	0.300697709838567	4.67612157378402	9.12344561840168	-26.2050707950817	9.08218336658054	15.0441937577874	-4.1817417485554	-9.38256131040592	12.306792156568	4.06365695161286	-12.0519145142704	-3.20212675549636	12.3749914476622	-7.8638368643251	-8.57383690346945
"g8"	1.71929770704396	-0.436992259455866	-16.8951790738214	-3.74904819345136	-1.15515466569227	12.7087576455751	8.60708998488039	-8.80746287629024	1.29283657176756	14.3640620107974	-2.34545387054471	-6.86098964539147	-11.2901875284625	-9.49816993722239	1.87306774779231	3.22414360474671	-14.4945059625166	-21.5143587759699	-7.89125572169092	6.78376003971055	-26.2372450728772	-1.21903416252987	3.92628093756186	-12.2394667859514	-28.2189253518564	-15.5541501554394	-23.5161973178275	6.59937400829134	6.09415466274953	-15.2391839440323	-1.81508965475838	-12.5601416310315	-18.786541569122	14.7097716789589	1.9072108131291	-8.2454693177439	-6.21373707520674	-5.65677756219594	-4.544733236837	12.6090163975301	-3.32477518820128	-5.60957543412946	-10.3605364378624	-2.05617627236307	0.839590726821222	0.709342481549062	-11.6602461108095	-18.4537255292234	-3.19870860892632	17.4826595972672	-2.00611713242193	-6.11577673996891
"g9"	-9.7603592335596	2.62644657184678	7.65472656658756	-3.61141030555749	-23.3673182621401	-6.61806645990187	0.517412878231686	19.0481039409228	8.7204291983472	8.57354054771329	-19.4589573785462	14.5161370102917	-10.2571726991655	1.64201772049584	11.3171722229371	-15.7970817763465	-0.356777678725647	0.786753136657852	2.51474189708323	-12.420206989842	-3.24865136662664	-12.526002816242	-5.03652510030576	21.7336983936403	-11.7932993433926	1.16996508580205	16.5093680095558	7.19505733649809	-6.12128057704508	3.83858531384574	5.40311309418487	1.44225175842136	2.57914195343878	-4.05448079630154	14.2777050627403	-9.19774586767659	0.765014997752468	-13.7428419991294	-11.4010505004564	4.80555852603817	1.0955610549025	4.11941509154035	-6.23552140538722	4.16142465939936	-18.3961096224846	-3.03500097863768	8.0349682966597	-11.4499780591299	7.96081795193296	-5.15101907103562	9.35437697750794	-9.60400768580338
"g10"	-12.1946884645812	-3.53843856358222	5.1200834777235	2.37731644248273	9.34320546598692	13.8828404300767	-16.4371788405099	-2.58063233895802	8.16182550439658	1.56333827236926	9.06201095797948	1.49105256750702	1.14180817872577	-6.32033158901934	1.99796712538049	1.16554917525126	-8.56303079025248	4.37884488435808	0.429845112038008	-1.23222117949868	-2.69145102322969	0.0986039516486687	7.09948552867343	-12.1271258003861	3.10705654605648	-2.13358578833848	3.73138207233565	-0.168467352399945	1.67159848343077	-7.84521983118692	-0.420621856300588	2.04348031897172	-2.60184543273226	8.97503419270639	-8.96478469674746	12.1427367280442	0.950421257136587	6.25374385139729	0.696403919127181	-0.603853620583233	-18.1109818217899	-5.5135745864602	12.0323578333497	9.61971573860218	0.935150214708247	3.4700438982004	9.82498788008367	-1.47822971799274	7.51651586467483	4.64750206764033	-14.523010886621	-3.56361185717685
