"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"
"g1"	3.18564729086944	-2.75152880947549	-10.609090601741	10.6621338197424	-5.25327701182677	-11.8488738813455	-15.1629805671892	-2.31959515907599	11.5902658289213	4.28562408690318	28.8736379791999	12.0422501590773	-9.02025681304018	-21.5399851215598	-3.49111689125333	-2.22698567219037	2.5831283105057	3.31346409515966	-5.79618736213814	6.64112777579203	-17.3074614217056	-6.95472707508074	12.349529479841	13.5181992307198	-1.05862012352155	-12.5266588313273	4.15374374631355	-11.681660558884	-15.2557295922855	-7.70937783746419	-20.6852942226757	2.20561876278239	3.00511220803648	-4.215111789529	11.2100685651041	-2.99454198578224	6.70251380840982	0.675618573435976
"g2"	5.08091790041439	-0.0859951636910868	-10.4852781839827	-22.8300143472073	-3.3673664316043	4.51014371128461	-7.18030705731724	6.12722962749126	10.6761016819719	8.01874033348422	2.30448253934088	5.74070862966991	-6.57822451785841	10.2159867582769	3.18196495742551	7.07403501982022	-2.64837936596593	3.52719417104876	9.82005049409895	6.40518772712972	-4.20566994846522	12.6166992147207	6.96415482989457	1.10218862826973	18.3690317090307	9.6917173528781	15.5502487484567	0.82283610243568	3.46488013806344	-8.82242565558677	5.21326122708197	-3.87221865024126	0.642545256503951	-14.410398328349	9.65383307455422	-4.94425312291432	-0.113882630077358	-7.64468667796777
"g3"	16.1565191968105	-2.76978423009816	-1.05155672356706	9.11891283838828	-5.32060453224322	4.13432277911654	-4.2779799176225	-4.31299808053046	-8.79579277709551	8.43308444050956	1.00714649095182	-8.64855950992893	-12.2852638320366	-11.2178872235688	13.0012490251477	-0.257342181435597	-11.7168671414131	7.40938934108321	-0.245636624016784	2.88197679959101	-2.75512899517526	-0.841125935219252	-3.74680863114329	18.6773731667794	-3.34476156427784	11.2061729226558	-1.34235032002463	-2.36584583072387	2.20316605018233	0.830008337103196	14.4848198605761	-6.8428152807751	-13.244990301841	4.78283042787843	13.3887685323609	17.3060634327419	0.995987010803463	3.51930428154393
"g4"	0.322166238291214	-11.2728327755243	10.4740642606957	4.69371817278813	-6.2902229390689	-9.40649789179934	-22.432565032353	7.5575966710382	-0.301155437240131	-4.84613464140673	-12.8627519707782	-11.8504229081327	-2.21550756219639	-17.1836869295566	-6.03063879232588	-9.14108836609547	-11.5130626497177	-3.9339682984369	1.30728211651641	4.05500789851524	4.24557838738139	4.03707555829757	-24.6315992459722	-9.71268722667714	12.0278228994369	1.56019064910728	-1.88516021173256	-0.452668424542532	-10.5885633934137	7.39982658822211	12.8651992828044	2.66428232933217	11.2433492958791	7.55730309459536	10.8086707335915	11.6144898478033	4.25977984391709	-8.11289421628958
"g5"	-0.494326275699436	-19.5851487864443	1.50637511110042	15.1734737045179	-21.3069699538366	-13.9370528863056	0.108420536387968	11.9128170159871	25.6376780521879	9.71860950982485	-9.04533338080558	13.9346635041514	-16.7254191802936	3.10637765963396	1.81800773294953	-5.84276599093553	-8.63073406787204	10.0397424702973	-4.93250629789239	0.0178798399147774	-19.5294734453421	-3.78092818476925	-6.58461415919679	-6.52062429045774	-0.893349727024194	10.2668867707068	-4.2710322899073	2.04550319281412	23.2410772581989	8.19983353482709	-23.2800502685199	6.11962475397503	-3.2862131381573	-5.52270349247419	5.01906634671884	1.72506321690169	5.53781395339328	2.94664844714145
"g6"	9.1598384571587	13.2590031854851	-16.5814573485172	3.94542805621314	-1.29006527264891	-2.00079991648641	-8.51053365398498	-10.8436315380838	7.02939733215048	-1.27921725086271	-2.21246261729006	11.4557433782136	-3.33932546204706	-6.30526988878496	-3.23779225184523	16.1474602401519	13.8231545671208	3.37509800081345	-20.3465862131616	12.7874677827242	3.70729097477968	7.36237232583619	-1.93410589513707	-3.90224092627879	1.95851604777647	-6.33912676509458	8.17443199771255	-1.39085768734594	1.87851908093843	5.83749127837061	7.61647083830348	-8.19048532504217	11.1842178975489	0.447489211894853	-13.582157342203	-12.0071151481325	6.57049087292198	-6.99962850178763
"g7"	2.26969225789491	0.418550100041618	2.95605215007563	-1.22761610848188	8.80509809940278	22.5430054383043	-12.4537094442771	-15.1649377139743	-12.6658046877068	-14.7758258249533	-11.0124756046571	12.4940232646459	9.69591637528152	11.9519364939357	-3.172330240069	-22.1503713194129	-5.29413949731329	-11.5186460019861	12.4535025990444	6.45356409026664	4.65159708008529	8.23899550631467	14.8038253835437	-4.17262299402047	12.6848451653039	-4.4952603638896	-5.06951842948014	0.270572399620233	-9.42848384838703	-7.77886936494994	10.9798181092663	1.65809698316255	2.93972090990873	4.02710048229588	3.07414033610776	8.75856923603375	9.83994450945461	6.90052368544348
"g8"	-1.15230530167462	2.14735234287428	24.1331627524531	0.774316042116694	-6.08784076941378	-2.54924079822359	-0.995590877391097	6.9471513045965	-3.79732690972408	0.00285353124176417	15.3941395543373	0.682673791773904	-19.5577739753354	-4.78022233179	-2.6930565291166	16.0085084387709	-0.976514483519096	13.0221191346871	-24.1822006876046	16.4753488436611	1.5134473934306	-6.63318218439232	3.41055516229484	7.17319641469673	-23.1961167472516	3.50618992550512	16.6205560958485	14.4329907014872	4.32472772614903	-14.9483233931116	-2.35584996849611	-0.931268686693353	-1.82546922978968	-12.5110307523307	12.067992048854	2.14533413179607	-9.05770840965398	-7.03590111372142
"g9"	10.0590145798047	2.0202152078861	-3.07159745303658	-8.85594825219902	0.903628067887268	9.4181809901692	-8.28700369503522	6.66529362292123	-8.13215440760511	-9.73370877799974	-1.4621849009736	5.55480589402523	3.02062650476323	4.4403970643461	5.04235130881813	-13.139113508764	-8.57470438091058	10.1164594635511	22.5126310055114	-16.983561617264	-2.004140960744	8.45253320700435	-8.1962822108559	16.4911153061454	-28.7095259676622	5.82146859810033	-8.37810712728625	-7.07600638273908	-2.21909755944433	-3.49683885277312	2.62655130345737	-7.06243013253622	19.0195380234339	-16.250876557528	-13.1008270919966	-5.8995379431565	-1.03462323897836	-5.97465061403267
"g10"	2.77537335261045	12.0375562056997	4.69095692889853	6.01930320821915	1.34470487836242	13.3340555002684	3.51627501337177	-2.64559066015133	-3.43969847308493	7.82341205168844	-1.00662968239201	12.5764079433647	3.66036759536677	10.5236474917741	11.4093542937377	-3.86667395569029	7.73109769586645	6.92772096347757	-14.7352013640018	-3.11195559126071	6.89390881045345	-19.0985079171394	5.07249139701873	2.14487233128499	-11.6657045415583	-12.3094609574993	-1.71603747150925	7.3977942888724	2.80993159827001	3.0170272581173	-4.79606997880592	-1.29429440941337	-15.7402374186014	5.09591126507552	1.73184535245827	4.61300214875085	-8.93246310712714	-15.6265962505813
