"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"
"g1"	-0.834665465523234	-6.59179595967746	1.87783572684434	10.6947880157077	9.37853038610825	-13.9942234657929	-0.301617686710377	0.718364952058445	-15.6995783418792	6.63378330587215	1.78076797747804	11.4355248382226	-1.65689988499756	-3.40975099574035	-10.1046613937331	4.00879219334079	6.75328793853996	1.8636919867975	0.757266636756755	13.2036177122221	13.7110815339315	-8.15757599360592	-4.33012858079456	-1.49767454742986	1.56396516430147	-6.27303241177762	9.63496536036788	-11.6144308104406	4.42792551359054	11.1240295137386	-0.489531271143924	-20.7233073984738	6.84160104288606	9.38166384321363	-11.8178961406241	4.46218820601292	1.27290020568426	17.8517220920331	-20.5271205740058	13.3854242912479	-1.03629757725295	-2.18738377071701	-2.14883466620602	-12.1612546328083	6.20742739438294	20.4029210013781	22.8269731184018	18.5014315158143	8.04846060540859	11.1440166938396	-1.32154752821415	0.807159283942619	-9.00288400906584	-9.68962740962142	13.451937376097	3.31308365234531	3.96123109936256	-1.12150930331052	-8.98727820246729	3.76768608555895	6.4284445000126	-5.98928148091439	-1.20817409687633	7.24652361697499	12.4411811239317	1.21350522702939	11.2951170170316	-8.94009137540539	-19.2168484104579	-12.3265691999901	-8.40647973903806	-5.10018821545391	-16.8649266590113	0.701242782760811	-13.2959272895044	-5.52384699090094	0.643854539514944	-7.63508139609914	0.593365641880821	4.67438519652264	-2.83437560118255	-10.2602746728327	-4.60954513080709	-0.18814536356308	-8.29702535490311	-2.7848591588406	-0.49947516284708	5.9931186022638	-0.093043513329726	5.80623177893414
"g2"	16.4642467637436	2.01243162433529	-7.01453279020011	1.7495816544754	-2.67326003307917	2.06694443774466	6.9179068643489	-3.44545572373124	5.2118520751326	1.20696735508951	-4.6805574581038	11.2766775223362	8.01308385562589	-1.39075811029011	7.27180930323812	-12.9436589615143	10.8380145553296	2.94651449446383	1.8524853646513	-3.75280620697112	-8.9643397842126	-12.7831299576553	6.83670556924347	2.40443423355724	-5.09423383987678	-3.2073435409784	-12.2758395507759	1.09130000181104	-16.68052792172	-2.46036684461788	12.5323226133314	11.7215420132709	10.6486146768314	3.21195424457775	-9.21515394807954	3.44920620486836	11.5901290043505	3.20917463300046	11.8301644471274	10.7297031496812	-12.0961009771709	-11.6228054191541	-13.0805315628064	0.95339000768843	-22.1362873692952	-6.3661952728237	8.33468213409153	-2.67465989701322	-22.3167998711007	6.16408437459435	-3.43906467350283	3.63567480848699	-13.8403454568268	-10.9443088674812	-11.946164965401	18.4600360218133	-2.9405989301798	3.92925337928956	-1.69349406423581	-10.031397886084	29.9973698847455	0.2154661946932	-25.6122347242519	18.783571657747	1.58591922705801	1.55282986278088	14.7416095284973	7.25202396746337	5.44986427310361	-16.1254395078052	6.62207127945995	7.0790912740181	-7.30780942500961	7.00159746997735	-9.39483370123166	15.9009647370617	-7.81240613380694	-3.77697314654563	-9.71783358865156	8.24787629466268	-4.74336195282722	10.4849012021247	-1.97162006388342	-7.70765622526999	-7.99881885428575	11.1563057093569	2.19264813964176	6.96468042873364	-18.2069880926804	-2.05098165612808
"g3"	2.95603430533314	5.61432824527596	-5.16804407419491	-10.9826324387617	10.1149243070751	6.54021674658612	6.16537858256207	-2.12192866772497	-2.27093085606629	-16.8107675914743	-1.54929696855297	-7.74139502267259	-16.6991103654282	12.4196083937935	-3.89695360506959	6.17352081605615	19.773096338999	2.18387902431973	28.0756808934898	-3.77265670407311	-6.99892481212937	-1.52761921413191	-25.8589893416472	7.77130950480102	-1.57463651281786	2.88647654180264	-17.1000833766436	5.80736207448191	2.40636623546493	-2.07249358568275	0.406098278087256	11.1997079118572	4.85382110583773	5.1610586559588	2.9085462745093	9.41664191679439	-16.0005104519955	13.9658740476357	3.84367703645324	2.09493198002305	-0.718903258885786	-3.73645878455618	-5.01879561907171	-16.0321902893398	17.1824486505962	-3.89376167561238	-6.54368441304631	1.62376251793175	-14.111383958523	2.60074647844948	-2.79792436374374	-9.9545536333801	0.204659143309267	-6.16730282086531	-3.41713414743998	6.18006726975623	7.07576500525915	10.4611115873283	-5.29500979296002	23.7811267922716	2.56138771563461	13.7206653142803	-4.74830252692182	-11.5921393853336	-5.0976681844945	3.72415445991753	-3.99263283722664	1.73504845277656	-17.9876757293776	-12.2569235246633	-12.1787317095725	11.0458900860139	-1.85918188732916	-1.17784665680901	-4.19798176329035	1.43803194598243	-10.0770639922138	-4.94490533683633	-10.740447642452	11.8257388688619	8.678735714407	6.67039661260171	-0.864022356045121	5.96165878954989	0.0960486581222335	13.4272591260089	-3.0486333793455	-19.1044231493319	-16.4987620620096	-4.34156379802597
"g4"	-19.8540665932715	6.22580330623695	6.50453994826516	-2.3988847721062	-1.05117692322713	8.12022582180259	-1.79717306234977	2.36186153013409	-13.2881432799946	-2.74343354964737	6.69761778006352	-9.43292983105	2.38057291193526	13.8364020474633	-5.55613058795101	-2.51563820836497	0.950891899486842	2.32681019489185	-10.6926648752739	-2.51554941240563	-5.36489428369414	4.02615300935813	-2.1461178286587	-6.0062908629466	-5.77898329834083	2.14156729883972	-10.088552770732	11.8835988991287	-3.76736187399809	5.06774276216998	-8.45194034854504	-7.79326450597908	3.80301198766546	-9.71156141395412	-5.65499744009048	-7.06209099882528	10.8929970501986	-18.8937036488899	-5.17592548754014	-0.531726040664191	4.02396215938038	3.18615441235602	7.76596879652284	3.63286441163936	0.164150651199674	2.32667404744856	3.55716601198906	22.5640579258245	11.117073860574	-0.367332923444881	-20.2605783374962	8.67594463182583	-4.75843550916209	-21.7558354658111	5.18156865964721	7.61786870422117	-3.85366006963594	-6.3158556067473	-0.188191762016313	2.16380469852913	4.55982019095211	-11.9002503029846	-13.358919502098	-0.874265590160656	-6.47456986327488	-15.9318004252723	2.97254138273758	-9.49271127521691	-5.81739755414652	-6.88308412356343	4.36820936052287	3.86809103657915	-2.98388402839748	3.14985728991267	27.1749130344491	-1.54692264374919	-2.93335249217719	1.72260030386198	-13.5060958060401	19.812958917511	5.781658613959	-5.6778353941192	-1.62866426813206	-7.36146982946006	-17.826991150364	16.3502431337668	6.78888014946593	0.430197537241908	20.753781504908	-5.96236707030332
"g5"	-10.8223946570444	8.15268837820137	11.9833631120616	0.328938488068846	-2.17072470622404	5.00114243186564	-17.9932460167328	-0.614359338225571	15.165671163145	-5.42570067169589	8.08893688014364	-11.7565598521261	15.7926013045646	9.1445149846076	9.6156428605163	3.67122925105009	8.85033204033157	-0.111024764715498	12.9335071601276	1.69421922748645	4.77333007184763	-2.21123669302965	12.5017333854348	6.78266165479627	6.34069041509295	1.02259747112647	5.93562604822483	2.86710818248516	2.13811944518078	-8.52585207689255	-4.97575647629785	9.4742954511692	-20.1378248790869	-2.49246376077082	-4.47438624676333	-7.1000467002085	-3.56251164416347	-0.0499105205401423	21.1858050784197	-9.13290495364221	15.9972639571266	8.12565113044245	-1.03991648768896	3.10805517248014	-8.05003693904164	-1.90090662490399	20.192233555022	7.07797033670082	-6.83521404090201	-11.7976370802467	4.90964842205416	6.26482899239589	-5.82982614630977	21.2376952040841	13.4031175713722	14.1614055050493	-9.86532977742985	13.2888817039359	-0.241232209952094	6.62559602039274	-4.58865804298251	-10.894950282064	-1.10915698798377	8.26712322048871	-5.32018515823884	9.6606911698218	-4.05779061661104	5.92554248249973	-6.91844491929866	1.85839537794055	-0.393060232302867	8.2266655419368	0.963376847972437	-11.3128309133932	-0.290549752476726	2.08738513582428	-7.51403099013437	9.14709111863191	12.5363210745058	12.2350310181084	-7.55428534350533	12.2050904566041	-10.5175527499776	-2.64826262446275	-13.2774346271387	32.7678957792654	1.1677999837652	0.589127581966649	19.4326867336503	-3.05201134269011
"g6"	-16.2811995340893	16.3109789286991	17.8001826086858	-10.9174409423836	-5.10075802538231	-11.370718815092	-3.51543442406523	1.015051531426	8.13749803929493	-20.7961031365089	15.1338496629129	12.3405050571788	31.0837792613306	4.435509405375	0.827989186500144	-10.4747979139585	-10.6509724958456	-17.6446632502773	-12.1094105625112	-2.66013226415966	-3.29982170843853	2.43104628263355	10.0869870461577	-20.4234533041317	7.44392931291164	1.86781363828087	1.54298089555127	-12.4245470427388	1.40030018850524	-15.1541830637483	4.50753417675143	-11.8764843614965	-9.41346361288509	0.377150326766169	-23.6962901797957	-13.5193088399672	-21.3139916551927	4.21181708163541	-9.11300291059895	5.8204581269491	5.44328747986075	-14.9111925481965	-14.8023029074181	2.09653295113232	-7.31221321809046	-10.3802187913588	-2.61098446481089	-6.33538822543022	8.00588863349309	2.37118839704727	-30.9036006034254	-18.5476244105586	4.46363875919972	15.7921002557822	-5.53368854625724	-9.52817912881949	-20.0809551976317	5.17670054072629	-1.9077526577297	-1.24161122664232	-11.3911956905827	1.13452689146411	0.943822655854347	-3.78604733452395	-7.59518061713946	-0.826789729210127	-7.38245174508498	7.20804515785973	-17.3020864492454	-5.17819906183237	-6.84265801934468	6.19213510743986	-4.83627855532004	-1.06330601828398	3.84864130217831	-15.7342003377793	-8.75891653314667	1.83882859715471	0.0302742679102721	7.01719431314287	-1.22875843813072	9.16352774050133	7.22557212047349	0.462948025671537	-20.7808489695856	7.79381429190916	-5.89910657631124	4.49381130659571	12.2839712224171	8.32795336695515
"g7"	-20.1309800845209	-9.27167008422863	-4.22770994591609	-1.15267040759225	9.9904790784276	7.93414171587429	-1.2544216380879	22.6101163692354	-8.11895305485789	13.1686410963965	-0.53769663232028	-2.28341709100918	-4.5872829055907	-17.5789003831027	-3.35524555270044	-4.17383326914615	-5.4117335768893	-2.39630635856711	-14.4720521261484	12.7220546822831	12.9878553986383	1.94085018411668	13.8509873176264	-2.5252617265267	-4.18999526179892	1.23404014268737	2.7592593198204	20.2114492598607	-4.29873541265848	-19.1955104992831	-3.43050137661457	15.3653718933561	0.354073416227719	16.1617494884207	9.27351619989852	8.9374209268284	-6.71828971634332	15.1324904361971	9.05699583203463	14.1347071386745	1.2006801038419	-17.7842340333367	14.5476068074055	5.63624282249567	29.4877285288204	12.211259929118	11.3421480479262	7.64275162076568	-2.41984802247692	10.5400243047588	4.17080106610197	22.2757090321605	-20.7610056017529	5.16464797013034	-12.922953642383	-8.77589156369274	-6.18090912034253	10.9334186086214	7.24142487754564	17.6481833321168	3.38746159026728	4.73029711443843	3.23466237952713	-9.29475857939795	0.589841292209362	11.5021995195063	4.39650024195639	-7.22294594643667	8.45721005253003	14.8306977474244	-6.02574460995442	1.66862020009093	-21.8265048564132	-5.43868514527054	1.61087288936864	13.4987279472215	7.67829054328172	11.7257430982846	16.7268165138048	11.5491336349461	12.5376713131949	10.7234014001291	10.6624059894851	0.128316582020598	-0.372766165584851	11.1826643772303	-7.52177480271435	-8.29849832962204	-1.14787933921024	6.94161815163531
"g8"	5.36117988542847	13.924179737691	8.71066172147807	-3.88738513557313	-2.06202668341262	-9.92383820403745	-2.17654249995152	-10.0372016806152	-1.44831972479838	-10.8460158522729	-17.6232297260909	-10.4265415692764	-14.070843219078	1.58505805318952	-2.66912241790331	-3.09799104761604	-13.2320875004253	2.4235036874315	-2.36568234522237	3.43027332291974	-0.211842432275615	-5.85395131072734	-6.29506185013988	4.27694957627484	-18.5825160350923	4.0475877826238	-13.0930656375962	12.4250929529945	5.67420647281544	12.0660179937253	-12.0834737880977	-0.376748764567186	10.3137080303096	-7.6590796988012	-5.80374334744116	15.882881377129	-5.09635238790988	10.3921540285569	-5.60446670501443	-2.01299571924063	0.932228195113484	-14.3994364860569	-10.6018644049404	-2.70646996019203	-19.1217921130991	-9.42807874107703	-9.29120968875801	21.5482387517675	2.85950689455648	3.93049940096666	5.27815226567238	0.445807441898665	-16.0047874864856	4.42727625503842	7.6867939767144	24.762002804895	11.5794716687424	21.9202768963995	-5.66523568441756	8.7136861198822	-0.767414928462269	10.1987595725611	-4.70020511315662	-5.50186615090858	17.9637482441092	-7.06825420152082	-0.597046233472845	-2.30112940994224	1.10348693731955	6.05389775355383	7.16311596903603	8.95150427420437	-2.74868076450818	9.7054054065987	-5.34856785672771	4.98110124702943	2.03407168752573	-7.35026189813496	25.917993233727	2.37557837278562	1.15391193522818	-7.71210032135746	1.16674165903018	-11.0044948272151	-6.23833658793193	17.0796937559914	11.4290061143505	-3.2680394101296	3.30754946712136	7.07043051059533
"g9"	4.33148686088885	-1.47345303634701	6.7619140922803	-1.85032067635091	1.21889391534406	-12.2244089487917	1.11571461953966	-11.7380084584131	8.78025864988234	-8.78245224442821	-6.49966167038961	4.00528092660529	11.9869954167533	7.38516320651551	4.11691362525993	18.1251088887566	-9.36474700175063	4.56756112150509	12.9108352374791	11.2233324774732	9.90227386838999	-17.8452835829621	-7.97535606215681	-9.31070444219042	-24.7911817763589	14.7532357437661	-7.69657946060059	-10.8071652741976	1.72250038649005	-6.0744409365721	0.570999546098134	5.34137226292519	0.982676402358561	-11.7415550366307	-12.125537784537	-4.66376823996166	10.048638693737	-2.40233835320748	-0.443009788819196	7.93340552702122	-13.8889868261061	11.4111815857601	-9.37605248907148	-3.31995706119286	23.0835524394841	13.5677171448666	11.1538344561669	5.48065447557146	21.3013373646938	9.53127611534756	-9.38737225477893	4.82599216632838	-13.5323100018981	3.95372849731407	-17.3536499624065	0.120501627748736	0.699693664434251	-24.3605279816663	5.24613282692464	16.501790875696	9.71920848205803	-0.780415272443357	16.9926798323231	-13.4202317253164	3.0344587409055	-6.31271568731473	3.21231427550568	-0.922921377215719	-18.5419631578678	1.51316824289328	20.1842377373732	-7.96272066489171	-0.307286710130181	-11.4492361027532	-9.75220791870891	-15.2847238647849	6.71516025808443	3.77976889833744	1.48783183298182	8.31600123304379	-8.92401648004195	16.094480367016	2.05637394898914	-11.4658538376654	-13.6745637670438	1.64631128398716	3.97768561759888	-3.4519222951518	15.6811932110893	-19.5076433483349
"g10"	-0.957482054598622	6.82616924090234	-5.88714453814973	-7.63681037212494	-1.35666479113455	13.5734874996878	15.0891577296905	11.3831161109454	7.09994054398545	-0.879745280411974	-10.5048815678995	-0.86639866391225	-16.5473702795126	-4.59436482778729	-14.3819768817332	-18.5224557570975	17.8294382726652	10.1489141942903	-0.175551221885012	5.26163672347065	2.15102581060435	-16.0305984073625	-3.77817936627059	-7.71239948002323	-3.09741784711031	17.7893634088359	-2.72601990174877	-3.33544856575549	1.46802448647071	6.44563367284184	11.2956097209682	11.5312114726107	-0.151435587485638	-19.1903158663624	-7.90190771934151	5.63580751077612	2.74711885510518	9.27359610038008	-7.91955675662782	2.69107729856634	8.82562419176873	-0.478022859398606	-4.81933791732237	-3.47154239759946	4.73800538651498	-18.9494805963536	14.0553259848854	-3.22397967007513	2.87761539216515	-2.19542962290113	16.2960052012924	13.9060324355386	-0.394036736556219	2.41770856072644	20.2321774297761	-4.61037956512234	-14.0311654130973	7.5487529389356	-7.84452328302051	-0.560266670265041	10.6854412259371	-17.8450565415035	-1.00767054591556	5.70089712738005	4.75480994110972	-6.24299067703713	3.80064375205268	-12.8708225214724	9.70101094144544	11.8656772267525	12.5576154894323	-8.86599782698337	5.49644670678109	0.443629381718689	-5.47124699694686	-5.3381406705896	4.36266219492615	-3.43128236280424	1.31995387682575	-8.4486946509754	-6.08469422941021	-8.33667820855262	7.7661143183632	-4.20087064474873	3.36962653388967	6.50737192748104	-17.5785062236094	-8.05419599245373	6.74495544664962	-13.7481683025085
