"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"
"g1"	-8.35365187823135	-19.4053178086739	-7.78985490704513	12.3121520625299	7.06151173558481	-1.77911259560737	-0.884188067200485	8.80019938970432	-0.875824170620568	-12.78263143277	15.5573488050397	2.30358459334283	16.0418973409964	-2.39547763987455	-3.50898407469461	-2.43512153563587	4.85780778665183	-11.9383361056565	4.68253046681334	8.22737643269044	-6.2066092020017	-8.22605781071171	5.47406079209473	1.08630070144906	0.430259959490441	-12.5935842201513	-8.59221261065841	-7.76514054032228	-15.7200165185984	-2.98802562624038	-6.1486713632243	-15.6849670180123	0.675072119167401	5.82220816540026	-21.1859833434597	-0.740731902206009	-3.30841850756851	1.98777650652216	-5.7302297947789	4.42009466814249	-16.3670743854075	-8.97865525230819	18.6201238828137	-3.11737093039268	-18.4846645232924	7.33118148414479	-10.5948000568193	11.7189411864787	0.32671095855113	14.2706739325258	9.4582964955013	17.5605417608108	4.83018916385617	-22.8664872980768	-8.25190317370576	-10.6020910226162	25.6504238226532	0.60245627143738	-8.60835622707419	6.07007638286677	-17.148049101655	7.42142721453067	2.24489008187839	-1.57695831799113	16.9713408028338	-22.0733377820278	20.8562399054063	-23.6733471416565	1.77621784019857	-14.7086030705657	10.8772180433288	9.59091306439718
"g2"	7.70858249737056	-19.256041708441	6.3371186403431	-10.1292819420861	9.0009578105894	6.81218418003064	-5.74636598457444	7.53131369078716	13.9495543586339	-5.86735886883315	4.18563951389188	-16.7382396442808	4.60623409473477	-7.51790609032139	7.49802471554212	10.0169032809459	2.45952211116892	6.5067500399504	5.44596989574848	-11.9414724924718	5.3530024339975	-5.47883436446419	-3.43914005961324	3.57045292318759	-1.5235896763308	1.74934677309722	5.91541551542336	-16.1053095418996	-4.36908977030676	-6.88889902443816	-3.85705534542387	-3.20903878589634	22.2497015970568	-1.4371720196247	12.401862941941	15.1617347935079	6.30977655288028	-0.890774417028417	11.4256117464138	15.4199931415243	1.16203924273723	-10.963906082397	3.11702637394399	7.39405897446304	-8.46535765849439	-0.528785199713269	3.94932912913351	8.01940075456204	2.57051432307054	-14.9614443380369	4.22909314956342	1.50392920351587	1.70173720776918	6.73005975885618	-5.9889741740151	4.10031260158281	-7.29008358128643	2.76110672176349	-20.6904321424384	-10.7847750774411	-4.09103666735668	0.286534125454683	3.09768296295167	-9.67170793886087	-17.303858194615	-4.41265520417483	-10.247724566994	4.16443240227983	21.9876917307731	3.27417054901799	-12.2295392967733	4.69697438808934
"g3"	-3.11876245427843	17.3710761260015	-7.2287621479226	-1.15661072362609	3.73929254070455	5.53959236788237	-5.47918631932701	-9.17515935841918	9.47759309574343	-1.71600465128535	2.44873824267748	2.84085641886603	-12.4245837588649	-5.84215052959656	11.6438779463214	-8.92670691121968	-20.362139709425	7.30861775439984	-10.8100626718432	14.464364001976	6.80470389412963	-4.68111335249959	0.833402865280477	10.5025578822945	4.86246066314549	-2.95076029160506	8.8692568968403	-5.61772276258247	12.0023987338082	-17.2179731138361	7.93560145666594	-9.61718158435837	-11.3962836792938	-9.89965608185986	3.76761099572872	7.25668305609215	-8.50055296039009	12.5914887166783	-0.504903056132769	-6.38831577732778	-8.88124211990584	13.7627761184231	-10.6546354174608	-2.77026487426448	26.6050566145681	-6.87481689469113	-7.97019232346469	1.88193439270207	-2.59641019155001	-7.46615725712158	-14.019669459015	5.98649919044466	-5.40564549231357	4.77000091670731	-7.20700778462924	18.4484596072701	-3.14314411505789	-10.9967783554346	-17.2745308288415	17.9732329821544	17.6074518967082	-9.85264996948028	-0.519575529458735	1.0928785499208	16.9715969336776	-10.7475538637093	-3.16139512702326	5.89738010458255	7.5398376045217	13.1063463712911	4.00791236867298	5.93606145450766
"g4"	-4.45222987680748	1.96984501328471	-1.54404886556744	5.50172660456631	-7.16384953413319	-1.18509571050495	-19.4300897910713	1.55770205416698	-0.183351091201904	5.57484972639953	8.29995160347654	10.4161754490811	10.8310731886437	-12.4450175475307	22.1334192875761	-7.09203209319547	-12.1184203994603	4.52715445352907	-11.7726193119349	-10.5879266864377	-0.478346981118446	0.843517088700281	14.8036238372276	-15.5997984163281	4.52559321996801	-8.25157787705143	10.1964196133932	-3.43026306394819	14.7416824512904	8.63210337595558	9.58995986205387	-3.60624668568756	-8.80113898551498	0.199477771913738	11.9837927427681	24.0619432457367	11.5504051259366	0.93628682144154	11.2755359435863	-6.98343825688684	15.9326213421915	-0.535265008942467	9.50927661212924	-5.33665621906917	-10.7536325379656	15.3696418819294	6.53027160814053	-13.2268845167727	3.99707941955752	-6.36249278126187	-10.7098481032858	11.3169022445713	0.743488375595458	-6.99544163678046	7.21181183686262	-9.34098242022331	3.89456579015215	-18.5515880864116	-0.235467017769867	1.76603729099519	-7.90276843657078	4.16467563818555	-4.11616477327375	-3.90644066848885	-17.3644330370494	0.606399378461484	-3.34706461909367	-3.15360096525468	-7.78730689228815	7.45471018590713	9.73468384893506	-12.9905871364965
"g5"	0.481904724712952	-4.39530762588119	1.02717436842374	4.55126911962463	18.1000243457267	-10.6823207509952	-8.32891898356704	9.72316692188932	5.01789209080214	16.0187796742829	-7.9525506339694	13.1321945069803	8.04481334475833	6.94102235614762	11.2516517853232	4.39024881736985	-3.09743341717979	-16.9857284262589	-12.1790761254627	12.4297177099196	-13.7747926298027	5.82509888902777	7.85102568362605	6.79570486999907	1.27713739909586	-26.2029135683379	-9.89001406672749	-0.879709977601166	-5.47118638266891	-3.8728779009948	-0.00472477490359271	2.21803829565458	-6.16150937506866	11.9900534930879	8.60757588266191	-6.21248697284463	-7.16603881195364	3.27635515428514	-21.2088556161702	4.00527129897021	-12.4114575782	-3.40641890355444	12.2998153631135	-3.32182606964077	-12.2994090926691	0.528783402610315	3.54847046079942	-1.32663083920838	8.59229768496864	5.52696359640895	2.63359970528554	-14.1897292169896	-10.2902745640117	2.53696989819664	-9.21191217325149	9.79619411140242	16.7630748545361	17.6543048945904	-13.7645310582624	-3.93151234658677	-1.78099220809444	7.06941764956898	3.56506438898443	11.637473965262	-8.0007264649292	3.161363775822	-11.0401226403607	14.066805395479	5.17266830045002	20.1332413982977	-2.20089243754272	-19.6544985180504
"g6"	-4.54223896947561	-6.60097621803131	1.31239876538854	8.2048857257097	-6.53042181442515	-17.2810741274562	-8.44904894548483	-4.13136186469134	2.58426935166184	-14.1909803481725	2.29264027572405	-15.2567471817025	7.55571949725929	-12.0389941363798	0.519179204389944	13.2318240850201	-6.02128112061605	-4.98864651922223	5.73395140346693	7.88413508910133	-11.2327756251272	-2.90627529913065	-21.3203044217085	-0.680260050061951	5.00324823812731	-1.3221600873648	21.0476345784442	11.6400003523554	1.04614856869189	6.2975732584738	8.28022570983752	18.6213710122257	9.59227372588888	-1.61542726618095	9.94195107763979	6.50278338516038	-9.22604325888676	-0.985436057880719	8.04887422567499	-12.9740118683716	-4.12210851004053	-5.46407565154234	-4.28347856554203	-2.15276891786164	-4.97901469440016	-1.60962914053068	-9.70147191944944	6.39404472995838	13.6057097945522	-8.74190907390567	6.10781700769019	-2.26649333459091	9.63189584465163	6.75513934648065	14.1373097358	-6.08804466600913	2.27277021786139	3.29128195706875	6.51641353070003	-0.901496715522827	-13.0991625716156	-5.22008056189606	14.2737937020941	-0.65066081136145	4.57847798236374	4.60683062645424	12.8801399595174	6.68173166867527	-1.24080377823872	-2.7981164198078	-13.0794152924902	11.8087587077897
"g7"	-12.2378319565128	-22.4079425503535	2.29099026868314	-3.12142507553028	-7.47817263193275	-12.4925937081396	-8.61752319413217	12.0750316249774	4.76089828843323	10.7913060444854	10.5515882571602	-11.9220495611295	1.04293628686696	2.31280561458973	7.06790044575113	22.8642007728606	-7.3004735805897	1.81600887193071	-18.0177560098039	3.83503940512176	-11.2318643965113	-4.42224507556884	-1.68835841124225	-13.13778253331	-10.6355757457562	17.8357816415838	-12.5844549699423	10.4490863913915	4.28138913040484	2.03054731206513	1.22066008506518	-1.67141583858619	2.59132244206446	-5.97360645900684	5.91751127605732	-0.442028398016871	-17.0445896057797	-12.4387106837468	9.82653974912952	-10.5919417883349	-5.01982358499742	1.49083852797722	-0.144895017478747	9.41709046233044	7.71649094810173	3.71757145083739	16.7134419323194	-10.3719937496158	-19.0837509633523	2.07624561930428	14.8644976801239	0.295263180950435	-15.6392982351614	-15.7522399660736	28.1301294570412	-8.61426887780613	20.7901109267282	-2.18262088934614	-5.71694874573672	10.6323790125047	3.52106693040409	-18.5285961286163	-2.22572109821644	-16.6926924064026	5.89506928815444	18.1081762568514	11.3882975027877	-10.7713323836827	8.26527704784266	4.21573911029314	10.1250808875809	9.75488661975985
"g8"	11.4597155991167	-2.11601261754431	1.85682341485813	13.5991406496588	-4.89654943077826	9.41237797891021	2.26717168677374	-8.89295562774764	5.51738978827366	-10.6025401699141	10.3480674960251	15.6411343632493	-3.60702686950158	-2.00239233145705	-9.42344571856221	-5.34739005970202	7.95008274428128	9.46385091540397	6.58050276850705	5.48842070428248	12.959080477386	13.1004517902293	1.34775831065836	-14.4486758146865	2.27201746980587	-5.60485033918613	-14.5019851329944	-18.8974550690284	1.87260643722463	-0.152537238344977	-14.8580903308926	-7.11539609391241	-12.1945813219161	9.78079988716538	5.07004527101616	-7.53181334265322	-21.2041641720611	1.35381389097767	4.68224855372827	9.04651521889487	13.1539100000736	12.8688373581365	-7.27344808551984	9.22980232417007	3.91997563884147	14.5394504493262	-2.73767300731093	12.5937905912962	-7.52900618761904	-2.30576069389074	9.49440534728242	5.46302825373079	14.8743990293715	5.32660632567133	4.29074708664668	-6.34892009052496	-11.0329009653131	-9.56697924795747	-4.54056963065023	-10.2302343024662	13.1646698791208	4.3328270066909	10.0606555766851	10.0440774470007	10.7495895887214	8.88754816020746	18.7000902336348	10.7796569778039	5.25747976997252	-5.85734863002011	-8.60640840222806	-9.7528059699219
"g9"	-12.2190734918959	9.62854620607423	-6.11186932045958	1.79627429515856	-8.21749053049273	-3.35210833443095	3.61914112811528	-1.78333712210765	-3.4438701220989	8.56412969748077	-16.7416464434293	5.03266485977881	3.87569241769326	-1.45277522895422	4.28734159060392	-0.549330735369745	9.97765940643335	10.2376376123547	-13.4506935289239	-9.47367371412323	24.0053452702694	8.73183564497361	11.632374815424	8.00858605191701	-0.9152863410765	-4.10456782052935	7.00522232028876	-1.52088495688702	9.316792932032	-7.60215814376271	-5.4627452972597	-12.4049011834863	10.2614917423893	1.49134921513264	-7.14035641540319	0.79154831102595	10.7699752027185	-4.87719727728562	-2.19325697423777	14.5593632852413	-13.7216673601703	4.54040828120039	2.73242585857777	-5.15612094539399	3.65490520849472	-6.61959709218261	-10.3360918750753	-7.21809992581708	4.10473919070215	3.8587790489684	9.80736227425836	9.77968097884045	-2.53798717296667	-7.66540848266282	-8.82643352276564	8.66437043137048	12.1530229530111	-8.7355930725292	-17.2784182614224	-15.6984886286379	-10.0591956813187	-8.28465069670591	12.9045086839372	13.5497910214338	-1.90067886094851	-2.58485875761817	8.0255124696237	-5.35836338136457	-17.5069129792593	8.70070309022024	-12.0693460156512	-16.8080206442405
"g10"	4.08679738008283	-13.8632348104522	1.40874774618167	-2.10340518562376	12.1975277385938	-2.48671251581395	5.61785677455443	0.733409775581845	15.469831667301	-15.3316753481509	-11.0844433133458	12.4144385471269	1.98106885676768	8.52125404707438	3.87323952198548	1.2255789587137	9.59993501195606	-5.33427502683684	1.04724529872929	-15.5765585026319	-4.57504672213542	1.27806932306733	-3.5388024278106	-11.103613115608	1.58667488932157	-11.0814817404595	4.55504217185446	-5.37493773675766	-1.55214884344385	-4.54279359142195	3.4132037176108	0.0182067601257818	-3.4975557594478	9.8843987707053	-7.84834540716744	3.0522450002484	-17.1124081466665	-0.0265101085961195	10.6830141308624	20.0573776994194	0.0524035237577896	2.34972242988361	-10.8417510189959	-9.82808095708899	-16.3086986925262	4.47052211547563	-6.96772117273675	6.85543720068305	3.38751085915694	0.0828149775847827	6.24796329638753	16.1495093153957	15.9231950166127	-5.54449165779891	11.622894336544	-6.28590943655842	4.66266476977462	17.201190044442	-18.8592739052558	-13.3115571721693	-10.7277149003465	21.3701853805279	10.5372791583423	5.03242331097923	24.5230117927821	0.143110650542984	-14.0055946618546	5.22899784877303	-9.63288212203963	12.8149987265714	4.83465470364284	12.2477739586894
