"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"
"g1"	-3.66436768078617	18.5161162558808	9.90221240448412	1.07694671812796	18.4588741225671	-4.13215969115703	2.35203522244676	-0.240998570478124	-4.27986141808297	2.49386599349155	-8.22369704963863	5.65720715441129	21.9831036978612	9.02137840456163	-21.9042759438	4.17323239206812	1.33241058945585	6.19767080870454	-11.6879932271456	6.64796211573108	10.1938114805634	5.24972041887006
"g2"	6.94396814822194	-5.74046637093337	-5.62677107020029	-14.5549754773327	-10.1506591556737	-7.28819703784685	-9.79436259178998	5.69065529350371	-22.7668843903377	-0.783468266908131	-3.38447177010055	8.33110724944557	-10.4919190030194	11.1956404550163	-0.736723250544892	-12.9460406548045	0.146769459870756	-18.3319809517465	6.21330569796218	3.45363806733861	6.37766839077831	-6.53403919391877
"g3"	13.0601646985789	0.518186571808745	-6.28718417558314	13.4944924791468	7.81785322817247	-17.1357828080919	13.4381883423757	8.63699020524218	9.03888912299763	-6.0124583778744	3.32466960299159	-10.8758696171628	5.38889583622499	2.83094554484956	-0.927223088328675	4.0715979515976	-3.28678766371034	-9.63398229852213	-2.7183494491156	-1.22332982116544	4.19643292834785	-4.20314599173107
"g4"	5.43611453867902	4.30114340224193	13.236666451631	6.78024594888503	-12.1137447141012	0.3096216379699	2.56750720023322	-19.6494917792457	-25.9305458558101	-1.18228543790971	7.0236660686277	-6.19678880274538	-2.49501567017642	11.1209873523785	-11.1850396470416	5.73980936628041	3.74406290768952	-6.07480628758382	8.4108687078672	-2.68160713718954	25.1408768791564	-1.67651865550018
"g5"	14.0677631482438	12.2758666946654	-24.3778898643327	21.6974532893606	-12.1024962864885	-6.52863963672182	4.22348807993962	3.75561319690318	-5.4384244049002	-16.7842123910704	-3.29493472565771	-10.8998974497579	3.30594799136691	-10.2851873655378	9.45301342739651	-2.2169155975614	10.8158899210195	16.8745756961794	8.91123690394478	-0.119183866161388	22.8264042979442	5.7811151102138
"g6"	0.371762327703725	-9.55495069152412	-0.112432853095248	-0.192990093206987	16.3474430938651	-8.89483615254515	-2.16107422143673	-5.91969770422543	-16.806318714845	-3.85678056842533	5.51718671844093	10.7351447252279	0.226734634796379	-1.39983479250884	0.77013415292784	-19.9781203221383	-4.85668973185557	-8.54928991591023	-12.7213108201279	-5.87043788225112	17.7681376269069	5.66452329311302
"g7"	-0.138820306861162	-15.9360964762326	6.06332813915474	-5.34180275836649	1.00970722114874	-3.13444229170989	4.81924904568492	-2.01033698180648	16.2509635172963	-0.0453288128757542	14.042234388864	16.0654361688107	-8.2375208126811	-5.39576715853638	-18.2610851821961	12.602841767059	7.79313085787847	1.6322271543534	-24.1552475789158	6.71050240101903	16.4484575213896	9.87081207612713
"g8"	-2.68358936176863	-7.22293633345354	-4.82374208109583	-2.01373451238031	22.2983229501642	9.84924848839472	16.1298328673034	7.96351961972619	12.587668340074	4.00687548484103	14.5008859012527	-17.0972366044731	-3.68692699680496	-4.07999056176992	3.45290589790258	13.0846138712747	5.18891476054946	4.3445534217063	16.1228097553164	2.43133224199632	-6.03920139368612	6.46363178239808
"g9"	8.17335673801355	-15.6075682269884	7.62280078851388	-23.921053421828	11.0118115671894	19.5846821377322	-5.53506014726494	-0.115018965739001	12.9351940869329	3.57384519319797	-6.33178260434105	12.9792514308412	-7.33742107148022	-4.85756115023784	-2.413556572138	-3.58963605839963	-10.5985307516074	-16.7324844590181	-19.6526158848621	-14.1261666446653	-5.05689952302251	16.0608743742824
"g10"	6.96852611848512	2.29759370797984	0.0414024604309812	-6.99867750241623	7.56821176490362	8.9345740871389	9.69250891544932	-16.7537216481504	-6.47926573125787	19.1126132869775	8.84192846217976	-3.21954614072849	-13.6942804641573	16.6191149125433	1.93100692380638	21.6097935116972	-5.12378934894964	7.5080932746488	4.92701633265848	16.3508873952914	-8.78955300216726	-17.672239988957
