"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"
"g1"	-6.64343650155832	-2.66727542013025	15.9065309998848	17.541925208112	-16.4043487039472	-3.03150234540825	-9.62054698110293	10.9138225997111	-12.7522679422794	-0.977041443766883	14.4831534835709	-18.9614041606772	-1.44982348888744	-9.0176414876839	-7.98414673662271	-4.43063407616111	-2.49741367327449	8.66017106306523	7.69337913119047	-0.054972763363976
"g2"	-2.78370045882852	1.51765823099367	-6.12241938813914	25.3377654290851	-7.65130945097208	9.03690604606786	-11.5103066887604	9.65329315226092	4.48152218036107	0.270274903728014	2.07677769460899	-6.28841060244948	10.6253519715844	-1.03711988251076	0.363698853635077	17.0338229917445	14.7712834144037	0.592287455567387	1.31560406704512	11.3993954146526
"g3"	-7.00790360114449	-20.1204097444652	-0.936164668758826	-8.14957188902546	17.2367692498479	20.6292095704866	-7.36821625315035	-11.849847162525	1.94867880670508	-13.7594065577028	-4.3727263243925	9.98834336923399	-4.38088323156112	-4.30722436407295	2.21956986737994	11.9930820706413	4.54012443166406	16.5277271012757	10.8371129917093	-11.2740447485864
"g4"	5.02678275313728	16.0567193843457	-16.5107189677033	6.48546252280588	7.12259413021469	6.34491280671106	-2.54153882561222	13.4848547639299	-8.95316087859137	-3.8522094053703	-14.7262682215908	-6.71001818261639	8.45949988575138	11.0892320167012	0.0893846096672583	-14.2458762803383	-10.2076309960979	-2.04073679267532	-4.89889624000839	2.76810963910784
"g5"	0.0452777133511183	-2.41051942596119	-6.68081027798271	17.2920613916041	-14.1163298099296	8.18237241601037	-1.06878956323275	-2.31498219400711	-9.77755492525796	-10.2416724557544	-8.9481122305098	-11.8697330624763	0.366511777919568	-16.5673492826896	-9.11398177991888	-18.3168963760821	-3.28065964148044	-18.1026529279578	3.66657755717907	5.36738911915446
"g6"	-2.31792570443607	-5.72118089940911	7.81068708871334	1.81768649388232	17.2974594266973	-8.16403807734192	-5.60947119601111	-2.54049065416171	-1.91540117305705	3.21261158575501	-21.9351077799958	-10.1168417756417	-23.9630996446359	5.6779215795225	-10.3096578013041	-8.76231656876934	9.97068463439139	-4.28206256435969	-9.86971147488597	10.6120968429823
"g7"	3.04038267215707	4.11165244284289	-8.60846292660837	-2.54912630724459	-11.5840373499168	-7.39591002272619	-2.811532837746	-6.20266342729755	-3.65928283432019	0.958327250714834	-1.0818037680716	-6.4956218354324	-15.293931903022	-12.9020270375976	5.96433535965863	2.23790873999108	4.56908174327649	0.539717645683683	-14.1377446515866	6.04674529670808
"g8"	-12.0828066225922	-16.4398965121189	-3.20325729143873	-1.7447424637723	7.82541264733135	22.5766434973858	8.40435227205604	-1.66454647379918	5.66530069098839	4.26461324374132	-1.92843013283938	2.58892561709394	-11.9624647310941	9.35571823465365	-11.8045374771244	10.4904281037035	1.30174899685035	8.60640497966434	4.5326068356487	6.96833967033208
"g9"	5.56364025719154	-18.5761756416958	1.26262547563561	0.359713666703184	-1.12751947077218	10.4805920164384	-9.37472815940497	4.45977819367507	-18.884401565571	7.59123483324526	1.57247468605806	-1.87542338007661	-0.311119599508309	-12.092431782388	-7.81606371280682	13.4899686128751	0.727070413171978	-4.44209232571458	16.6567984670723	-14.9482183263364
"g10"	-24.226613632246	-3.9100685136435	10.3499285841942	-4.42758882768368	-13.4801982021262	-1.2550312277463	11.7897896671916	-22.8577961290386	5.11144017008739	5.5223391668077	-13.9090857392441	4.42550026381561	-4.20901015337589	0.575212560808131	-3.90280540418135	17.1098130229386	-8.7884964259187	6.374531838239	9.3519766606947	-3.35278407819792
