"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"
"g1"	2.56383434277652	0.51534735026591	-6.74563118667083	28.7729180603711	-8.11002851777435	9.4155473957359	16.2558536620625	-5.48585901636582	-17.2586374615015	7.12546317305085	-4.06089250182713	13.5576386812234	10.0444186148319	26.9178803640671	-25.3123248732063	4.70454244459219	9.08920921268315	-4.30623077443264	-0.227867590016532	15.6122123205709	-6.25340282775447	7.79559067394036	-0.902930052049878	12.2086204860524	2.44151067964511	3.14994360269941	-0.35489814510512	8.70807936895917	-6.91803718555757	-4.14482638542531	0.219688386539288	-5.17192540310593	-6.02335804141097	0.556887147905574	-15.7271821391708	2.40289922130725	1.9734866495432	-7.04332292522212	8.91223301972583	-7.18212481378647	-9.1553570419484	8.3986262971871	4.67601476397867	2.3952894498698	2.12143263907425	-7.65996280304317	11.2820856224017	-13.3543636006786	4.33714848940409	9.08786021916435	11.6935600565947	-2.27625276988058	3.68539278933657	-4.6349189603149	-5.24862722234166	-5.03458834956399	-2.91793655972538	-9.87227700499411	15.542711131799	4.50161957426678	-16.9289365359523	5.30892141358289
"g2"	-0.0696769758173371	1.21085100007876	-2.70689283615909	0.954189220435045	2.24526487306012	7.17741070998195	12.0228577822463	-1.74766882825284	0.23837575624513	-7.56258964696904	-0.343388240940041	2.86306013152654	-6.95618186991073	17.2414803016199	7.9460115192711	18.1768902003618	-14.8666123789973	-7.47163417579939	-1.43287843891876	-14.7642391829616	6.61616955645424	-16.9212082479248	0.218010234906854	9.6481696267284	1.81731667702476	-9.40402804397351	-0.99982492428322	-21.0855758234418	-2.32141566387143	4.01518740294953	12.0933237657404	1.57861901290988	-6.33754195666211	-5.42606918888286	-16.0738913876939	-18.4800410467994	9.01948285421664	-7.20257811720648	12.3478993685249	7.67255542656906	-2.64355964821074	-5.52328239317657	-25.2179724973887	2.08636835742593	-1.21204008019204	16.6899074920632	2.44685400040865	-3.60206740219494	-7.71017089259533	7.37942577854917	18.7193867003776	4.46935903916727	-5.98970173054297	-11.0565178105961	4.99307532269071	-17.3791068862262	-1.86364984388259	7.9581174986298	-1.58160487309855	-0.44586930542128	0.416747932804413	-18.2071464281096
"g3"	-8.07087287931252	0.0719225303689211	7.38712480122715	-13.8844235948599	11.3981224493594	9.17720517788969	-1.85212553580219	-1.50272462379993	2.16777114527007	8.89200334604408	-9.6641928603227	-4.87745482871132	12.0926155823851	-11.2244071455184	-3.6788689865259	-12.9802475201483	-0.0354700735574681	0.651045359665523	-0.535311545137803	3.63509523825935	-14.9716719992768	-18.2612266102736	-1.13280192501939	-1.82099155348653	-21.2472869193661	-9.29630397432177	-10.8565668002428	0.791441885412173	-14.9259258690761	-1.39922668879501	-12.8602747483541	6.05580484772431	-20.4069790224938	-0.0634702149446274	-7.17941000124879	-11.7225068817629	5.53159412839537	-0.359422863393227	-4.47336542941168	-12.3435899920482	-2.9894599787447	6.5673765717091	-15.5170770162778	9.34481418296304	-7.73703506710624	-0.0639336937032404	0.991573102309023	-16.445976895568	10.652703744389	-2.13237509152826	-9.75163236819076	9.64572869671118	5.75592938586173	-0.238759876484538	7.98850116937748	-18.4349094180237	-3.23103585988687	6.15836480174932	3.61769512692071	3.68431430799656	15.3095801142482	-4.09106529760665
"g4"	-3.63351754856287	-4.11833352823485	-26.2442840703412	11.6442210250295	-14.3658728520446	-2.6722380550026	12.2547158658995	-11.3861557011305	-11.1410497156815	-0.943975726802251	-4.65597077847258	-8.71509430579598	10.5192021444152	20.2360285192178	-11.5102684076806	-12.7751964414715	-15.0237189186283	7.05928000606446	3.16108620410581	-6.24783654366717	4.55602617077105	-1.61540233661077	-5.59720436975129	-4.52025398434222	-16.1756652984103	14.7114278636253	9.45758400987547	15.6814503669479	10.3098295111303	10.9110349215433	-3.72554789309334	3.36805750432911	-9.62711980974026	2.84004434607552	1.37249394423188	9.37999633058697	4.43717917305163	-2.23062303523648	2.79185695705737	-20.3030735624187	7.8072048077121	-0.971056819930447	21.36712204053	12.0831896307712	-0.734916011690515	6.95841054735463	1.52450328257223	-1.98473275478054	-5.4959092285796	6.22071791232641	2.61616700076152	6.54995111112778	11.9460301246061	3.6940547960583	6.60408479964389	-0.814490513324588	11.6441060881942	-3.45678718490823	6.22009771727917	-6.8870147916273	-5.69249459150397	0.0224386789162192
"g5"	14.8736260647512	7.97396263833508	1.83801412189676	7.07656951340172	-7.84273502899925	0.351562793937111	1.78581223879719	-11.3085760363505	-4.09513921906828	-3.82021827347541	7.8340507134542	-1.86090668306184	-13.3029860006822	-11.1460140673569	7.46313901205065	-17.568052977663	13.5708998645678	9.88229216109244	-6.99687818102091	10.7142931797907	16.6291066491532	-13.9442739634726	-5.27966241599793	-10.2196222710247	0.316261829404505	-12.936724565164	-2.72807929710506	-7.45454933030922	10.9281136019046	-4.56180212313785	-6.40014442150154	4.00508434210268	26.4938357044832	4.18211302071777	-10.1341706408208	-6.16997817123042	-0.0797943876813772	-18.4126453419181	8.84924505795395	15.7510830127136	-8.74522597304551	-7.02027347269273	-22.6679211783036	9.48940336902959	-1.05978640016061	-24.3994580599902	9.48193141560187	1.22417796674426	-11.2926930823541	5.51248460435616	-0.0976025594014815	-7.63043779217827	-5.07779329465187	-7.44191071684287	11.3420759799384	-1.92044209055965	5.82920611705643	-13.2223829819476	-4.72199377326488	5.2243241909662	-15.7402742425309	14.7253911420504
"g6"	17.0912420890685	8.38293688517215	17.2013110596808	-16.0643212131631	18.761616704315	4.36602066627964	-4.45892519282484	-1.64717970875941	-10.0398541408591	0.561781096214276	4.53671475804088	10.2334318167366	-11.579504862656	1.73794751962959	-13.0322263712652	0.227323979173416	11.4949356273442	-10.044391198646	8.28252907538514	-7.17421453676744	8.03712886619881	-3.68455158696743	-8.38742195445227	5.66717215362376	-16.9126498356925	-0.454404085146147	-10.9370953003771	2.48836982107914	-7.42457570183836	2.93754693739909	-23.5216727070619	15.0244970338813	2.21572362794395	3.42670984333719	14.0164733074308	-10.3222497420178	10.0245705896223	-1.29311601117253	1.15518458062809	-8.77019280937816	-15.6836569535474	25.4023518619251	-10.3428454890471	-10.0147236523906	-7.22585699331978	1.39613455502751	-10.4022483775256	-20.1487661351744	-6.19496847975974	17.3227611336951	-15.8900869994843	-10.6943699647688	-12.2134344525476	-0.813967698868022	11.1709389733693	-4.97007211134926	-13.1041406981446	-2.445458595428	-12.2450111364893	3.75673482971057	-3.93219838392371	-24.9407011708115
"g7"	-15.7325409419595	3.28989628413184	2.56516459224823	-18.4194408370214	-23.6426839680035	-12.7270662908584	-5.67541201460457	2.35029823851016	4.38013959713624	-1.4768335063464	-8.58991881982967	-1.59299674724326	-17.0070258656321	-2.2966100790555	-8.39739956637746	6.71621395808747	13.623219756017	3.51835222070118	12.9327763060847	7.49954216504936	18.3503992146836	2.17631504943832	7.57175719890548	-6.4755617684727	8.58224041213456	-4.42012604151966	10.1117803946667	23.055158173108	-7.63006464924515	8.80673858620854	-1.7759195214387	20.2959957074928	8.20263465099434	4.31369051813944	13.9279893464011	5.26905584799299	9.32395496793381	8.69931828719684	1.94106962156339	-1.38730416371257	4.96524320973023	-2.33395919908216	6.90726663918523	2.83275898113628	-3.37878143942335	2.78411994710471	1.18687847787799	8.23870557233314	17.9058333303762	3.80858697321566	-17.4620589592964	-0.754326133185939	-5.02442184037935	5.71400013182497	6.03973303500348	12.2566508229918	1.5254494691485	5.09131668402505	5.60764181219871	-10.85135084491	18.6440749115843	9.09516440997956
"g8"	-13.5963797848274	-12.1100441136843	2.99824815172091	4.53006283609989	0.529531349627175	10.0499668437819	-6.77846252871013	-10.7129737625785	2.34651251582908	3.01837036012771	-3.67990291780488	8.03498967702723	-10.6129260372583	4.04918854702647	13.7194464759299	1.64909971081517	-4.11412580162379	2.65592189683657	-2.62179358396227	2.49529664510323	5.80781415521151	13.0062028242292	-1.50228914388481	15.2695654654827	-3.30031279773616	-0.906351570006186	0.441433544299429	-1.30457830987285	21.3924974919852	4.90976300788769	13.7566879293878	1.79500966914834	1.52491467405841	-9.33909556837915	-11.9471529788202	-4.80349222160962	2.06863136072339	-7.54993931448792	-7.17913568794771	-13.1820874126787	-8.36429980769433	-0.249414694803821	-1.67117779528751	-5.81279219394093	1.91475828430895	-19.848369044298	24.5399216110459	-0.439472154827238	-6.55719969496481	0.0843869327478588	1.10602673667989	4.54339815147751	2.1882783633958	-8.26731920903298	0.0406138539166701	-13.8468692444569	-17.5884788804433	-1.99111145920566	6.83814316511627	10.9305054649169	7.00655603779514	-5.64022804930689
"g9"	-16.4522961834476	9.80274704570743	-2.84353421810447	-1.37896101168188	2.56991494463941	5.8098605317604	-3.3320600032804	3.6086757481727	2.80262456854309	-10.3170950369466	-13.3728296950222	6.0238001239074	-6.74796504143244	-7.10804117611199	6.66210746216079	5.33931640548235	-6.23966534958843	4.48820515136689	0.858412270695389	-3.61365721157232	0.0185339441049937	11.9453089314858	9.68693905996636	11.1054560530325	-5.86643466264801	-3.55049741725991	-2.09605249595952	-21.8656474954839	-2.75797053233423	-1.90613773376139	-19.1152744395193	4.55490695443711	-0.251408659712376	4.21736555131281	7.89058757754652	-13.781161101843	-12.9949582810491	4.56003401092318	-15.3934527267382	-13.7217199971338	-7.93122762145492	-2.99088702842722	5.18489041894754	1.13010568328453	-13.1070918276414	-8.56078683610933	-1.2435639241261	8.89090580941044	26.1852760386711	17.9590554842676	-11.3744544560891	-24.3009333390237	9.97314691206262	0.832298963646275	-8.97853041605232	-11.369957300908	-4.80707358150096	1.99872186370288	7.18446987188362	5.49062643374304	7.87016688678586	10.9698901818816
"g10"	-7.00200730410317	10.7347783533385	0.4277737990593	-0.910017818678727	-8.87240695302425	-5.82862072987579	22.1514771701089	13.1873971781628	-1.05837435554262	1.6748748894101	2.81360033853518	3.02622261330142	-5.83811340480849	-9.41569830930936	-2.00080593134814	18.7745419408762	9.26444179106152	-23.2923942409177	-13.8220346264847	-6.27940343204447	5.34031780531599	-2.07813667301024	-6.25661556690608	1.05102373987707	3.32163413877836	8.06849366813221	-5.53003294009657	2.82471911368234	-15.286695226701	12.8350914341058	2.44659949508501	-9.11099956901295	6.65435764033514	-0.850776001309515	19.9728290863262	0.35377848736175	4.78335490031863	2.11444210478897	-13.1660954551229	24.0783213004768	1.67340151657258	-1.33066125864167	-17.2652372713035	7.80098088536871	-3.75793072619024	6.05971473575708	4.56209576737852	9.09087519131191	7.02983241414902	10.1113740756517	-4.71841066692724	-7.5177864233199	0.234133189926942	6.03216091254529	-11.0763072543953	4.65506484121638	-6.30643122806905	-15.3842235748387	13.0683136912005	-13.5375556701851	-12.6882408160403	4.84912996331476
