"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"
"g1"	3.41712148364632	7.45084801256131	-15.7854572771211	17.3243582303255	23.3776899606638	-9.86476228039726	0.49019409180668	5.88427616427258	-3.11854872995568	-16.9803664881731	2.3500416710103	5.94952190021965	2.04474797076157	7.13947056203122	-0.223379683684369	-0.399751263166761	18.5042835198619	1.71732448202642	-17.0892124056831	-8.38420333029821	-14.4262033785224	4.74942707399638	9.2014569370006	7.93148525194872	-0.0389118892995367	-7.06173311882033	-23.9742025438826	-11.9488136973655	16.7198843940173	-22.1088594109766	-4.1221377848353	3.26709340897033	1.01992189683707	8.95384262339542	-11.9160759752383	1.82801303410598	8.15114405908546	10.7502363383609	1.67994400549157	13.9145525673801	-2.08922044674323	21.2946741464205	3.10364188102484	-4.54444576223786	-16.0672309738311	-12.4443357457869	9.25831796677045	-4.31344618869958	6.8654629177174	-14.0330614361361	15.8959408743295	-8.95840021059828	-0.786903124917731	4.43716860397314	-3.9523241878654	-2.85035308330184	2.93810701750416	-0.150429533895545	3.92193028673856	3.24606519674149	1.7733842450074	1.39992969785891	1.88973972739061	1.5778393313874	1.07948929937658	4.34542983852152	-1.27697105224768	-4.93392881986894	3.79601062827242	-10.267305594613
"g2"	-22.7021851199268	-6.09538780874649	-19.4528510724107	-0.844539144967187	-2.07663704929211	1.7915160708955	-6.82298020172718	3.55382626738406	-8.71709985879588	-3.74612932120375	6.11605499870942	4.80882842371612	0.972438895720091	22.1370273241491	-7.81226883376182	-10.1001133561545	0.175464835617472	-3.75863290423557	-19.9433150212344	-0.334068065961916	-5.06390633153385	-7.9116245171702	10.5458070889541	5.67336291936621	13.7398113871777	6.28674274503635	-2.29127700220582	-1.1216652931974	8.5018915677876	-3.18225843964219	13.5296004436169	-1.42855251410545	-6.03122341437443	3.22752689783734	6.13631832963173	-11.9457183236861	1.77785005975808	3.13624559235364	4.08294821529171	-5.2182611475979	3.38582148363382	-21.6618851368202	1.61503308520427	16.2923345449502	-12.1274037492831	9.62031605327918	31.2598832886914	-2.52764920056372	-2.95597270985671	-23.5196470625599	-6.85949073496946	1.49057500768873	-5.58559671563204	15.7069272589102	-5.10630169849541	4.25856945573027	25.4948738387734	2.1509715851081	-0.244082611580359	-17.2340829012171	-4.96919146272422	-1.66497984833591	1.29576120969843	9.52797193089248	-2.16107934008702	-2.2453682498614	-11.9631478752631	-3.30053458943315	1.51628475110855	13.8555313589654
"g3"	8.30321691476314	11.4536233771513	2.40591826483732	20.0903252551881	-2.5830189535774	-1.50439200940813	-0.00533356166373745	10.3398251318228	-6.71386630067876	2.31826212195198	-6.23427844680946	7.51190738474176	-9.85354790277718	-32.6663852320799	12.724418549096	2.41415316745863	3.86401724001217	-16.9436557613602	6.18903359443589	3.47267272111922	-28.1205025641664	6.75330310333995	-2.20407572509745	-3.69701287414705	-9.44380432011475	16.4543405272241	2.69644248742245	-1.09359849506608	4.45587721734416	6.51489422589545	2.78002671750817	1.06353156814689	-7.97433379159402	1.19009860072422	-1.60551146294085	1.31979320755579	-18.654547826416	-7.97228193512448	-11.8787591568941	-2.22787916961944	4.81483794834196	8.73712375034469	12.5004099999854	-8.87979358294812	-7.06042673325852	-10.991851735745	19.4624654686163	13.8056735755248	6.48652843267664	-4.93492790623468	-4.92751881340729	12.047991360125	3.79748612044393	12.4946185896729	3.80670592610724	9.36155718929789	0.601830725119174	-0.657703403262023	-7.39497457015097	-5.29038816446898	-16.1467706070727	-6.0471442946916	-3.9677962932788	0.436249502375652	-29.3023576530101	-2.37154611570545	19.0392555929028	2.4550541989345	-6.86029684505293	10.3771285500916
"g4"	4.42215949500988	2.84667908140679	-3.25441923269579	-9.95306759266878	7.68670103963759	-8.15290303907298	15.6063421198102	-7.80146435280213	-2.11227299378247	3.42969913864251	-0.375777284437807	10.0126466555451	-9.8787992658781	-6.72317210667444	8.1458738333361	-8.88616706306675	-18.3796374544709	-9.58772320507254	9.48176065283818	22.5440002499298	-5.2829638994976	1.67465591924329	0.135255451996551	1.53598378357267	-0.765771642554266	-10.1354140649893	11.2317115008616	-11.2000375499014	-23.5047270163549	-7.75375788480482	5.12860182208849	-7.72850756051828	-4.55090151571175	18.2705190466235	-29.6535430442807	18.40834172285	10.4497462449056	-13.7648729224857	-0.812870122776976	2.86797306597928	14.7897814009059	-1.82390659925128	0.806531411570429	-3.33916308777247	1.69323615834918	-17.1787855684644	18.2862376019128	-0.897726147893091	-7.48587208424493	10.2043808822807	-22.3197190158911	0.500801177974447	-17.0617082352776	-1.91355359933286	6.13587931263909	-3.20313202986433	15.3672255088259	7.09228799619352	-5.98993277147799	16.6640795966539	0.180585053924217	-14.0511457787007	14.96506928263	-2.33937741463086	4.8560280223963	18.7008523657011	3.58645553069116	-2.63683806018643	-4.18628431555768	10.8290131332954
"g5"	-0.202269040924397	24.6859086092062	-6.54986711835063	1.4784608645027	-1.48966972818884	14.557750312987	31.2324813533312	-5.11003224646985	9.76628943216128	-1.51512798132453	-4.62244115930004	-18.9596999290861	-17.0499825277175	-0.955108825056973	18.3311910859657	0.761753334545102	-4.87869962931796	21.4232740176787	-2.97351238972767	-20.7233192624433	-6.64659120802897	-8.42166599549687	-3.28235008697433	3.11901675485958	5.71131128724707	-9.24723904349707	1.0695392810238	5.14341890277668	-6.55399799529399	-0.0686379748647684	10.4734069006619	-7.32016589563013	19.5880994752009	5.76478719913876	3.57798906417253	-3.15266400656275	-20.0227511384511	5.78575281427733	8.72224731396139	-7.42097336513431	4.29713412184721	2.28980193903054	4.28370687980339	-9.32764842488029	-14.2938942517232	6.20968079552458	-3.6428043064881	7.73234408276222	0.40617202190269	-0.239860850309408	6.63869464357463	13.215740043628	-6.16619981740393	-17.2719679573986	2.59595684709987	0.333855043340917	11.6194583789028	-6.54476369771835	5.65352734105907	-0.530701232908607	2.47912358956269	-13.8898994778381	-14.1816807945707	7.53084722049019	3.04287954987339	7.21622034609669	0.294144366294781	19.9278300194461	-25.7128073204864	-9.10516723646945
"g6"	-1.56778153956244	5.69496009694226	12.4425805564904	10.8453232357789	-2.59916639553062	-2.41340398388276	-1.81802840791663	16.9790261476186	2.99737227205096	-7.36805741438565	-10.0369552587017	10.1535801345116	-4.35957714759439	2.76231190709495	12.3077864381334	0.500362288578334	0.328801937041184	-16.7297153297368	-2.93176583744654	1.72449201379398	4.82360329723795	-17.637431378739	-1.63415594190208	11.7292997918959	-12.7091891901945	-5.12562071321482	6.06284877948971	-2.03217788370254	8.50333549258962	2.35306170289848	10.7870005405481	13.4368406503838	0.109801259249896	-22.6340056772669	-0.174148118041241	-0.776905655537054	1.54673363349487	-17.5942639962889	-9.41106772328198	6.0031230948963	-0.828251958203815	1.78151890084828	-1.34126761696263	-9.42060545469326	10.0137322808121	3.92271346163322	2.17712931112458	-1.130205989937	7.15428259545656	-4.62799674780738	-1.48232951880887	11.8024550814311	-8.85575152515871	11.0876920962796	7.38946998873534	-3.74850325103756	-3.79717023485462	-7.80801258020745	5.99823894743792	-2.10346665314817	8.72243696200469	-2.83911612977836	4.84459749562694	6.44814635271863	11.0716618388863	8.64289546867369	-5.02436587743975	-24.9343345099751	-15.8501426296488	3.71554873922406
"g7"	17.6015211263324	-15.2021326751768	-8.8510751729873	6.38153011376801	20.2171089339131	-15.753421992845	-5.75462559177795	3.02258016024641	12.5557878747871	1.09741147856326	4.34080628467766	4.61998011478446	7.50486331462709	8.70969262156729	0.158271595454537	9.35146849951254	-16.3622652998533	3.64953702694201	12.4707247841818	-3.41626140487338	-16.8238339240608	-16.8829466120505	16.7373476688148	-1.8869088186504	-5.53855377887721	7.62989599212377	-5.06524043946139	-7.57507959241729	-3.39909751231782	5.59098111650632	12.4381053311154	3.50061541792094	-11.079831255957	-0.478447843497378	2.38651700418142	-6.78903485258743	-5.77743924308554	-4.43534786611434	-6.2192011247696	0.823346987568539	-6.25919339364506	5.18638517327401	-13.9313377054628	1.30040899600089	6.5555042713577	12.1265264242157	-13.5842203534046	-15.6944689361094	6.70620439566743	5.06083741342289	4.17993512477552	-1.43127848452804	12.8618941668034	-22.7770492879774	9.86041585266059	-0.347516146137151	6.51331166478081	-17.2653969884648	-9.96624229082342	-14.4368661235388	-7.3565081941917	0.526061264283047	19.8204833403955	3.10662493646137	-9.19568024912004	0.693256625680017	-14.7581309177497	2.22010020473897	13.36896355313	-8.56784306562094
"g8"	4.66585564312046	2.07787019259103	-12.0799018153629	-1.24491225764817	8.42016304901652	-5.97777364595833	-7.70659642160419	-11.088155177849	6.60512562893685	12.0985220468075	-14.5551573921963	-5.90362184173677	2.05425041321207	-4.39184759656892	-0.834792164871776	-0.92388926018776	10.5669311961695	-2.274598532034	1.23744394001337	0.423717423550255	-4.48395315442361	-5.07843620532758	-22.2277429551145	11.0056571387738	3.16024373579354	5.63197135542407	4.41617836965261	7.81398959842937	8.0576463129593	19.1303360601665	5.77698169323296	0.149705176708061	-11.7342866698267	-6.05321859510201	5.56790364169071	-6.81021558762961	21.0398650938149	1.13005924458549	8.45676847330548	-1.45972611312356	2.66603396097967	9.81135106306261	1.10498203845541	4.13127463066816	-2.00983064069697	0.958076788110387	3.63368252951539	3.34898202479283	-17.0913256362937	-26.5957558342461	-0.839113239545592	-5.3223678577842	5.42841746972689	3.91396596868786	-15.0781057624193	4.36276195265718	10.7431736077315	-9.27500900264673	6.85453063875281	9.98032378515315	1.3504557280386	8.85472377745668	1.39521470240542	-8.92402985833075	3.26623681201785	-2.63826981992247	-11.4434186790137	7.92308214235025	7.75485128339678	-13.0332110464977
"g9"	-10.9631083197899	-7.92644572366752	-1.91205846774841	-14.6870465001979	-4.41040467066963	3.86183255496814	8.56415117617758	-31.8245139275035	-2.30063661498884	13.3845730830999	-7.63140293067993	-2.57428960742933	-1.18920207212498	-1.78251257043302	-3.1286076786623	1.40389068635578	3.25418924719896	14.3777417877128	-3.26700317530799	-3.07424195638825	-9.22507269639964	-1.60854971033215	-5.05704618508933	10.0097429159063	-5.11197477203438	2.79997620289158	-2.12775420191369	13.5173672735674	-0.0771706486910942	7.03851072681045	0.0887678575358058	8.68868957965627	0.000393043186794863	12.1610742481399	-5.72876137938291	-7.94286436280316	3.97204659163697	10.4146161566247	2.90905554249892	2.74212935600095	-10.0854239012407	-5.18789123253198	-1.0061841288154	0.895277663874938	4.60618179176491	-6.80168218508868	9.94181657964854	17.3866629980969	1.32526894514036	-8.46991234460391	-14.1590694434663	8.82063343989345	-2.65299275337915	-6.22873113572271	-7.27777318858621	-6.67025772036258	1.76075397085117	13.1713379744875	18.4284894173638	6.54894646014338	1.37555539296164	-24.9536923895297	27.1904273586091	15.3716590454929	12.9418757999126	-4.81281620770184	-1.08962883759746	0.499498455201031	4.65930012027122	-11.5233780320299
"g10"	-3.32862862839433	10.1625978659347	16.1059336280279	9.55741357715333	5.83689588209337	-0.560272971944075	8.15314506614045	-7.11063754573282	5.75971052607246	-15.3078844803925	-15.0404285804303	-4.29419705882063	7.60499216796712	0.822867358585183	13.7545897872576	-5.58004634598959	-4.26371620744223	-10.1784631095055	18.9608403712326	27.4409185714476	-17.2771190816297	-16.3169726938112	-0.210679539676969	-0.774151844714275	3.77195555638324	-4.1718508062471	1.79340787263202	-4.90432801424171	9.7534762492494	3.33223690215177	-8.47029005500932	-8.83931548530767	-0.80363208321037	7.52214314218652	6.76192995319694	0.0188521102629906	4.83624047306177	3.86448036932194	10.7266426521361	7.9047036930218	8.98892834139561	-6.58992730561447	-6.39608060831317	6.06615325625668	12.0096846783933	-1.59488643010028	17.4186705126672	-8.85207868573494	3.86164022825355	-15.8533589058325	9.25196214188619	5.9915304515599	-0.713491262450338	2.22476767775199	14.2443889566049	0.606328627161612	-1.28103680463893	4.19252107891481	-3.54565405001788	6.78279921823638	-3.76134223439751	-11.8575848400475	1.36357556118891	3.24591433763097	4.91499404197788	-8.9012692921787	11.0648199914653	1.69583967404178	16.2052533051698	-11.919391745316
