"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"
"g1"	16.104493569812	-11.5768229175146	13.9258390919956	-7.77194376654362	4.46754747759415	17.4732015172477	4.85824240493873	6.19619791543177	-1.98093420642874	0.0652042077890257	10.8969646142565	5.25773502279141	-0.280689449080885	1.3199255142261	-1.60814109209237	6.89312822341101	-3.01582243086577	-15.4002353765392	18.4752756164541	-9.00484819169004
"g2"	-11.2974748499705	-8.16196307439315	-3.07014797215161	-0.212527801085895	-2.53341502683956	8.61171042273784	-0.0930919609927545	6.30954867942162	-9.34722309035798	1.16879092736331	-4.51288994511146	-3.18843699970462	-1.1381229217326	-3.62358702849142	-17.5874389340157	10.9410938474324	0.228980175405631	-1.91767252006821	-0.533351459609546	6.9341955353685
"g3"	-2.26405583654732	-9.27034927588278	21.546649562173	17.2305162690815	8.68750274306666	0.146379010225197	-16.4517057052573	-5.07279741174813	4.0265796447541	-24.0192624282861	-3.69628760512705	6.5979401930075	-12.2833142599136	1.05422408402483	15.4800665956303	-18.2378259184039	3.1993575697075	6.36349594906994	11.6029511708735	3.64753925483517
"g4"	1.86454934365581	22.740410059763	-8.22757759352103	16.2801669967695	25.4494034464813	-6.00227563677489	26.1490748516657	-20.525355575085	-5.91695510335216	3.26479488657622	-5.60528312833793	19.2641918183602	-7.17293709977702	-4.34377234183623	15.0777714630216	-12.0859436094114	-12.0314601529529	0.962946126317006	-10.4323790331084	-13.2392383699119
"g5"	-1.2766455211307	3.98177674217366	-0.994688011716727	5.97918441017262	-15.6514723854404	-4.93620026005605	-5.01023826362786	-1.01802004942731	-8.21224505527623	-9.92374595619994	-17.0761677382696	11.9270921532471	-12.8954381856863	-4.24009514011641	-8.68537549483704	11.011133026844	-16.2728147037145	-9.15531099584659	-6.47931758169225	-11.5438740454152
"g6"	-17.6366660777656	6.43688669900838	2.28210838548961	4.73732703113656	-1.11510452217891	25.1147260788664	4.86148893940033	-8.38081713804402	9.40562789999926	-4.65794924319562	9.6081572814979	1.09413960620845	7.424187431674	4.65785148249682	4.37514654988092	5.77162716222626	-2.83035936902522	23.4895332078382	0.569580505226466	-13.4799484774309
"g7"	9.61523700187695	-0.849286241651798	4.50727092565113	2.90435310903287	-6.41369563167521	16.6063731521627	-4.72695415500888	8.89884232052641	-7.71564837034364	-3.87750425979067	6.24136291067668	-6.08604313588126	-3.14472239902945	10.0352764505564	-9.40218050080572	-13.7461571615861	-12.8600554664554	14.9065387204663	-4.56684241204026	-6.83726393630665
"g8"	2.08494590250575	-1.61983419754262	11.99606538299	-0.633587600596331	2.12290960127105	7.28432904830268	-8.70771425851677	-4.60014033006245	8.52570330614985	-0.952270333118695	3.86465292181061	2.06250824000353	16.4277680386654	6.92312662242073	1.42402455415204	3.96981265489837	7.78557649060866	-0.234723748019812	-0.0588415946391592	-1.53515712051873
"g9"	-2.23087277484026	8.48985229179324	3.50780379813328	-8.53683979514633	-0.625173648912105	-8.2401349350662	-11.1341773050657	-24.6735629941704	-16.5456350298858	8.32618250021427	2.64710448016662	10.439253938951	14.0293565355969	0.718791817564399	23.5627900883392	-4.23138105503335	-6.87881016599223	6.82361256201193	4.74771608712971	1.11506936617058
"g10"	-6.2386026963006	-11.7464117406984	-5.3395237361454	-20.5799774995468	-3.43923522107615	3.78978559329123	-18.230086708171	-4.96393623714659	5.6262569515312	-0.618066502272299	24.1393030086962	10.4623738401426	9.94648602788862	2.99037371428608	-0.571517801290806	9.25541761676023	-10.6527284467543	9.42989299834562	-9.42984917852999	7.94465545860624
