"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"
"g1"	-2.51410754463777	-0.624000272057897	10.1788717668434	16.4341147639034	3.37762980620064	6.37875954255568	11.9132139771619	9.49462080418627	14.3752908511096	-9.59455780368911	1.01685902290288	13.9572326547869	14.7929337288902	10.1067764639386	7.8902860119662	4.39519434596173	0.0440569917442173	-24.3590834188388	3.53729102073976	14.8045538797469	-3.5678957581797	0.117422587743063	6.6775466579514	7.35504166083182	-17.6401567938707	6.62018401721629
"g2"	2.54638481498335	-10.9918530477985	7.00441359442452	13.8561591179243	-7.56887816100247	26.9520468864774	-14.2389314608569	18.7345970298257	-4.98855804841656	-3.65326326437999	-2.15349966497788	-1.67257737591378	9.0454793577648	-17.6041008926242	-16.7360712873596	1.63015969776371	-5.55016265510863	2.5814350621441	4.48072310167516	7.79141532164073	-0.866259842681264	-0.343747592380029	0.28122199360362	14.7550515272903	-1.03723824010868	-3.20455003875375
"g3"	2.36149147492736	5.88651267321011	-16.3524559917337	3.00825943307144	16.1310702439909	-1.48956857074866	-1.28463061695327	6.20491463597142	5.39242167570841	-23.8840489726635	-3.18232397702476	-4.23284104717924	-12.6569797141766	3.78123887079668	-20.3855758933654	17.8433062579394	-11.0075885838047	1.19821065686838	3.25840152153259	1.6487287167714	19.1622960188344	-6.28490159441466	2.38721743075991	4.82692266885913	-2.89731913680655	13.4569952973396
"g4"	11.5239385324425	13.4964226427754	-12.4445666485123	-3.62079800148466	-8.27517468180449	2.42291145056876	-14.8065351951109	1.15161072169384	-9.22460038931654	-7.21277976101927	-16.4474186504745	2.62353411689074	4.55364662563319	14.9263015450209	-9.1785787439784	5.97901609675339	-7.32801579040043	7.81334258299172	-3.30524381275916	-0.604986919949734	-6.3668193477629	-5.37943466772568	16.7363473911676	3.34146989079242	8.07880666125832	4.22590895725714
"g5"	2.51604887920727	-19.7621604539399	4.4668891061004	-15.8584006171658	-0.840369684291748	6.10722509731879	-6.43217638840535	-6.77534949477481	16.9498027316989	-2.98604179688909	-12.6272431305374	-16.6918907468132	-19.3553213372918	4.06054741522637	14.2173438096739	1.35135978740308	16.7839273386843	5.74819606955038	11.8122805027103	-12.0111125420614	10.5847723138172	5.81599046431447	16.7931919470051	-4.82488092967985	-6.42482637153585	4.35658557951129
"g6"	2.58253939424621	-1.4049592348368	-6.86153768938288	-9.44799160999673	20.8100465240547	7.4779072194537	-1.25398210533607	8.85043022417948	6.04296749498153	15.3805901841764	-3.52979809498442	6.33683916455683	-4.84321674361839	-9.87964115112431	-5.61695242500752	0.245325019669404	15.1539176690357	-2.94446896931544	-5.67644117707453	-9.90720269667324	-14.4987425650151	-4.9645776069177	11.8592444713734	-19.0375517016601	12.161042084903	3.83370201667639
"g7"	4.59259337183253	-19.1713435255074	-9.90238986706596	14.815617784028	7.10339511834419	-17.6599370040426	0.207689675943287	1.05254835983278	3.74805515975249	0.426529024865954	-2.93399119007457	8.25888047250883	-15.1509411345866	-5.5058573892282	6.49995697392319	7.60588239245584	-6.39551236982435	-10.0089580187478	14.4904089422231	4.62061260650523	4.94934876465134	-6.7870111022076	-0.324797790314377	-13.1606534427348	8.05953245859987	12.6695874336991
"g8"	13.2901103828512	3.54982934189765	-0.368187850423392	16.9117599714155	-5.04243726699566	0.870516264701913	-0.650261259485415	-6.48293397788559	7.2627708505864	0.316035130593454	1.82833339422577	-1.44417966365055	-13.3615677826673	3.23156359605838	-5.33632386593679	-2.86214083463298	5.38674332077315	5.94701512789399	12.5002376340192	-10.2253025040988	-13.5247374246692	-3.07001782573334	-2.47331037863609	11.5970760495566	5.53449156093555	-3.85760499515452
"g9"	-3.22902204781378	-11.6308645121931	-0.172195262776889	-1.49812888652623	5.30361225177691	15.4531921859966	1.79469385696881	5.20735202754657	5.36546651415353	2.46253752942953	-2.98472834460785	2.87542420348838	-0.567685411782395	-1.49230847884192	0.390197587331929	14.1384342757111	-1.40646680787908	-10.2829901380588	8.96801828029763	-0.620991649397563	19.7821022283131	-4.87800953042636	-6.79398805755983	5.46648035044177	1.45396749994399	3.05886538079128
"g10"	-11.6405815778803	4.83361184279917	-8.63013592474367	-7.35635562886056	1.1202134969003	6.5730234777843	-5.32154250465531	1.39338278717133	-8.97099701286472	-6.16240957155479	28.2243655733615	9.73367158006369	5.11895557955929	6.35321302727168	14.0306009117794	10.1897376955465	2.48189075522193	18.2841589456245	-1.54502966659762	-5.66756024813945	-19.7510592842695	-21.2533575691614	-4.79861924576973	-8.30701373310178	-3.21977550903939	0.45602754996513
