"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"
"g1"	7.81755860389246	16.909436073417	14.0876652576126	-7.85382669709413	-3.0794530568873	-2.47287432861851	-3.73029730106053	-24.2207346582822	-3.42966192469943	-0.759659523344986	3.45867118263119	6.74056876265629	-6.81884150204479	0.675124320695143	7.0646131244794	-4.64619718855655	-6.62170379377814	-3.08417777136714	11.0881549842197	2.3487812540329	-7.99444987377381	26.4402734959457
"g2"	-4.13743292596839	1.46303025538946	3.11417867930897	-20.9904366420533	-12.7863107096921	-0.96894819854335	5.63152666315804	-15.543366931384	0.59982822395863	7.16424003148258	-6.83376337207999	14.5062073649175	13.8540524060445	-4.07585501358241	-10.4361935550938	-2.45312450542798	-18.8714178254735	-3.46027601929172	0.0784192354314674	-22.5235363752465	-4.11357928442462	-4.30886523890064
"g3"	-7.36652927410877	7.54063538924614	4.35510119910504	8.05967924430153	-7.50010849173663	-0.591904188304526	-2.48469440527717	-6.99208192784535	-0.412977536663092	16.5789204319395	-3.9194428839187	10.681005936204	18.4926232244353	7.42978886436946	12.2754645121554	0.283578649936564	12.4927389169604	5.92703709255338	-1.07137136919181	-10.2668397163953	5.9967175514246	-5.32870919481624
"g4"	-10.3503471797168	1.35198468088835	-5.6548794484724	7.01052136619369	-4.00719549424777	-12.4329094397485	-15.9447956659328	0.321948165283573	9.50881442335598	1.39445065406777	-2.98689755938833	7.14975399750599	-7.19552579143371	-10.2509787642921	8.43805304940093	-19.9370210403996	4.03586613567738	8.64065563055725	1.13980052868322	-3.27394973816002	-6.72188786094139	-3.60670260111265
"g5"	18.493144776802	1.5537984019733	11.6419015257564	-8.2546236136942	-6.42198248461458	-1.45582510014484	0.0137610341238242	-5.43708107716674	3.90639044458339	10.2377893666428	9.58346378657563	9.15107874454485	9.2694370254381	21.5759097917059	3.3212682394237	-0.334431554488512	-4.81932102803501	-3.40838197284714	5.01671095069528	3.08675935349813	-9.23599308981071	-9.80198666336813
"g6"	-6.78533509506955	2.55904682007529	14.6113911336982	1.41836911260631	2.8534784224866	1.12902323591489	0.723296167211169	1.60396827944001	-7.03697965260023	-3.18366263810522	-2.18550438852267	-12.8951814686807	-12.8633899820327	-11.3733919231109	-8.19662975359553	-3.57694778062402	-6.17779569163352	3.09556152191069	-12.2977191782764	9.18742946867218	16.1141892391524	-5.60903293084657
"g7"	-13.0430950494422	13.3379937303501	-10.2187904115934	-7.84696091378536	-13.7699782662678	10.0278454712527	-4.87603065570259	-7.94645826722127	-0.616769620119573	-0.47431124964239	12.7753875417872	-1.98721746288401	10.3346596220823	-4.18267487260761	-1.0616435380113	5.2722211619502	15.2765680406248	-3.66495277896275	-12.5347942455602	0.600725284550191	5.41473453228006	8.98971211752077
"g8"	-20.0998733039344	2.58054741271397	-8.18739930610871	8.57308232563685	20.1318452995728	-6.66387264796818	-0.820458792584787	10.7608580576737	5.24368589294475	-10.1012724916727	-16.1125825098281	-11.4455773159116	12.8396091541322	6.80134873372808	8.50225501939949	-12.2897275514146	-2.74443110849001	1.74125417309957	-13.5906323766234	-12.1764259907927	-0.847288227130019	-6.58986409283279
"g9"	17.8938360201616	4.50734956996529	9.84809803094072	-9.63367078674212	4.19402887112574	-2.54710382461236	-13.3513869727885	10.6995991089823	-18.2790318193062	24.14512762441	-14.7805067208602	-4.38917815813134	-3.45754215112364	-15.067991022996	1.24241730241243	-11.5577154665814	0.119627861213894	14.184994903005	-2.52605036586193	-1.63031178003051	-3.30266688053468	9.10291062079893
"g10"	-4.00985831946082	1.09040364886523	8.77814001049708	-11.6691515379014	-17.1777925152302	6.07073417121692	-3.73938409864886	-13.7675615292716	7.89568539993332	0.719183173333459	3.94493380863693	-9.19134545001006	-11.3688256178617	10.6623044237948	-16.391569220511	-19.6519189334007	-1.34014596497804	-8.97707458292545	-6.02659135965656	4.86008615772121	-1.32737552795262	-7.45507848954598
"g11"	-10.4138138425514	-12.0988740341851	10.0327607188036	0.986770315747563	4.58762102935682	7.87261256572534	4.32844892242454	-9.98228717198507	0.293727029411959	7.40070179379034	2.5354148436191	4.15988541834943	9.09436219124536	8.95573356422736	-17.9961972509795	-2.28990233945386	6.42612066441181	1.00552180040095	6.84479200609634	-13.9625288665882	1.30856467646937	1.47827237470397
"g12"	6.2280558348789	11.2878568275468	-5.6024922413598	5.66043390417715	-1.69197636027643	7.09645117497972	2.9035994517456	7.22743540236691	-1.88196594194197	0.236681816585767	4.89037619186836	6.62566581681532	2.38195950497822	-19.2061975944529	-2.86313925921441	7.75349420000705	18.4556196698926	11.7532823545387	-10.1634554555261	-8.29526538114413	7.64231721689714	4.70029143698735
"g13"	-6.27173418189301	-2.74760086330717	6.56194717773713	-8.72003357231644	10.2729915389203	2.63751790335371	-10.5060602566646	-4.09002553037908	9.95236275116665	-7.44788876576925	7.033750534799	2.45589368240679	10.095920598731	4.38998669309622	-6.88635832111901	-11.8335786123117	12.8770839586403	-1.19114991602151	6.77940755399067	5.64337596555925	-6.36828729746598	11.8986996910483
"g14"	-10.7997647318095	-8.41877632367016	2.74234734222772	-2.03800197689208	-9.44139897116295	-12.1112951351353	0.276145028579084	-22.935770124575	9.44405946554463	3.05842733087126	-7.95463880997349	16.1600136780791	21.4424411419115	1.76486264980569	-3.4840440139837	-4.13677059495054	-19.0732781713224	-8.08242584617433	5.52192614606527	-1.7355410346701	15.4972554674499	18.4684345136081
