"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"
"g1"	10.4184468771336	-24.129411486054	19.1349490949676	13.7759193695571	-17.277140386093	9.66260381953949	-1.37120158366152	-7.41644045990647	-9.88921091475277	4.2417541174546	7.46472310779427	-5.29544559013382	3.32529893734812	2.42493261907974
"g2"	-4.78340023053399	5.95273097794484	5.14060661988911	19.1350534781854	11.900576771428	-22.4672504939002	-16.4080789756551	-14.2564015713755	18.89454796914	-8.89571578513822	-12.7725640211247	19.1920565066023	-3.28146528590141	-12.9121112002369
"g3"	1.76286237618007	-7.05757661203564	6.04540341667322	9.8826687843399	0.713796804204392	-8.16136583038836	10.2326940353827	5.49532611413797	19.8541011787825	-17.2596320480876	-18.7322475136316	24.1280242051704	-12.1851488233215	8.63266246005498
"g4"	-6.56388268530208	2.90973966896422	16.0811264433439	-7.60853785753085	-9.99592853276235	4.39647929605455	15.2815460907619	-10.6917521119898	-2.16017560926619	-1.51424628376461	13.2873223899374	0.891934106727831	6.03618311434721	-10.6838886632661
"g5"	-10.7203904615532	18.4552860125648	-12.1531769840451	2.64840722382662	9.82359767335179	-0.629600191246299	-1.61005655953047	3.94161338448209	11.8452527044085	-8.06364833353326	8.77193162206573	-6.87116919005862	13.2165985277472	3.50601657642035
"g6"	-4.55618698537994	15.1669362681984	-7.75723413570871	-6.95433922251921	-13.9620207347028	-6.67711730241695	7.6004879571269	15.3546242501256	-12.9004534551526	-3.52242642306921	-3.09177285804513	0.989733468789513	0.0155035564424284	2.76873274424559
"g7"	14.5319155271822	-7.35660248533649	-1.81963586983714	-3.07290862168875	-21.797332712525	6.7086611902507	-1.90025040522457	-14.0756839193829	2.23736551632943	-9.31331493813357	-13.3429102991729	4.31066446005107	1.63787058037409	-7.28818927077869
"g8"	-11.8186211009044	-8.08461241947694	3.70325443192539	-6.33577066954451	-5.56763995425745	-21.369778020419	-1.06837681530201	7.54228406520411	19.5994144183322	3.56818046896361	5.08774637953238	0.785537656883562	4.57672240710289	14.3173634552057
"g9"	1.61061439768178	10.6911772465918	4.68977237625066	-9.15256387504319	1.39001800840049	0.0365003277235552	-3.42050459988915	-7.45574036057555	0.613794055631137	-3.04371277727214	3.40406901171283	-4.42180820024695	7.38260399316453	-0.818499414926789
"g10"	-4.1083000962385	-4.09363409939837	7.5993514874782	9.54315779321478	-15.8467961989491	-17.5220930822837	-4.47857463241856	-1.50740842401573	-9.79876142572136	0.662427848913961	4.51157113677789	-27.980899284588	-6.13336025679629	7.00775646657237
