"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"
"g1"	-15.0710343867507	4.38589717041009	-5.64624876490708	-4.67358584585574	-8.33682746968612	-8.39676787051584	-8.47659635987707	7.97055581897158	-3.3560962333759	-7.94300115398174	0.842137451227089	-13.3716658962325	-0.36220530199916	-16.3346510734903	-11.9533924111864	5.04173501691259	4.47128394984819	8.59484296001394	0.364658324374829	-7.38263251369789	1.44910905504111	-10.4759903789112	-12.6608544392112	-0.877217142053301	1.63922855513188	9.10514517304213	17.1806770087613	3.4522221206434	-6.20310951770262	-5.88209770923147	6.93690887020633	19.6063291248335	5.27345143587449	-1.61939233382912	-14.9554922704826	-4.70724706631787	7.46154072569879	23.4788080669918	-13.9552298477314	15.516286279479	-1.53077491566349	9.043436540308	4.97368837865954	-1.11591852972819	20.2809226212663	-3.16116520552062	-1.68284138845785	4.5417881478652	9.54820162559924	-11.31945579797	-10.8630701864827	-5.8546094161858	-3.0233609439281	12.0461453029866	1.10089070685057	4.15220117461246	5.85532363310111	-24.2551882959764	2.76249771479555	3.8149559148486	1.78379420104702	-14.4159819848135	-12.8396350414191	-2.39965840660312	13.7708412518698	6.15806818260267	-5.90359957233087	-9.73441430279336	0.331374465488475	3.71280300002989	-5.06861792254789	-8.3471902311939	-2.15419305991242	7.55270677322399
"g2"	8.89833448547957	2.54013447399781	-0.131420852476358	9.72950962279556	-1.41119488674938	7.97940855243467	-15.7134003398835	8.43609415588004	14.4955297003928	-5.00159417529719	-5.88499613861369	4.2633385875454	-3.15725177753131	11.6970967279266	-7.42725023713311	3.67177760526548	5.42391753411287	5.98107201033865	-12.0874110057633	4.24459986039383	-4.34472107787476	-5.37370733933817	9.72941721037672	4.29184899336794	-0.0810695325842358	-5.61715927817298	-5.79971288075585	-1.66264370521192	-4.13443329079987	1.21612464631075	-1.20536118718331	7.1531847545216	7.16467840460012	0.698319447133562	24.4006091609301	-12.531775295553	6.45175149951669	9.52716919484873	-12.5978011617538	-0.0981023126847076	-4.2777185599027	-0.722590841130141	-0.915882121290297	4.75402167481896	-16.0178157812971	2.12303446301429	5.87444195968979	5.98351402681249	-8.89918482047384	5.25607016497102	2.25763122355936	-2.3788482609212	5.44679404300952	4.48933081490199	-9.96818127503459	-0.111998112940869	-16.9102322374285	-4.55242015715518	2.38365513987989	11.8177671721735	0.821344642425427	-11.9404322206047	18.7198113769454	5.96047567510117	9.40006415489033	-17.5032734787522	-0.168810663994077	-15.784815185693	-8.41513298751047	-8.93929296682997	-0.447019455066941	5.85499333691726	11.081516161852	-4.07649695541968
"g3"	6.21645066614489	9.94018524723365	-2.62085904088499	-3.86793842158145	2.98593614188625	7.68996950645469	18.2502915394218	12.3138222284394	9.23493965340034	14.2268544061375	4.94987384211289	5.22463782400927	-1.37576488567394	-10.2815640924732	4.28972404699265	11.9315972110333	0.803519371445834	0.352995682314771	5.37179427577326	-10.9726129213309	-3.26766211164049	-11.8720718397533	2.04454975961578	-5.43306244396755	13.1534894363088	11.7919143758393	-9.13303234424562	-7.83113294849653	-5.65697380073053	12.56194633334	-4.35563642956896	0.0048090999999372	-4.08035669403292	6.44556541455905	-0.23220229391063	-8.54929191804154	-0.732565723943933	-17.0781574618343	-5.38321675070631	-10.3474502681583	0.155996319219938	3.89979117702746	8.63202763865561	19.8369854364042	-0.0363260246585172	16.2063541075425	-11.8748634676968	-13.3387398683718	6.61263308320912	10.1502446912844	2.31942287282713	-9.62466967095285	4.94744905886858	9.15930788937077	-16.5626311607151	17.073714778733	4.88012901498291	-6.65629491527805	-16.1843892442563	-3.37334964521339	-6.65548705533558	-3.83138011085673	5.13894691409187	9.55499521854109	13.8248860935761	-5.96492196658355	4.5809673935653	-5.54199567732457	-4.28778008379084	-14.5068453919878	15.3647466406502	-7.23374588792587	-12.6331888453472	-11.6758749645862
"g4"	8.37198403811215	22.8313462250949	-12.2046529975931	-9.73327480442866	2.42775563074998	16.638640518132	23.2716742905372	26.2823169479837	-4.99437630045995	1.79090505978801	10.2064124787334	-8.56660775308803	14.91906510744	-6.4719857878638	7.99245942681162	28.7335791687502	2.84106533958218	1.09871530129495	-0.632526208147867	-0.574036258750466	3.25913101369066	1.64762815785008	-24.1142974163114	4.03566782604223	-5.39355432810809	-1.58188835955686	-4.19988652871307	13.0601635784324	-7.85749520797317	15.3444982021467	-3.78053935954354	-8.83931479354287	-3.73944100219751	19.2618636663892	-6.01300425475288	-6.16909378943176	-17.1997944964713	-4.06010343887018	14.7036909289694	-13.9154160846379	0.157784177220426	7.22534632030507	-5.86438125071965	16.7202738397452	21.0754878861115	-11.6700854198579	7.18542794878497	-5.98515832986159	-12.5272844701739	9.19841582044167	-1.69862660544016	0.241232044258909	-14.9675790917854	5.77554351205761	-13.8384737961773	-5.40458031983545	-3.96794534112466	5.2049129119357	8.44249936326981	-0.733637191986088	0.864283474934136	-15.6838434841601	-2.88446004713859	15.0202699924313	8.67813863316536	19.6945442933469	7.23862237918956	-12.9100111863473	5.82100370423721	-7.71749695901068	0.113678952887722	-4.34394643638475	-7.3862512502003	-12.9585915210444
"g5"	-11.9958156213254	1.52146049815814	-1.34052732980948	4.99037894394285	-17.4220437077105	18.2999099708502	-4.05194973162279	3.19481491001455	-15.7424861381678	9.13413438803673	4.03967348509343	-0.740837267622711	5.25440883012631	-8.59465312363343	-3.16753502868477	-0.0593578677721222	6.53479304402366	-11.7432252658004	-5.66742216039132	0.959694573231449	-4.76793344861983	7.2501864796383	-5.968198691022	16.6233662332397	-12.163687087756	-2.78049136690561	-12.2379949506773	-10.9947606760741	4.29077819094642	-9.46899818626491	-2.68280990038426	9.25143503584813	-8.11423452681337	2.91193439506499	3.1325343774323	-0.850827372677723	-13.2771171054398	-11.8155795342279	-3.41180319897801	-21.5573607346479	-2.13201557438457	-11.103961609645	-5.04390213771975	24.0727660068088	7.21198928998124	-27.1709192389776	-2.13724296003828	13.735793347747	5.48854713648019	7.38257754451713	17.2020423139362	-13.1341273430154	10.169056640026	1.32869346447408	18.9305761141038	0.784429411296391	5.54350598636489	-15.3234500770892	4.38015776185335	2.01901799169664	-1.81974768593199	-9.48762902966496	2.16907923096001	-18.3835785788646	-20.0154298404558	-3.64220897073846	16.4044819533178	6.36053259253498	2.40600680797944	20.9081160598582	-6.81519338384255	-6.07420756413386	-30.2062264355389	-10.8640455755839
"g6"	-14.5302250436709	-3.83406942543619	-9.22802444362194	-15.9535401110942	0.467887298564562	4.45816061428763	13.116268702944	3.94630064162499	6.03227281152474	-5.48642254528731	11.4936626899311	-17.909083490707	-1.23421074096121	14.8461679012052	8.06313377547182	20.0370803810975	13.1850821184608	6.68242255377183	9.19997734311834	3.00258337168881	-4.7372982835724	-10.4111158538261	5.23905839946093	22.4584921421867	12.330292869785	-18.2505947064706	-12.4476088202047	2.0511052005325	4.33552203681767	9.4822841715757	-10.2319622034611	5.24386227882064	4.21334881317213	-5.34722481646957	-9.56557720379808	-6.82137170644322	-5.53358365057661	-12.6740985446173	-7.33891424717725	-11.0670712008245	16.4472607369351	26.9106843425644	4.44312927391994	-1.47778070411419	12.8401253017599	12.466392269478	-2.36785386835793	-1.36545152989728	-11.6606567312749	-19.5667830799902	-0.52499063996592	-8.81088770627101	-7.28678918742758	-9.28946232753533	-3.65848936005704	9.07500134013513	-9.55784548746965	-2.23975962057173	7.0751244304894	-5.2937530806793	-2.73242997005181	-7.06412104259866	-19.8765166914384	-19.0898937184306	-8.61823139853291	9.60756598200662	10.5416218662695	-6.13131881485726	7.11683184659759	-0.872153193201807	-3.04704097349804	7.5191669958772	0.14030486747853	-2.34852226001738
"g7"	7.08106786258344	-3.93843685020469	8.83980194247605	7.49240445898109	-24.2184489076604	5.07202681790217	2.86398003896958	6.43921073944655	-21.4230048392874	3.95858962255388	-4.33498651646632	2.6946835467456	-0.796897961686599	7.55277401496956	11.4286232670434	-6.09273458194397	-11.3015530444629	9.66164447398294	21.148939788073	-2.30186744154079	-14.0555025299665	12.1468598770357	-0.80798609649597	-17.0373535088974	-4.46808652898844	-8.08804514289815	-9.43641264083906	-6.16051985741529	-8.58791485614056	-11.2445578556476	8.68287229048274	3.29697142117236	0.239765730940085	-3.09658110157222	-19.3259145125317	-10.9827058703357	6.31128167848742	6.72610831976489	-9.8152041003556	4.67791508898548	-1.34355755501006	-1.84287049096366	-13.7447539690621	-3.34233024398536	18.3809598650077	17.8774480579886	19.2913660484671	11.2553253292655	9.11010782941574	-10.5078691824353	7.4048784968177	3.70440181126573	3.26528153086295	17.0097403460758	-3.54541474091258	-2.78110360917979	11.4524866995084	11.2488124364085	3.44378099905243	9.29732247533081	-19.7387201670216	15.6249681301793	-2.24901099390519	4.18191470708064	5.58719244493209	3.2273983362793	13.4695708811707	11.9233566450529	-8.8404793952688	-18.4148660040603	-3.82971231113862	12.0273193919578	6.24350642897455	-0.117274106561801
"g8"	-13.3937230331238	17.3357709913201	-6.32436374614102	-2.51026779560089	3.76782646824722	19.5415799355055	-13.4780650570126	-4.24076564401587	-0.428567356307105	5.12703294964576	23.5991503010275	-3.53240924433751	-15.59419845852	-10.1855900725169	-7.41749274210122	-9.31381018923856	-17.1003209113263	7.22304685847978	19.6540083860955	4.41417136570889	-6.40038812014427	-20.4354497404379	5.85202255233447	-11.602226149439	-1.59522235120592	7.10609924305809	1.38870946984743	12.7833658777421	-2.77016547292281	6.85212245326692	18.4204232558619	13.4485632889388	10.8639902842467	-6.94956857048993	-1.83664915044776	7.68872732328122	1.1279114896955	9.72427293615187	8.4162775722746	4.03834749149315	-14.5470961283118	-9.56727395064711	-10.1511757467066	3.97701484119004	10.5259349951483	4.96398286375904	8.51604761404854	4.04980326540596	-4.30518828120123	-3.6926720909903	-4.35150324593355	-19.7002456697099	-7.10686950868453	1.20087219561244	9.86053094136578	5.5089758522792	8.01624727342769	12.8218542399918	-16.3940260985365	15.0710730628404	-13.9803915396679	-12.3324643709651	-15.321051221096	12.1375146376032	0.425540141720126	9.47393289296734	-12.1630818782115	6.2321941789878	8.02834553509516	4.87456076679474	-2.03177164051871	6.8954235119737	-8.95766032174822	-0.384325354291913
"g9"	-6.55081177630325	14.157156848206	-10.8566940058953	9.08207929711063	10.5245788420581	-14.1594238006052	6.10479473656604	-13.9225528789032	-2.19350820132961	13.1491831100644	-3.93030838349526	-1.22166984367966	-9.90202035926287	10.1899461094349	-3.66174518738957	15.235373271739	-4.33226046522095	4.93147285429291	17.2023721702088	-7.80677217684661	18.8550163783372	2.20337395726631	5.18163246448183	3.09437112678929	2.9690631479577	3.77490767722191	-5.104803977396	5.90372886281116	1.37678905795832	0.802706252574725	-0.239278731164166	-23.1718041145179	-26.75790541094	11.5707533026633	24.7015747383755	-9.86210783647818	-1.03702241985237	-2.05209138185097	-8.13494754390938	-1.09892319938697	-5.609966756922	2.17191783398613	-4.62548413739892	-10.5919010747429	-17.0662121321646	17.956927404766	19.3737295715404	18.8213623624806	4.16161358718331	8.86546183272615	-26.7879226085345	-4.825449212518	4.30127534932854	-5.83652649207318	11.1059671258612	16.31440326194	2.70769689584389	-0.714145340592261	1.28560018400532	14.2355080127885	1.71024439828599	-5.98060618035469	1.6461812586352	-3.25002159719538	-0.645429033377138	-5.25063392932538	3.47930661124612	-9.7356757636739	-11.5339544852316	-8.43921194487184	-7.61392461637619	-1.4937040631578	-1.45498719587185	-0.791853842324419
"g10"	12.4383352518394	-4.89068627277169	-9.38935464402649	9.5622250002509	-10.8061436574338	-8.6466163192049	-6.72660160821881	-2.69728303463918	7.52131801330875	13.9329662205755	-9.38332031787269	13.3242457694555	-1.14411322277205	-6.06373981893512	-12.4639077288743	4.92749331633613	8.15187385717664	5.17276913311662	13.7225613847159	13.946044715619	-5.68720561654325	8.3688508364286	-9.18143565400672	-17.3000589850145	-11.9099585993692	-6.21979704385695	2.03243782011679	8.44367503452582	-9.52416929284702	5.72612089872702	24.2570195820629	-9.70424214982881	-8.01547810268706	-16.7825973785316	-1.62592338335419	-3.47089020145774	1.43971748296373	-11.905315926493	4.19831096070092	8.6706596691316	5.77545560504768	3.21140337742964	4.03875276092484	-7.13888971650017	-4.02348601714494	-10.0024459266822	20.804849995729	-21.9761618156842	-25.6407128561708	4.7610098979113	-2.969728586462	3.23055449276182	-8.29349177565085	13.1982544411637	9.7701675551613	-2.65967441199539	4.40172914323291	13.3456493543968	8.93297446475521	1.13229944695778	5.86789010318611	-6.29797230980892	6.0742383621865	-8.24359000429056	-0.12334192774854	-0.714921343461259	-0.70470188505252	0.109262761734541	-4.87097136838573	3.70565968272318	-4.38462088837359	1.79969844576545	5.58361082701051	-3.08079954662328
