"ctrl 1"	"ctrl 2"	"case 1"	"case 2"
"g1"	-8.98387579390818	-1.11200511451981	10.254681482143	-1.38594655261886
"g2"	-5.49870438608116	-7.53407841535291	3.50635653114834	-10.8633661093833
"g3"	0.351571366589568	4.19164357390084	8.85646164920339	-9.64128888027536
"g4"	5.37343203769656	4.29781069848789	9.08854471770919	-18.0443889923341
"g5"	15.2212217746838	3.62934316204301	-9.63463512223396	-12.8501676508102
"g6"	-13.1171647725033	-0.415938398318841	-9.19362461488446	2.69678838616266
"g7"	-11.9004860568997	-18.7143727879698	-0.738703879124626	0.446528930104867
"g8"	14.4246711196718	1.54029615803192	-9.5598120221198	-11.892044758269
"g9"	-1.53145212200038	12.2457857242822	-21.895719568788	7.07106529845075
"g10"	1.40775268202813	3.86672836258023	-19.565242165486	6.51753833462576
"g11"	4.72977477939854	8.3621353103678	12.4587290079694	6.31010646963467
"g12"	11.0292030587265	6.04304080394026	4.48346883540217	-0.252319264666217
"g13"	4.85829209640262	16.8169665027766	6.46218795969042	0.601058617346514
"g14"	-9.66709102692331	17.9892959856482	-11.9562430816255	23.5932833967756
"g15"	4.58980525501977	-3.79315697357326	5.59651220492689	5.23864818692896
"g16"	3.37938248426944	0.0455230136867341	-12.6900116600716	-3.30424040223607
"g17"	5.83783634172403	-6.25004847557835	5.54782498140883	-13.7600505736392
"g18"	0.68632265763942	-11.8665279060004	3.82234205448908	15.1617084212575
"g19"	7.94469368861018	6.05154650262724	-8.26071544248735	-13.4203750111978
"g20"	-19.480185114749	-14.2791653061862	-6.06341114569088	10.0233025569895
"g21"	-2.8034567510676	-1.61671895631136	-16.9302484688585	4.84220485050592
"g22"	12.1329581746354	-21.9498518447027	-5.49499165776842	4.93590989121762
"g23"	3.348634476983	-11.7954241459765	3.90302579321674	17.0957223032067
"g24"	2.81509405815919	-6.92977612359976	1.46416012454388	11.367674277183
"g25"	-11.0966272638328	-2.96053322044083	7.37472011979897	9.01953939124545
"g26"	15.1517513397116	-9.02731690100438	21.007309733884	0.156736137288284
"g27"	7.422149181404	-7.24009086785161	14.3012672210489	-4.47493115490038
"g28"	2.24987203595188	8.63907534464772	-2.11948409849214	-10.8192769722736
"g29"	-0.824575677940605	-10.2558321613136	1.10735248282112	-0.679448673934627
"g30"	0.239857509056751	20.1066429287828	1.1776248847536	-6.48867222101732
"g31"	1.97029961087096	-6.83193566096637	26.0244659750214	-1.01478090845237
"g32"	-5.22220089520022	-2.24102733317782	11.6120237233621	2.00802993250114
"g33"	7.87724361971893	-11.7219310586611	-4.36606179709899	-4.5074667788511
"g34"	5.48570572019692	-0.131032208900098	-14.1026119264091	-5.35570450743639
"g35"	10.5348212250546	6.05658298681406	18.2980354381639	-7.7311340785929
"g36"	3.24204937476633	1.96216549067128	2.67211294506471	-17.0012441753167
"g37"	13.8538951120341	8.51886983071106	1.54384466701088	-2.81428813163878
"g38"	-2.49130992473132	-3.79112721674267	-5.70725504885117	2.23217035658402
"g39"	-15.0152841539403	-5.93269687525113	5.05094564194597	-5.64524991918508
"g40"	-12.6231402724029	17.8755975036512	-9.75995469766715	2.29737585524207
"g41"	15.8377714228619	14.5859621193622	29.8460970325075	-6.81528373044035
"g42"	18.2242547072425	-5.42666475777055	8.80650994281198	4.56165138630951
"g43"	21.1836913242089	6.98130930316448	27.4803580463321	1.90786351544673
"g44"	4.49131752937537	10.5168896592155	-8.5231751127433	2.35518763935592
"g45"	6.93868473686079	13.3577963602502	0.624522205153288	-10.6356498829044
"g46"	-14.0130786123707	0.201735919278578	5.6398934064546	-14.1539707627844
"g47"	0.758172385517504	-13.2106510129735	19.5022693371308	-3.60157552842187
"g48"	1.18441637298359	-1.81829396118695	6.6186996984275	-0.623422120013977
"g49"	5.44016792429013	8.43479336673156	7.85781264272818	1.04860052494596
"g50"	-6.59862931654305	5.816253543904	2.34438413591211	3.76682614012187
"g51"	0.730096188826694	-13.0592209516727	-5.53667667841175	8.77802459994057
"g52"	17.4347697793748	-17.4553283906141	3.10758110092332	3.13832956557517
"g53"	-3.09764639047412	28.0960635064235	-0.4813284539722	-10.6851815598983
"g54"	14.9432932365761	-1.44677055587632	-11.444136465886	2.99678140647395
"g55"	5.64699770653643	5.81063179119782	8.20486693959271	-10.1132305357142
"g56"	-7.64248312840127	2.46432183630681	-4.53186095582342	-4.1950650550726
"g57"	-10.5434357384459	-1.87686275388949	3.99051966215591	-15.9269298636099
"g58"	9.39223912199592	3.20027685484915	-2.05469374887756	-3.47044374728868
"g59"	-10.0888030015074	-8.207450766598	-10.6193614268812	12.9142804094816
"g60"	0.870671172408406	7.00217145198536	-5.87447885230853	4.74420199884853
"g61"	-9.93161980465428	26.9829917442706	3.0361080359654	-17.6489858174502
"g62"	13.53724441867	14.3256452483352	-14.3750201591871	0.518563127359223
"g63"	-5.04720552490599	5.811424740131	-9.96839292853524	3.14100301108942
"g64"	-27.4877781633843	12.3153066855145	5.55775994029352	-18.3509903701909
"g65"	1.81826948745321	-8.88622316738456	4.34731303669194	6.49923915801699
"g66"	-9.96232705360029	-3.94798468421574	10.5454556656073	-21.4164152268429
"g67"	1.02770725601761	0.690442492709436	2.42290640943623	7.21206555863868
"g68"	4.55219788598953	0.8085632988225	-3.7365188147385	4.00169965219161
"g69"	0.882693550700309	0.326756692673665	-8.27809356274378	-18.2738060601772
"g70"	-2.33735137658956	5.21688284760296	-4.79609240599341	5.85285230465179
"g71"	-3.30656416441333	-8.40236526430714	-16.4552601066938	-18.4428510086303
"g72"	-14.2409287650675	-34.7012440752419	14.2315613599468	0.348298890102504
"g73"	-17.3444570858935	-1.02694088442584	8.57306648224453	6.5068130886754
"g74"	-7.35924751328434	-8.42280168699266	6.52340035697124	9.54604584221049
"g75"	4.92137800408558	3.27014706117794	7.42025015141806	-4.40006631639736
"g76"	-13.8739967019636	3.11338492745539	23.4733724105537	3.49216856009221
"g77"	-2.30129806943127	9.73381406127894	0.724606848926547	-6.40940402928783
"g78"	5.91606958160828	9.04896100921997	0.77634503271056	-9.67975698253437
"g79"	-7.28531346037387	-0.0728771599711081	-1.61411734429214	-14.2106865891979
"g80"	-7.97228641464423	12.9537246885887	25.5839058342397	5.63899296935606
"g81"	14.1052962276383	-15.1797983562998	2.59620014942393	5.22613433859064
"g82"	-6.16185964435575	-12.7217951566519	-1.95606009739573	-2.72345252268084
"g83"	13.893780612424	4.39446208692925	6.8885662617783	9.5272769353645
"g84"	2.77689253273246	12.5565086846441	-5.9864752259618	-5.46752068058742
"g85"	-14.6140024841028	1.51950399084655	-1.34316312247337	-4.8109720473833
"g86"	2.41685584409064	0.743144576326088	-5.68123288875052	9.75786855060545
"g87"	6.03519139624991	-3.8789011431375	3.2067366866158	-7.0526904474248
"g88"	-10.4238233457219	6.88249405950836	-11.242705024191	-0.954170532632399
"g89"	10.6457371218709	0.268340099681032	7.74922292329185	4.12198691590222
"g90"	3.49706767088541	2.31619659249031	20.9068816168782	-7.19504320277446
"g91"	4.70142534878257	-1.90550545538957	-16.6537560014584	2.60814056239691
"g92"	-7.56981735241646	-6.77756576510012	0.160235417553026	8.63089632422608
"g93"	-3.15681497367674	15.6603864187287	16.2790309535052	-3.26656407946149
"g94"	16.4765971968204	17.4782514075359	13.2259594671804	-3.33324184602292
"g95"	-11.1103865499977	-3.62113131064994	-1.58779966264556	7.08620303287983
"g96"	-4.13587138824919	5.93979633707078	-4.36868098423284	9.94178331512927
"g97"	-9.22895716207414	-0.497099610883344	-10.7813130074637	7.06081489808234
"g98"	-9.93347877034679	5.18481153545629	-4.46293422592803	-6.44758603748653
"g99"	7.15597081281736	1.2650204144666	-20.9346249864332	-12.6079362373188
"g100"	5.74871756275307	5.78656496727038	13.0773409293182	12.1387892903805
"g101"	-3.56129682912069	11.1568289894914	-5.37111146519061	-8.15385798555321
"g102"	-10.7210609260403	1.90418279972635	-0.0184708450747126	9.53881725595999
"g103"	5.52526725600479	10.8049627564025	-2.4658994854988	-15.8096688945322
"g104"	16.9298606331784	13.1491602218708	0.0122626751421005	-1.94496930435281
"g105"	-6.80234041148625	-2.9736982105767	3.62127920775801	-10.0307031028603
"g106"	15.8541166925089	-6.24266079339828	8.59241391925813	-1.32967980770783
"g107"	7.03264448768426	7.69272930338653	8.82701044758017	-11.1944528659788
"g108"	1.48941219591578	-4.04846967658624	-10.7532605066881	-3.66202976734282
"g109"	-4.33529165538253	-8.42249958803156	11.2683482095508	-2.26924563055659
"g110"	2.66757427068088	15.30258955851	0.331831961585963	-2.2024428002667
"g111"	-2.96112695486996	-11.6268447161822	-13.5278290428651	-7.21582789342792
"g112"	-5.2301381764961	-13.7788513123081	-10.6543345974076	-12.2747674141466
"g113"	-9.93133402556739	3.65496005493909	-1.37043999492532	0.710738154782965
"g114"	12.5987478605109	2.78507758925364	-15.7558060734368	11.8992041640095
"g115"	13.1020920237493	-10.0437808460921	7.1273363989924	-4.90961905866146
"g116"	-4.95327625701407	-1.93399517825867	-5.17392051992926	-6.86999243576154
"g117"	6.40454767257544	11.8212444964816	12.9293608950463	4.97258446408836
"g118"	9.7708940293806	12.8365908429946	8.54600494984848	-8.07248204010973
"g119"	-13.5613538029117	-5.49874664537172	1.67246687938643	22.0590723227801
"g120"	4.07766908693308	-4.88862235981968	7.56099459525428	-10.5547102381365
"g121"	-8.60755341475734	-25.3981895650659	2.79165310803503	11.9796632838719
"g122"	-11.0951636488615	11.5164955573395	7.98717921862657	3.78841423878796
"g123"	-4.83523686429423	6.04371432192931	0.62057897341483	-6.09931018124881
"g124"	5.69681223839315	4.2847852375322	-9.50804797448736	7.27479004547786
"g125"	0.442207169823262	11.149180206443	9.3887599767813	-17.1193775484206
"g126"	-14.8007819227593	-22.5687769645591	-17.3233420121429	4.81885019588981
"g127"	-11.597124223976	-10.3867675834646	5.90837349540333	2.35767444960341
"g128"	0.325966298958716	18.3469708063803	-1.14952211857348	-11.969358257051
"g129"	14.566024947951	-19.0373484014815	-6.12793485276642	7.5064435256096
"g130"	-0.480022804233288	3.42395626121998	-9.29978008160747	1.97064482470055
"g131"	14.7465486982512	4.80298858621204	19.7258564868618	3.25981524558343
"g132"	0.571224521376777	-5.51354816306766	13.3723817847323	2.62958839362224
"g133"	11.3501564120655	-2.82383248179467	-15.1145122363377	-0.326483328931533
"g134"	-2.22234940074808	16.4091231960329	3.08589729627069	3.43349824660332
"g135"	-9.17708545891834	2.7605107764961	-10.4423712338356	-9.40489807972385
"g136"	-5.41938163993063	7.68157214208201	-15.9960126954993	4.59663257656362
"g137"	10.7470812298197	-11.0692999598553	8.5769762514225	-10.3044149528887
"g138"	1.3630457416219	-9.63663049799338	-4.23783154707559	2.97166926656272
"g139"	6.4026764956131	-4.88148664883691	9.45678107821476	3.30243943753835
"g140"	-0.197481750239358	-20.1541979637318	11.3228101138229	12.0961207797447
"g141"	-0.655988514540552	-4.38544558105613	2.31379077155873	-6.27781493948629
"g142"	-0.382660413664388	14.671618283986	-3.04088891748593	-12.9897820172279
"g143"	-5.91593181863947	-14.3713189134823	-7.31227393957766	-8.46275443825086
"g144"	7.14915488023995	6.56794405172007	9.63644611571153	-1.02611985771581
"g145"	-3.80172590431529	2.81340676314431	4.66025068231516	6.71809744811023
"g146"	0.920219235529346	-13.5893427775733	10.3847256019959	3.1994952758519
"g147"	2.82517071714629	2.96939536950044	24.0198712826997	-2.24345377753849
"g148"	-7.55917968976934	11.2481554267623	8.68840305489626	7.79996785678643
"g149"	-25.0461796587223	-3.39635338400712	3.33359592445234	10.6655324615038
"g150"	2.84374547975551	-19.8436157520431	3.39173269139562	-0.479625126508092
"g151"	-13.9843382333412	-2.93461431836335	-7.7205484995605	-5.02989913124453
"g152"	-6.60820514190595	8.88403318609577	-24.390545231133	12.7285607403981
"g153"	-8.97476997215631	-12.3467588390591	1.06071925982496	12.2308167915315
"g154"	-3.40910012713286	3.92436863069697	-10.958619372093	8.62511267078748
"g155"	-13.2159762453779	-2.83712470429762	-27.5293709168555	12.5607219301463
"g156"	-0.171697965472773	4.12486286265518	-9.66399601793907	5.52993550381922
"g157"	6.04908836917776	1.56963649752098	-4.91872500398483	-14.4590901320619
"g158"	-11.5374259153779	14.7669840102305	-3.66754034927195	0.0284647280559742
"g159"	5.47608768023347	-7.72804229666048	16.3474903699861	-22.7026703847162
"g160"	-5.93272081218925	-3.71615989727318	7.82491633304033	-7.91924712442905
"g161"	4.27253143218614	9.96900539188309	-3.16112208702836	-3.87350672032461
"g162"	15.3332520279122	-7.60506876381945	-12.6668151538249	13.0486901115043
"g163"	10.5723439114395	6.84107261930321	10.4369553142241	-7.13855986047991
"g164"	1.56317561155075	-10.1508267967062	8.70095224459698	-9.68504693599475
"g165"	13.4782849858911	-7.02907558374328	11.163489674685	10.3968385240545
"g166"	-4.52394967457691	-15.5105826571208	-5.56175093778069	11.656862806694
"g167"	-5.47421419681487	2.2550597070005	-4.97689448914239	25.3214705585176
"g168"	-8.46256611925459	-3.02336268720403	17.0572874152035	7.53536264602195
"g169"	3.60857346610378	12.6793447013107	-5.94777190757438	-19.2801071572864
"g170"	9.44594048772533	16.0574820928679	-1.40582556161631	3.80762166956302
"g171"	-1.76331013094819	15.6110973659621	-5.38421975175747	1.46714111270134
"g172"	9.7824800555696	7.93115774162602	5.03735592685094	-4.99143386727957
"g173"	-0.262682763742509	3.77683936222017	-2.861502905676	-6.12388988262215
"g174"	4.38225886121735	-15.7849647095969	-13.8946466574258	-1.74424270332068
