"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"
"g1"	0.810304536304623	1.96202692768649	-4.07236526359501	3.04260622396733	29.0231057199544	-3.39467690283239	14.1247821087569	10.6355132408931	-10.5685035157992	-3.25408673595977	2.66815793086539	-17.4611100996	-14.3641482344852	-1.12460367735767	-2.7869159593799	-2.73446049591035	1.95726440523864	-2.02530800938247	12.4214617698843	-17.4491369278982	9.98957976723993	1.22967335431457	16.8991700689906	-2.33692536949612	-5.30817901519045	-3.09155513741602	6.20270469734239	-3.10110637986535	11.7836027217285	-10.6889022251822	-2.45243870471076	-3.54783417531139	11.1083452108352	14.9400985253982	3.37729596148088	-5.85212092328948	2.31536519701683	-0.630415859165577	16.1657772741514	15.2482995964163	2.59258303746175	-4.1410282062049
"g2"	-3.55431526777156	-8.0457760468731	-5.6254824725339	-8.41589746796796	-5.49336783839357	-1.11556912928884	2.17273532291965	2.20343183802128	1.06475800242938	11.8395572370111	8.96224295448295	-1.76999632372098	27.9267458071493	9.97519471965268	-7.38794350537735	-11.03474988806	3.4518620438884	-0.972815122133869	0.233731356247763	2.90172062861881	-3.29482684333154	-6.01592739892279	4.4794653396226	-14.7179230058573	18.7329246439433	5.97919105773497	-3.3311195776377	-4.22916798758737	12.8283320353383	13.8966873962862	0.877143572817379	-3.45653364815746	8.98394228057954	-0.251735936350053	-11.5599268568792	2.00273990594544	7.86400925358495	3.91974266862122	4.95124565070762	-14.2809675744685	-2.37170168959103	12.1461852820185
"g3"	-11.9119520605516	-1.43162016385413	-5.08046932467778	-0.945712917955285	-2.52866801023152	10.5275418448821	-5.63027319182252	-11.0778602040214	-10.6996047198675	9.63948352295857	-0.677630905660517	4.12433593247257	4.31011989000036	-0.228020800604362	-4.78062906936456	-9.46699719510672	3.88321719600814	-3.69922783540506	-12.4384237199257	5.05289714933246	9.31867351469022	7.69112197205026	-29.9482860483701	0.220244185339302	7.1620731638651	-5.69737101946513	-14.0766282717123	13.7239404958937	0.0599697222733397	4.01837879578253	-1.33603603837728	16.4001425269065	9.1316474570697	3.23071126874048	-1.52428681247056	6.03853878705565	-23.7085297988874	-7.86524894395127	-11.7995925928093	-5.6025159884951	3.78546271857646	12.3059827153362
"g4"	10.2693960632715	9.75558637418654	20.4862502202472	1.80234612939111	-1.42050455382557	-2.175228806368	-2.40225391990158	-1.88540085739957	13.1860312039477	5.04944841831873	10.4265901087015	-2.39435188088468	-7.24147952564396	-13.071926882294	5.07356461251807	-7.02354680422487	10.8427983429292	2.32114964781557	5.66165578272255	-15.057000862751	-6.1060449204645	-9.90485134218118	11.1983799078247	4.08615410143691	-2.546161970227	0.55056369841708	-10.263839972256	-12.5348384296426	-6.05651926371285	9.51567023690363	5.38037010527732	8.63813768768082	-32.1496154758418	3.91507292255603	7.5589737969603	-13.2439614502721	9.3004644424543	14.7035430497733	-4.87588022114305	9.50384110742154	-1.18018869796064	0.505146389857385
"g5"	9.04799655971871	-9.50771326139107	-4.58397105536625	-3.00542522024163	-1.3818772601662	6.07986658136458	-4.81352802688884	-21.9251066189611	1.13961661440746	-4.49564835473352	1.81414012150792	9.61469266640738	6.19405164201362	8.55076919497908	6.4112815434478	11.5789203419072	2.05531796008482	-3.10424392284215	24.1318724831414	13.8711266950619	4.43511541478085	-16.2679803449378	-4.2570414133272	-5.68267867124673	-7.716660523753	6.93999977182828	-10.4925755180714	5.97384416651228	-4.4347731430074	-9.66942082858046	-11.8576949877114	-5.78033568230169	8.16587921201097	5.76124735511139	-10.7330251342185	-8.28297072107547	-3.745200813877	-1.00481546300564	20.7698500932258	14.0512022095393	3.32965895392758	0.590455974599919
"g6"	4.39700314038913	-21.3863304047504	3.73937686272692	-25.1180768867783	2.74571737567288	16.3717883043286	11.7055931819595	-15.6624131601583	0.293009372312606	-17.4549835472479	4.83848349823146	-28.3962881129674	-0.794955449664069	14.9415169341942	0.837815728789332	-10.6625260716925	-8.53607500544707	5.47498921436639	-12.5938822810199	-15.6200374027892	-13.1268344665225	3.43679144625483	-8.64336580061648	4.24867728964882	-0.0357437628045467	-1.75635473705612	-17.3111234723847	3.06468134322344	8.40916835452524	8.22508140220287	10.0638348419002	7.28239245163883	-1.67693514113286	-10.9145207679178	3.11767821298307	-34.0976533264537	1.91349944526757	-8.87223791254844	-15.2200714679624	-10.0792068071067	9.52656008083274	6.5962870903882
"g7"	8.02415878706525	9.32874189821503	-2.631184148488	-17.6975719466369	7.91319919011785	-9.8001297455486	3.75929188661592	-13.2839324437673	0.855977040562292	-16.1910882524767	1.87188780504197	-6.82004555444589	4.18285702787705	-11.9316077286215	13.0427458200773	-12.1128984183465	-7.58453195889417	-11.6481614295379	10.7912906834335	10.9530045814031	-0.877793158767731	-4.2946321523428	-7.58599290423967	0.584946760350284	6.54743208652354	8.15898269449688	-13.5315845129041	0.776127888787476	7.15698536283721	1.56642944024781	4.55372480454855	4.95797488889941	-5.56970562436965	-2.25345721069677	-0.7887563336998	6.65287111508799	3.00601841976322	-3.25026977238678	-9.1313859788245	3.72165224408794	-1.03591637792111	-3.27206344811823
"g8"	10.7278800019782	-9.0510141862874	-15.1116812317075	-10.6911167948276	-6.78582361937733	-7.38847557347693	-2.84198222869215	-2.41631496315733	-4.94379846483807	6.0780692733823	5.15648776627153	-6.74573478599363	-6.09715174532654	-21.0279667186745	11.1180443851815	-18.2813673262048	-1.07306104907864	12.9523667790805	18.9089176239198	-0.0747788904350085	-3.30032796914041	-10.041824516225	5.08639331885418	-7.20969237793339	1.93025346254545	5.17764271668533	9.3202403305786	5.28943517714274	1.66280098898049	-3.93452302817768	-3.52702189350308	2.67523084288787	6.73239852171334	-10.7942174329461	1.55535521072507	11.7632258953608	2.87054598018145	-12.869073828582	16.4270458046012	2.24613124194996	-2.90671577734318	17.4461584800954
"g9"	4.60689588522484	-5.96776936293338	-2.69989689266977	-4.32272459745582	-9.59061083295176	-16.7199010071109	-5.16781006564453	-5.08867963541671	15.7788709053627	1.01762628564403	8.18142839559633	3.29593353197194	3.10360971899072	5.39258911867996	2.08053171213618	-7.07855519475864	-12.7404141163278	4.37091786159857	-11.9188723014321	-0.67259892331308	15.8106312628437	-2.48037282783534	-4.55944747285123	1.74866650575661	-4.71008159178606	2.71874073815989	16.3448962709428	1.28238416165634	-12.8906766343745	8.66352772650619	-4.11074750123113	-14.590325903441	2.61794029376916	-8.31287307925125	12.7646343228095	-2.14777677074625	9.12512730667909	-8.22144237574827	-15.8113715915815	-5.47235379114191	5.72102673221365	1.89018654135506
"g10"	-10.4165284587791	-12.1641276924766	-2.18263036718285	8.94152880998791	-21.8188102140004	-4.8669619452698	-13.4738870237143	-0.312132747612931	-0.282409051164262	-10.1710828815377	-14.985709595966	6.19991178533682	-14.0163159049253	-4.30211306311629	4.09697139492208	12.5258155920472	2.63669314776599	-0.117205231424028	-2.96554478674375	14.2315896192519	11.3371105141167	3.26005483289686	-3.39072901908081	21.1398766290412	-3.7950585489959	4.11809936698341	-10.1262468917192	-13.738862360653	8.10894889535706	8.97683811097907	-5.18035926107069	-9.16815635208757	4.45144021621559	9.14834403719144	4.59077245827113	2.63777921669031	1.90413325458312	12.815020438222	4.61069132449992	15.3473327596997	-5.24144271139788	-9.54968258150493
