"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"
"g1"	-3.44043652746585	19.1284129677723	-5.05479400023773	-13.3322272474127	-15.1962601245493	-10.2189343944087	9.40808951830411	8.89904447591981	14.0924676144448	0.772040397115066	11.7241930341571	6.71152930768802	-10.1284290258744	9.38359594086705	-3.28414392863234	0.782576462318256	10.4008900893239	10.7341422349933	-0.376723589878076	4.95025633461173	-13.2404484199316	-3.79998957853532	7.34855739921734	2.50624360660375	-7.9051232394293	-10.3458674022302	11.2401807161819	-13.1047771655249	3.06869892199958	0.365326517559909	2.27208254700839	-1.81369049252591	-6.83539374370078	-5.53737272025387	-8.77487385742488	0.411221799888412	13.4915436886244	-7.27169690745694	11.5077899535191	-1.27644540330683	-5.64874191130191	4.84699723363578	-18.8151774431373	-8.63031817392612	-14.0003065040637	-5.00430640611887	-16.4792057405445	20.2000424777816	-6.83767812215868	-2.58870663935345	-6.88822296210688	-8.83338721795002	-11.0610656169388	-8.01579471375526	-17.47657942901	-4.68103799452264	25.0843697850195	4.12664929298716	-5.08686287968794	10.398072912872	-8.21600538905732	-12.4082260024182	-4.22857281988346	1.21472175809135
"g2"	10.156215548305	-17.1251675616012	-5.84558089279952	-8.37087312470088	7.96183764177346	-11.2975956952157	1.13198447803575	3.28168700724483	18.2037841736696	-11.4534048923422	13.3104549004734	-14.5165176681664	14.5690021763884	1.34970314353298	-5.26940664213763	10.0503385176731	-9.23520563722429	-15.1375720261766	18.5283596010784	12.6663272354891	-5.33508542897885	-7.24212333802468	21.8152023274146	-8.00968387986778	-0.54769896923438	-13.4679012721487	-4.97629718639721	1.828749566867	-22.4012520188906	14.1733447366182	-2.35619033433322	-7.01073136903049	6.07644173200596	6.03890735466493	-0.617459827852728	2.22109916052599	0.259049006738132	-9.25462203106412	13.0732513219908	-4.11371226305771	-17.4768876429563	18.1589474393969	-8.55260988167583	-0.925683673426994	12.7554319916857	16.824009948247	6.26053099732347	-0.142080653274563	-6.82701039239236	1.29612672970603	-5.23335892655193	4.44854751969986	0.953112918481915	-4.59598629632661	18.726418621649	-8.57007171867337	5.84170958023397	2.16121233994977	-4.7313080112005	4.13108546036358	-2.45218967917108	3.91441478674018	37.6311520150232	-1.06442502573708
"g3"	8.13683521373781	-7.23637166065318	0.165204576203415	1.88673442685355	3.40765071702689	-2.98255509798753	1.32061744632591	22.8433502569745	-7.85643112205919	-11.8068505487862	-8.49229442894634	13.1762011331983	-2.86699401904719	-15.0520744805907	-3.27400441986979	4.54403831857794	-3.45634171808366	11.4188481344577	-1.4555561583449	14.9921604425749	5.89509010119381	15.0971068311506	-0.349168533338151	-8.09137173696385	-8.52184434963488	9.68411590910869	-3.75210047506857	0.562437541180021	15.5241557366584	-5.90207998099063	4.29302557165238	1.30528661618873	1.31600308635559	-13.7028200435417	-10.3458610224421	-6.01859030574417	-2.72212772249476	-1.71274638160713	-3.35357389058436	0.871106320718926	3.11464357293698	22.5847957857735	15.2522361565971	7.97550702756521	13.1021669649652	2.06275500883565	3.63450845404833	1.37772735675103	27.0690385405851	2.36628316397875	-0.373270716165188	7.73432237130516	-6.94575965338922	16.5821446846496	-1.53872400070797	-2.23394048134249	-1.96783633007393	-13.888380156692	-1.20995317399989	-9.3277200394145	-8.72041256599447	-1.17079435341076	-3.07009344299784	13.306980914782
"g4"	-6.30236135497048	3.50316833140903	7.14839917624024	0.0480680834273625	-9.63440753648178	-2.49320724434044	1.3535544863809	3.65142228948663	-3.01565339659829	-11.0329237336162	-9.19412489494259	4.20299592583612	5.10878328312544	0.553045643597623	-2.4649250981672	-0.699170975436018	18.1048582616953	-7.21217986191579	-6.08128063112133	-1.3762059048282	-14.8292080998388	-3.68665325875687	15.3529886906246	-10.033323748709	-9.00726036939824	5.2990316267716	-7.16387061002272	-11.7428903091765	-4.72578002100502	-29.3852083100766	1.6619411015787	6.00945663333365	1.48233203094656	-23.3203937678428	-1.03862558374138	-5.65430131722747	-17.223228429855	9.97330033550687	-3.6167371721949	-6.63453406629326	17.2628649770649	21.9064566040231	-4.23785536571864	1.70563745725283	15.485527547788	-9.13138820848427	2.8643955998935	2.10733532159969	6.53079327588029	-12.1790511417897	2.41135029515533	-6.04585062208633	-18.5597522601611	0.0337785984571301	2.01099612522751	15.1788408034841	-5.83559773155416	-22.5476893337702	-7.64141054804177	-8.63835578941051	-5.70050522562467	-14.6264500990745	-6.27231638509231	-5.23146149008027
"g5"	-14.4569377100745	7.30372761840585	-6.391694786972	-5.96788854659481	-3.22872459392232	-11.38850945271	-5.54848458547382	2.13170602974091	3.14315475026895	-8.15545402526153	14.7505577187352	11.9612063199031	-11.3661327924931	3.23700005922598	16.9647297229412	0.815902272082203	-9.81680934207578	10.6742777016709	12.2679579305431	-3.75407287720969	3.21123971962316	-10.4706492770845	10.7035137369155	-3.35248003207658	-6.14689086750376	11.9943356009936	-3.5745477502551	-7.35713252700776	-5.43809724116933	0.0998567857636448	-7.38366780262591	5.49226436838312	-0.00989326826589592	1.26255477247658	-9.26867720931486	-15.6922812154729	2.50231030041559	-4.48611429354642	-1.48516539821272	-2.99802299569949	-3.74958485929358	-3.23645512084103	-5.61157561486237	14.8263647955423	6.09311691688041	-2.82252573084784	1.41007628290078	-0.955887695836139	6.19076423329591	4.28395671852569	2.4790398209688	-4.5417093584647	0.677312532593952	-14.5263871940798	-6.00215258359061	5.18235929354836	-6.29053922519256	6.17865549644554	3.67853911240221	11.7676109141281	-13.0339045767041	14.5404693300516	6.88140810025719	-8.08387413280083
"g6"	-1.03691125384949	4.7769221545218	4.12163337459167	10.5808277362848	7.04979319102343	-8.71819875115827	11.8584852228086	19.4901865951055	-2.87451993043062	5.06680421553509	-9.95625507252906	0.947610837414693	13.0916652630167	-1.92787252459356	-5.14638677527253	-12.016112069552	1.39888394784048	-2.70599942401309	-6.33800354698958	13.4959115860533	19.6497894361373	-4.46777388074475	-1.77814126317073	11.7303043118854	-21.4430319798282	0.638141019057459	-2.66721154235411	-14.8908655168647	-4.33411723270738	-11.8651090263291	21.8512106186285	-1.61069373013601	10.5924875652724	2.82789733164374	7.75254383879648	11.591975813611	16.9916790806102	13.0897400431949	-3.63148389822844	5.71265198620791	13.4810854283716	-11.8404620705218	5.19979117640196	1.7970854009882	9.50035454762185	0.402116016076416	-20.8577708210353	-3.2503464557812	2.14510243130596	18.0067205954321	-0.343213702864979	14.1549645226953	-22.5245394294307	-1.16526688865535	5.5363905517854	2.40619733091601	0.885642887350976	-11.4069041853772	-2.51026064802163	-0.551992351969413	-15.4659322177144	-1.87988074688765	8.78370767226616	1.90960099585625
"g7"	6.93518845738869	10.2903577081046	6.56803308493573	-14.858488703471	6.05491727826569	6.31116000531858	-8.08015143521552	-4.82424303797417	-1.93496117219642	0.334171772465197	15.4444216247682	1.31227003518399	-19.9463919214105	1.65782093626951	-1.80961128945782	7.34635161589982	-1.89534583137208	6.25368063612824	-14.8175056389481	1.24496841727314	4.93260819039523	-11.5916947141353	4.37177129401397	-1.41933455763236	-8.24633072554451	-0.21466117812166	-2.66790553751491	4.9054582591656	6.84157099888253	2.04834676622986	23.1446538542568	9.19965863412473	7.06971841913495	-6.4527197362789	5.12912715972107	-3.51465885354711	2.63016646095896	-7.18941206239579	-2.73212304690546	4.66474114007131	-12.6783123523445	17.3536228166426	-3.93043178210137	-6.4249093983445	-24.6328374877413	11.882015123895	-6.68872388287557	7.52617205377855	-1.67697485734427	2.64545837726767	0.146582797193027	-2.56695496640645	8.39869408291906	-4.93397709321092	-2.87129751409143	-0.333987743429152	11.7801307375949	-10.9021682739224	8.57017423506147	10.7790480588804	11.3370204075176	-7.92783156264617	-2.73220878246298	9.31549095288193
"g8"	6.51057879988519	9.59937261404352	-9.61691541520576	1.14810913765915	12.2853030051906	-17.7550335736275	17.6013205621867	-0.643810608458775	10.4534516505536	-0.783303644881635	0.50027792619096	7.6320824515591	-12.4675175481328	-7.9562440212474	4.24842316902392	16.5464981052836	12.1203768862871	16.7485197144905	3.94597970489869	9.97400340516561	2.40958466094077	0.574504734190384	10.6975439395278	-12.895490299412	3.34395479285743	-0.722510548545982	10.4616867775754	-4.30094375357327	5.80190149980759	9.33810849306121	-9.54314013901424	-10.0073548848803	9.67924928113253	-18.8064915556567	-3.82664909330835	-11.7286315563871	0.124534845787015	7.08813389985052	-6.15512449268342	10.4405504991211	-9.63545417819913	9.72391258800434	-3.8550620358816	-1.24194561891837	16.1240777271795	-18.1600002248663	-3.69826771915823	20.1225035445662	4.34692473383701	4.17354439982084	-6.94763242051944	-8.02118575178376	9.43215346137521	11.0894099899273	-5.35297651153531	-7.06304086028789	9.0210819697905	-2.29732373768155	7.01341508583272	4.60003763363705	-23.8209372914334	10.1464193006535	3.60466528917875	-6.82163569524145
"g9"	6.61096730173149	11.5773932777102	0.281460809293951	-6.69374060489762	-0.173490087668824	2.0389850446022	9.99116223081614	16.1193670342438	-1.40186037726377	2.09026815577453	8.67829122090929	6.26783525747282	22.2563185713318	1.99929433066873	-3.37130510073494	-4.3644036329263	-13.3687231682871	21.7986605020707	3.50317295488307	14.1792446275357	4.54182080264193	-0.230930960300532	9.81040514463898	10.3183640214477	-7.80459618298484	7.36371613591315	7.45950214051711	-2.65357067400221	3.80369263772059	-11.60509165263	-0.792850894559425	10.5882975022593	4.02675674660807	8.01289423049971	-3.16667550011186	-0.904814190275499	-27.2976247273226	1.25604013613193	-13.179838954391	-3.77067262942153	-0.616877983154348	-17.4310983902622	-1.37112915383271	-0.915582351224158	0.211447341695024	0.975603565097252	4.42466319684213	16.455514877298	-1.4528913640314	-4.83502412695761	-13.1739627255872	11.7609853355649	2.60126240147094	1.76775794714854	-1.91387987218752	-8.59855414754604	-0.760715772674129	5.21918776479876	5.84749901260666	-2.63493744437299	0.181938175358861	-9.9414146345814	3.84399033134946	-2.3018752660804
"g10"	2.6345060453191	-3.1170944161683	-17.8157305992473	0.683451976693698	8.01101859050141	3.19018898123385	-11.0009276219971	11.544143759754	-0.084289993635201	0.483083541420498	-0.674333398821823	7.79827250712522	5.71924583878908	7.91157273238757	-5.20351952657927	10.2452170772676	-1.29921367262935	4.20831666902619	1.19393799106332	-8.72834354430004	-9.24311245998314	9.7740984211372	-5.44017970232245	-3.34508232141736	-7.6598639980235	2.32561194099012	-0.372874476284381	-26.0572445324784	0.884391309700277	2.67895041062646	-10.5528980284772	8.50561924237561	21.6572887932185	-0.659141442065494	13.8432259546862	-8.00453694189198	-5.14601043936752	-6.89997561101168	-4.15085728117676	-16.7316229362336	2.18634088439812	-5.14454326860215	2.32135759931551	-15.1662885669956	0.510306125881251	-20.4345322027251	-5.87469272896887	-0.552574829339185	0.0974923954060831	-2.06217385896673	1.72992905277519	-14.5866739105624	-6.44416170274333	3.8651980238978	5.8013210098513	-8.6550325458335	-27.3006864044502	-3.72587674836538	-8.04671239129489	-19.5912371088368	-12.1959125302523	-1.63221843394087	-8.87002365042945	-0.809718937819017
