"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"
"g1"	23.3625384497432	-8.784672852504	9.31986718813014	15.4841343577065	-20.8641130831981	-4.8273491295116	-0.189261132826737	-1.260976520671	5.09959747740391	-20.007901867201	13.3944023957776	13.9658259356831	-1.92651950673629	9.91779863613743	4.92164995818357	9.55747757047874	-4.65758047414647	13.9851153051357	10.7348611411992	3.19425506526587	4.87795202984955	1.43875508442675	-6.85054390118415	-5.8063186887977	14.6912788978004	-10.0760226400788	-10.5978047111814	-0.793635581546673	11.6400508672839	-8.43351440333435	0.155582203664055	1.72431863470102	-13.379650594897	-6.9607739222001	7.88053821624758	10.3290402766844
"g2"	17.7778317957442	11.9152753159879	-4.51419165974056	-4.61646144786915	5.74009021922105	6.44658099386475	-5.99353871344632	-5.86300568015731	-1.90621335869501	2.72380085407236	-8.48918108687894	7.61886911622168	-7.55625585012304	-2.88166317489777	-2.97755237420631	-6.64095817157044	9.76024672953545	12.5287077060656	-3.46598991543822	5.72463154666073	-1.16568938621178	7.84607878614341	0.346600336732799	-12.8124616846454	-6.18493875845143	-3.50110534696552	-7.44767888979209	15.3981283926205	11.8550902535811	-10.9262016621941	6.13029380787392	-16.1421472457814	-5.87274806773992	19.814628295687	19.8006694923584	1.36103758712759
"g3"	0.700267865584335	-0.37832608253578	13.6943064785671	1.18887841552702	-11.7226676083956	5.39572465585689	17.6266384395917	-0.439427555534812	-3.76407497940314	-1.77690074961248	-4.83361688607891	-2.49787468796948	10.5133940077543	-3.9219713565192	0.531325247141416	12.8364835023157	8.69184220403501	1.16825498422209	-14.3987466228643	-8.87150550417606	-3.66514741502206	-6.45735863206025	-1.28440690473443	1.3438956472301	16.3028573193985	-4.07077449237581	8.94343444356014	6.77691942941794	7.90233062384205	-6.8578607165704	1.07503350856798	-14.6625383031405	7.77186191562948	-5.69414329421116	-2.49680354240623	-13.2427160349684
"g4"	3.28931607472602	3.23272644813564	0.503683821057661	12.1043629156932	-22.0599978771435	10.6225778597639	-4.26446209811774	7.63274983553394	12.6190486936432	3.70766696440929	-22.6527846881558	12.4406940370648	-3.43441520342792	-8.62246067124095	-9.05023135772683	-17.0857213637694	1.97471495326275	-0.978015380173609	5.76356996752627	-15.6352555759259	-2.95343673605913	5.52309103514783	10.432056716863	-11.5516199005706	6.03013958990857	0.123715238434527	5.53135750882127	2.75342457807186	-4.27126911758316	-5.80619142590791	8.37489679030615	-6.80263836423934	2.79865492443587	-9.39808760239024	-0.531943698671998	4.16625305002038
"g5"	-26.2157365552513	-8.26005431599946	1.70304441264262	-1.99028069573638	-7.90651300269457	-11.8652326345145	0.357000456810001	-13.8951196265229	-4.18947625094624	-18.8057265808354	-9.05246145351217	16.4614145790032	-14.230969112225	10.3118941410522	6.45066631315378	4.56855075504048	11.5402082408491	1.75958448412941	-2.84133501100525	-5.48173535686036	3.44744903754758	6.5795812037427	-2.72211261530242	-4.4706339081568	1.85123417888084	9.0730573248789	-4.29165270134969	1.40008280165562	-29.3828332764426	7.55828389495414	5.73008628038078	16.3766975215843	-0.18629235599788	19.957594929069	-5.51516627453113	-4.30856518833964
"g6"	4.63513745347729	1.77892567155947	11.3115539603258	4.70772575659185	12.6230713754959	-1.97011391751454	7.56747094500049	-13.7906207358319	0.968966455843909	-11.2731355798197	-3.99078126739482	5.49601165104226	0.914101696703235	-11.3235195645768	-12.7461217623233	10.596068081836	9.41105749076495	4.66042667916669	-0.215983343503665	-0.302323439691428	-2.09909717292773	8.16583712345596	-6.55846813383911	-3.48068572730498	-12.1751139711433	18.6302018977864	-7.7692595343114	-7.41395110543856	1.01752117584334	-2.85025897250725	4.1235972409729	-6.00851348382964	6.95338717148882	-2.08382728703614	-15.5658840333864	-3.36225760494105
"g7"	6.83939693737698	-0.895809977629505	2.17032067059664	9.66542214500604	-1.23083759385452	9.26888599718007	-3.75082751704452	1.48408696194983	-2.07213316652305	-1.15158979592777	-14.9323191642531	-5.42500350202447	10.3827683984679	11.7092987629294	-0.294495161520459	-1.55156792905967	-1.04323310172909	-24.591560806891	-8.92172031498131	23.3917907236309	2.03649653289546	-1.06296448957317	-0.981608820204069	-6.47485907558366	-3.87070939837341	14.0932350624691	-7.37935510381331	1.70150459715947	-10.0676156451878	6.60590688417601	-6.71658760637396	1.73232451982061	-1.63392089341147	2.59864710574621	0.372576186602119	2.03792890351176
"g8"	-2.10434198231168	-14.8614611734888	-8.74202308068773	-13.0128847205432	0.11972343862114	-9.62761616466588	-6.87615302823215	10.3359486700067	-11.6460867809036	-12.7731457202771	-6.41107641544911	2.5681887135408	10.6789197736881	2.53849597683382	0.676065548690083	11.8685174511811	-1.15194401247406	2.74256864707274	-4.09214662179854	-4.6875087853658	7.50474114526039	12.3748102494725	19.38859591033	-15.5855854061064	3.8242405053956	-15.4573886306886	-13.3884326461319	-2.24295498053819	-8.6870098286547	-6.53659637063164	-10.9526404869062	1.98653713460228	14.9330932700877	-9.85224517004355	4.71127458788034	-8.62017167164814
"g9"	-6.71490029950583	2.85980813119982	-18.8945878409546	-8.70527618777888	16.1368906119944	-12.2845012284211	0.185738251028603	5.44738501969848	4.26488461807046	-4.22920186216826	-32.9463810054509	-0.709935752884716	14.455152762754	3.94068944969708	-18.2235960075323	5.34950487413224	10.9217433874305	-3.84965385015925	-4.2959014775191	2.0581158519622	-6.93860834741271	1.76960279221646	11.779303856378	4.54994923726744	6.76296255441025	-4.63841517121369	-4.90901414590636	-0.616885556473257	-14.9584781127281	-5.67504836886663	-19.0667494494111	8.45919719500963	-2.4236082526063	5.46540662685774	-5.52783166016259	-0.525374184021632
"g10"	10.5651320824372	11.4934533650273	23.7870625670692	-5.45041868617284	0.75293120306356	1.90292925325261	-6.45798300694054	-0.767524377959023	-15.1872191629381	-3.63455309828315	13.4119987639626	2.83169438882742	1.23675315777666	-8.46409550576348	-12.9140049705372	5.57531927185425	17.8976642596362	0.227805163587576	14.0443655486386	-0.781593553238604	9.71192989578829	-4.39480078186841	0.93265453824024	17.5265449103636	-11.0902862275826	-6.64765413559768	-4.25649779744749	21.8837685149945	3.83136800781899	-5.19496113503365	7.74419081634567	-16.5932251634582	-2.94580086574572	-6.80599564897743	-12.6175740562376	2.09492393486399
