"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"
"g1"	16.1038372387302	10.6068850471094	-2.77724296753147	2.87824708152967	2.29261191980342	9.3398965006863	7.38670487601541	8.04469063280706	5.91540090230535	-1.81409312982134	0.996619985613786	-2.0242500453149	5.54790384394125	0.635622183344747	2.32848253436249	-3.92093683487402	10.4084630857347	10.4693116274885	12.2670881407582	3.38410663891722	0.0118658571472464	-5.79774025780493	-7.28045690763934	-1.88394335009969	-6.83226741866788	-0.509364190152371	-6.26568495614317	-16.0910096511757	18.3847629579507	-9.34612884360828	3.63984218180001	5.46898379315046	7.9864403245349	8.73427931398558	-7.53410851364443	-11.3031588366784	9.99567548667173	1.95561830660236	-2.69769294617646	-0.273525953436752
"g2"	11.2168405427271	7.76343587859177	-6.26167262870796	-11.0512083422555	9.04203971581918	-1.90500752857567	-13.213209104412	6.66985859205129	9.51482883950364	-6.05334403909723	3.61443302417652	3.5831483518299	6.58163718582188	6.13068366530823	8.02829140866136	6.40493361216706	8.78152378746782	4.12249595831772	-11.6314252061326	-4.22382289080954	4.1813198950155	-11.5038343658285	-17.2941260400995	9.96342294780136	-0.409259838676198	-1.42942287122468	-9.5866509045935	3.82736376577168	-8.46595139492171	-5.30333931602297	0.117183520745452	4.82710971981808	-3.46466545687633	-5.29654534921747	2.07223418454474	-2.35851598084791	-2.47037648660998	-7.28600937448069	16.5301304960123	21.3645170720528
"g3"	6.21754799894638	-4.95287117149104	3.57908221392046	0.284935170960064	-7.53681454323657	-13.0224342484571	-7.27355009884421	-6.73156287146123	18.950234581903	-1.28500445799794	21.3845629166292	-12.2202072468536	-1.57693803001571	-15.4894106062753	-9.8308497237694	4.6099278558865	2.50849887213783	-1.0011851384513	20.2343200524252	10.2684301414905	2.50243682436483	6.64613578924045	3.9315077844283	-4.27538969768324	-6.07926347531409	-14.3356265946768	11.9437037478424	13.8826562674179	3.87904203205286	-5.27104272199497	-6.87986081320038	-6.03042951280917	6.88409673887333	-0.302079277311267	-11.9383702519555	-5.79168862111736	-1.525655476168	13.9795216514165	2.03803470795238	5.179420307578
"g4"	-4.71477440352078	19.6170022749174	4.87885121139182	-7.27162151195594	4.41985321438746	4.71647299144475	-15.7566141597848	-4.98523686461848	-16.2503152951293	-9.54986344989785	-15.7340020738473	-8.08086545005378	11.765999663584	-1.31479101894503	9.83633381576962	-2.31650184216369	-5.4482177043103	-14.9078314097036	0.0733266462421496	-3.90780448395399	8.5823501889573	9.17289203537467	-4.14043577783215	-6.68965678990883	0.00752093672834979	0.0192086589114971	-0.780366552080004	-3.73253957222636	14.6678852793716	-0.0247766953650687	-7.33495365841972	-14.8390478541516	-21.5901052692955	8.04083282162589	-9.16157587924867	-0.719449381082329	-6.59702668901831	-3.39900717496868	-0.732741835428964	11.4825257134668
"g5"	-8.05642367137466	9.09478252491509	10.5622595001432	14.8819182868307	16.740312217921	-14.850336684214	2.45812873886808	-13.9066818244483	10.94262724271	15.6895569038599	-0.627892828575005	-5.76541645728769	2.94066014935742	-13.7193034619755	3.208947539926	-5.77381653966435	-14.618364244218	8.08721599166494	-4.82781891863944	-5.35904566437711	2.50797051028184	11.0433398200621	-7.91392977278461	-1.06277440648821	5.85713188103158	0.697959236579486	9.96398685612768	-4.41246968732938	11.8584800325702	20.7163035271262	10.2906948108808	-13.2449166812334	26.0145634612341	-9.30225746495406	0.996285568234374	-9.39554121743879	0.775433804087504	10.8248335019141	12.1439115407469	-7.87351730222046
"g6"	13.99133892811	-15.753311105787	12.2472650497852	20.2956632551728	-2.40958231970664	-6.44338867887636	10.8987490588827	-13.3346898629199	-8.8485467005285	2.5911245265285	-0.0700897587876719	7.1853511895135	2.07258633079957	21.3590309966362	7.5957657955959	8.47061021699183	5.64375250888107	2.86298579492212	5.01585009688766	5.0711829643596	-11.3424174752641	5.97776776906009	0.115727013857903	-13.6019558521449	12.7301723660868	-6.82989619201343	0.203829514984851	-1.94297400520751	11.3458125804249	1.42287592690256	14.2628589615294	-0.847469499506767	-17.4135139556389	16.4695181075131	1.14792644087521	1.27388854247681	-4.36010056573073	-11.6458459263114	-13.5584400902033	-1.63720145029822
"g7"	-5.79911422816752	5.32391672107441	8.74719887606908	-3.32043195240351	5.41874866509619	20.8121768213438	1.9851773613248	-15.4727630013929	-23.9454631941412	4.79024461336486	15.5326452914906	-4.6731014052567	11.9364415045856	-8.39106367429182	-10.6405953060927	-12.0066301879249	-1.41419939876102	14.9910598908226	-13.5331501664509	7.67838117748627	13.4489509533791	-0.117087591502751	6.96231998081708	12.2123901537889	-3.5317761503913	-20.7512297047451	-24.1691410203835	-0.634883618955374	6.70535757524178	8.42325773860915	4.37873159980837	-6.09850201872818	3.91886334631431	-4.65911034127141	-9.28396009881096	1.33155115421722	-10.2325498141592	4.46394302618839	-5.92246599519369	-2.22314163561309
"g8"	-5.7604981551668	-13.6089932790144	15.5371238784512	-1.19933690757191	20.5985635337678	-9.73105897856419	12.7539259671435	7.17612225680536	2.07273276494961	5.41207490393065	-6.15957287066355	-20.084948715256	-2.65581502802723	6.96016981538342	-16.7636080909018	-22.871623047786	-16.5003187478443	19.3338122564442	3.73158601445953	-8.88803910334023	6.5307947957006	4.11288072271191	-0.604230920732592	2.17111788503856	4.92022959871067	6.43562418666474	-16.3790120489349	5.38475218160653	16.3958022476482	-15.9959745868697	-0.187381831377391	19.2192940339878	8.12849857306422	4.11275157029263	27.3534687035447	-9.9815491513534	-21.0301064750931	12.3563129834829	4.50895707437403	18.4051587871597
"g9"	-4.12205565084456	-5.68053201407999	7.35810438086399	11.3542806337199	2.81594279816571	-7.48299379494656	-4.76511002548905	-15.9760364530925	1.17573455189981	-1.81136616514711	-1.94565526981117	16.1639807425693	15.182551531607	-19.0639141542379	-0.0428897103212805	2.00227295625067	-7.31442951333407	-0.58247478051913	-5.74237880414777	-2.88677205902299	-10.5829019265009	5.99546150327724	2.19098417501108	-3.43500422002433	-25.6296060296622	-7.05185290020997	1.17695373436727	-5.30345202050679	-11.4712971997366	-9.33717020749346	8.53433092714219	7.84774008083252	-3.30121461604087	-18.3839392703116	-14.9388082975007	12.7303581031873	15.0874779639983	-3.50480886750588	-5.25644376341221	1.25934104872868
"g10"	4.62865085195019	-11.3605873429562	-5.11020270544435	-7.05629870731281	-5.31152988436371	7.30870508180284	11.1156903506482	-12.2810783385906	2.41072986509227	2.70243144010208	1.11728763932655	1.10965919589873	-2.02520616271856	17.2865228450442	11.6964198586803	10.87627540991	-8.33863248208705	-14.7583324861194	-5.71651151697525	-12.4940187668026	10.9977282629482	5.92443739311106	-21.6004274633684	18.7218978177069	-12.4863351025483	6.04936780696498	19.2554905990646	12.235380829233	-3.59555326835247	-1.90079353550856	4.61805053176674	3.21741114020249	16.5724351394558	-0.786727285468691	-1.57038629375364	1.18605858395161	-2.55036266671697	4.46477382897715	3.64145631581229	-1.10227147455802
