"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"
"g1"	6.50311831863211	20.0215335431741	-5.83177794202405	5.66435538054344	9.14498390121461	-8.52643976230041	-5.654807506087	3.91842609603269	6.01384871714052	1.52200791172184	-8.40401380294565	-0.179274452275852	11.7258945298738	2.04724837648987	-2.65460870332429	4.6985697889793	4.52866244270724	-10.9699539728026	2.04882008371347	7.21005474147921	0.233242594689083	5.26912506096037	7.04451667601542	4.3471371369781	-2.19809125977438	4.36606904480911	1.3199019319188	7.40124320518981	10.2017829371803	-21.6199074921703	-2.97064205895818	-10.6713001599485	-25.9573591028526	-4.76580164253151	10.1916124723518	-1.05652749897049	10.3606863727941	18.4008700375557	9.46913413254506	-5.15657910451074	11.152800907497	5.20453048469056	13.3941159617463	2.18536603223028	4.02848976521281	9.08715022190872	10.1831255940127	-1.62064101923051
"g2"	8.01452674819484	-0.28828075604188	6.18227773245509	2.68866656678893	-2.0192061552659	0.305568008543901	-8.93714389815821	-1.67837322013482	-0.869659888506026	-12.7286931214603	7.06098633812582	-11.7871621339155	14.8769918099993	5.62014519694979	-5.27464427651559	-12.9144295465754	-7.07905702229091	-0.358058832049792	13.4179132053784	8.60346908256571	8.79817127909423	-5.66558582611237	-8.15637732530081	4.98930665972942	-16.6647865009387	9.6353597841955	21.5818479534595	0.560654115036992	10.0852469230472	2.39422792845873	-3.81985601226177	-2.45199550851627	11.5809901079617	7.23163864140272	13.8292108909899	8.45974867779978	20.518010864139	7.48508539235455	9.43656260542308	2.21724484545887	13.7076735188792	-0.838294366667138	-8.13495898202261	3.92611524580912	4.30600045645382	5.37474765833832	12.2059680202789	8.33784082248985
"g3"	6.87017019108781	-19.331429583549	16.9308416247019	13.3462697835336	-0.543421326439036	7.53456489241604	-6.75987432959891	-7.0431723212291	2.72763216288237	-1.67936974945829	-14.9516569764625	8.82579763516301	10.7003567718198	12.5435513786369	0.154269761964003	-7.68919718633366	-4.34002576950928	-18.0252008847835	-20.1113822436336	-3.24279412626363	15.3810292879087	-1.59173800974759	-0.595730701590036	-11.0308000730161	3.99829952967925	15.5686776481518	-8.28179552800498	0.696816288376025	-10.7990887764687	1.16745745910443	-6.69855539185533	6.7116739318586	0.997295985009712	-16.3254995831264	-12.6326525355933	4.80389447792351	-3.19685646239405	3.97506327209547	9.35171416440654	4.31103761988783	-1.60446041050813	4.08571858482187	2.45653146952098	4.59518149866465	2.58305909267961	-0.676984862907964	-6.91782582612814	2.62603113653811
"g4"	-5.73532154800737	-4.64381931344277	-5.57091049107873	6.14296727573457	3.33994343815309	-2.01778039593173	-12.886853064682	3.2806547748656	1.73529633815796	2.40635155217191	-14.2609964132069	-2.42817486475083	7.3166038636758	9.1260965911253	0.0139777061398707	6.51290294064955	2.45524376316684	-1.16041809595983	1.50445840922477	19.0161564957451	10.815335341228	0.11389802752331	4.22749751798132	-9.88107734682099	-13.2041205129952	-5.23896465313519	4.05324912523834	-17.0210414749235	-8.93288653408595	25.7519593988636	13.3110756168296	1.96056709668911	7.25394072789426	6.28031484867925	16.2280431712997	4.31282259207083	-12.3500003180519	2.62575401893536	1.8015212414316	13.0978481740389	-7.8044527605616	-1.74745741968662	-2.25162688124606	-10.8989612880772	15.1127130635839	16.073383641858	8.97036385290344	16.4761116744798
"g5"	3.56187095738224	-5.47730077794651	0.999856812809041	-6.04743684366484	-9.87104908599952	2.51489955056711	-11.2257126450569	5.70702182113082	14.6693169697619	-4.33957149323612	4.29127108059098	-10.1291830280393	1.77515581641641	-5.07830524718392	13.3638979363813	-4.15408501501428	-3.81780119551966	-0.546062817948711	-4.72949535990613	-10.6372191583381	-15.9837384819209	9.54678490807279	16.1371479552428	2.36548084784668	-3.07067718875811	-6.84253573407015	-10.4338984588932	-12.243385188908	6.74482391840926	-1.47485183198496	2.35853030580258	8.13194901864881	0.673490351700852	16.0638780984416	-2.60076529237755	-16.6726075092299	4.50268064626312	-13.6551447669898	15.1892993269331	12.433332903224	2.474522098669	0.502672583674105	-16.6933355609372	3.99474552035252	8.21861663591218	-10.1631615773511	-8.57470156149646	-0.907065956518883
"g6"	-3.73855012312101	-4.03734209761666	15.7148941287486	1.28056484058559	7.47187566005861	-8.36024331632436	-5.82525700969723	-9.98357541374535	15.4148090317217	6.61839725595119	-1.56275757775077	3.14169150110007	10.0134928082595	-8.94812798101101	0.22654140274294	-5.98615018283112	-12.7761565795911	3.89694717783474	-6.23730894687852	-1.73910567021093	-5.3598213085151	13.0382621917223	0.599872037910817	-3.56877097824707	3.81745730238816	12.1621228025788	10.8938454772674	-1.62989436196451	-8.99230985460561	1.94210341794581	-6.7975314201909	1.58814376893231	1.94267912704848	-4.57311659002018	-4.37615542110814	6.84740519713418	-1.39072306733164	-0.831135031509423	-0.166593401736332	-23.298406300805	11.3206840721634	-16.0514166671959	9.87895283711699	8.46699428574192	7.79993106970882	5.13381976190611	-9.08891787983574	2.93131978921607
"g7"	9.31360942803891	6.41058754491315	2.9277641044906	-0.510376400398926	5.3759887893754	4.30071258031534	-13.7475672492701	5.91946070739298	2.97459065647856	-11.2057476696165	-15.410211745897	14.9636386869613	1.30815202617243	11.0893813803346	-11.5723816295563	3.88599784528817	0.675051031864609	-4.27330120793116	10.2177707561739	0.244265577423537	11.5991185421915	-3.76910252976154	8.41050795068511	-5.25466377944176	12.2036349126121	9.86867491388615	-6.72569472393744	-10.5014747165479	8.72145091911205	-6.05267893479491	21.0955051006229	-0.334370830272682	-3.28171348623626	-0.176205730858898	7.33339378225781	-12.2940020227329	-4.89217894919922	-2.40193036109957	-4.50971054035424	0.787223494302203	-27.6414643366542	-18.1099975048705	-13.9407635613349	0.109443571692343	-14.1848294384908	8.55871867285345	9.76324674210085	-17.3064500467249
"g8"	-4.15376033236473	11.3948593816124	5.35150201373499	-3.23845179872836	2.34903513337697	-15.8583403964058	-11.2953466666599	-7.50117281650781	4.24353248377055	-4.06038828244258	10.8820196051029	-5.11683717675195	-14.2666542169166	9.87530642460273	-1.40616372245137	10.3808060520537	-0.242618109333632	7.9846088258581	-1.91578973417937	9.72120900818839	5.0490190046828	-20.3837670347667	8.72893746530286	3.48359104044048	-11.1812804229489	-9.53180841557741	-11.2109868214553	-2.27123936555454	-10.0583378997805	-3.51758747511319	28.6546006022194	0.319269353731796	-8.42534447514188	-8.5684611196456	17.0622665558759	7.71177400472509	-4.78309455024723	13.671744009007	6.26050398809366	-14.3225141225459	-9.89926929030218	3.83333934213723	3.46702707675597	24.9620723021022	-7.7529417392725	6.27043256900258	12.9821666112723	-8.40599662891823
"g9"	0.851784151491027	-14.2313307750623	-4.11699167786477	13.2579899121063	6.6637986064452	1.64582429554511	-0.662816998280265	4.84453217281139	4.81691407889622	7.28530329400437	-4.89236110211861	-14.4002707598629	21.5020916185603	1.47129282275701	15.0569110421294	-6.13804228820568	-7.96923675318956	10.4195564285293	6.07876187373566	0.185960776201789	9.19847772976973	-3.67437084236448	2.0594636708611	11.5562273795531	-0.0186930576915694	-9.399239610022	-15.6111138983656	5.91618696171769	12.1829863629993	3.00198394508078	8.08453322321138	-1.4250986504433	-0.948288463640047	1.7722810219606	-9.96179101224306	-0.441539202257943	-9.74935660348123	-8.56445915020132	-0.860755593563938	7.00776186334937	-7.29330831062632	8.8220473386266	8.83871663933493	2.02661873231035	-5.83038147016523	5.50646412274301	-32.4507383994091	-10.8885018825905
"g10"	2.90728670543945	4.32011596497984	8.24809467026132	-10.2414792732914	-6.8949077197508	-12.9661099264762	-24.6069759144898	-8.91337036499239	16.0522630743899	-10.9473538997114	-1.83406512311922	3.68219309671297	3.36756264710755	12.1101348891968	13.6661448462524	20.5594262990926	-0.46219187692243	-16.1173707137107	-1.31689653778783	14.9426199773127	1.52610974269732	-5.82339696192428	-4.69117895899571	-8.23860668742406	3.58175575318082	-13.287573434788	8.68870656127756	-1.46049507679539	5.89345894416323	0.361900827945044	-2.64775404500423	-15.4550723344188	7.39602842374792	1.23788432922438	8.67998548450846	11.0921381309327	0.77238066076387	3.21256969525809	7.29262828478208	-6.12391533517254	-31.8830234091997	-11.747410930825	-3.5853037169197	-2.53259236774395	-5.03307256836449	7.28049416369424	7.5615527502836	-5.36101286237977
