"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"
"g1"	-4.59549774649628	-22.3427268501093	-15.8632355808057	6.62923747626266	1.30185380245317	-0.964124784751411	-6.25648489386422	12.0178456686981	-5.46879896110332	-15.1100594200006	16.1410222154842	9.609720506797	10.6059309603751	-9.91006567647495	-31.059437571043	-3.59506326068036	0.86641575793276	7.84041403763295	17.7844585108534	3.89595161669091	11.9642638115326	-19.0149665501222	-7.9241653346422	-3.81884762551852	-5.29711990876561	-1.36536215308797	-13.5207737968182	-15.3774918606838	3.17460876263025	-7.26332308767534	4.41918198303635	-12.240317783825	2.63626183846674	-6.17149535926909	2.1351840906208	-8.2166965841905	-5.40060231708294	4.74911907692152	-7.5843917048982	16.2832416751564	9.22441057417031	-2.73790718020148	-4.80597703911212	-7.82425233262109	-4.33956318396894	9.17294079865851	-2.38059124598904	-2.12802770330833	-8.57555393416925	14.8505560404534	-14.8602405763266	-8.7884208198192	-6.768513797114	-3.01665792512113	-2.8265506739265	10.6959830071522	-10.2161914499052	4.64784997371181	1.12831558222397	2.01512224391172	-8.0608454486647	13.9053374972682	-0.737464767118382	-11.6806176293353	8.79862814731679	3.24381579512778	3.42059454040134	3.30228466965379	-5.64528941648443	4.45594108937761	-9.34614525185588	5.13963011545371	-12.6540289891859	-11.2810612856492	8.89156410183122	-7.84890060058587
"g2"	-2.96634452170555	20.1250003821294	-4.03016135006171	11.5688809277869	-1.2095013602871	-4.78094905535648	-9.89562910459136	-0.191990887174754	-0.376668564073199	2.13688873808945	7.39510480401007	-18.1341618981708	-4.36218535350638	11.1755969152214	6.06273949494496	-1.89430382881576	0.118923405116757	-19.5522247965727	-2.88070301366824	-1.46296310898059	14.1276903967018	1.25159502235189	-11.1832113597576	8.16081199703626	10.9918413465488	6.01703513202538	2.81622195591594	11.0829623584629	9.92961390179808	5.63413870355728	-3.37438241128941	0.78504339744268	0.463792707455916	7.05185031571536	-5.68237679654493	4.86915722196503	-2.1994664053666	-18.4791590587373	-4.49122614793382	15.9339667956075	1.07421454324444	-0.976624069082479	-8.81080407452083	2.67755795426432	-7.90292567307997	-1.21196933983103	-0.546662220630781	0.501986467914172	12.096003925943	17.7136799472774	-4.74592966193576	-0.600071923168852	1.96461488614445	9.51537402129663	-1.68318568615157	-11.5172012800543	-8.58989356382336	10.718337176742	-0.468823478968355	-20.6006572512905	3.98546647473662	-0.588319092133427	-0.0860632286915705	-9.1658073087987	8.68648713950597	-9.00950819589834	-0.801968823080351	2.12678177966675	-18.8442115297963	8.09326904818454	-17.6045735625409	14.321229170612	-0.120804484220452	17.5332020135476	10.7416551849248	-12.2913712446571
"g3"	-27.6592891654386	-12.3855530324793	12.6969619092976	1.13917729906076	-1.20406915705949	3.12972133929127	9.21160066583058	11.9196815415106	11.0024033903386	2.34278211674363	2.29501466537153	-6.56912872488278	-9.52204471764269	9.20150942010958	-2.04829902014208	1.6283607038085	-1.95741514892085	-15.2782832513068	-3.96742253033703	1.68435389177296	20.9263678132844	-10.026058468014	6.17286412402313	3.74828438590209	-14.9067289797427	-3.78460397745965	-15.3995901094515	-1.7560772696488	-2.11445788835828	7.06929245861963	-10.8886528279921	3.85541930879411	-4.87126311859651	0.222620483496895	5.27964348359181	-8.04120289149617	10.2039267801925	-3.41945970744007	7.07648581962546	-1.73573106324651	9.74905571090109	6.43199505536224	3.48954709244348	11.0709776811295	16.2595907347308	-0.187798487313377	2.00943537730521	-7.63342715724472	6.11702647689054	4.43962881871715	25.1967464685348	-3.55331817713989	23.5150980108208	9.81437480599812	8.72696078823544	-10.4138508311588	-3.28767991163201	-11.0044011934935	1.69094651148203	-5.88226944696133	9.48028996908514	7.94607146060499	11.1923892744279	2.59404091653246	16.9235803709273	-0.921037514149491	23.7490959122309	-5.76296867287193	8.53105344558588	-4.78609332085616	-8.69012716365123	-0.39806451773153	5.40142493740145	1.50774509407533	-1.89336934111042	-1.0362696733089
"g4"	2.15278266526341	0.940975101458626	11.7026893765506	-5.3559425226214	-16.6288049738673	-7.91444785011728	1.71139570461203	12.5275128894629	19.2183393361541	12.1134267921601	-0.358927880738038	-5.01257482068168	-21.0458918238833	-16.0333493185466	5.71110848978834	0.763543998197187	10.154943787279	-4.89029050499151	-28.3493133815464	-6.99572587551599	9.95093000534297	-12.5122106654341	-3.17673168381681	-0.883991967736742	-1.08471888942207	19.4497438886082	13.4406231760599	2.75764406704334	-6.41774429897903	-13.7317158191362	-2.05527828927914	-11.1924797209223	-15.2937618712147	-4.11746039049517	5.88501196673877	14.8544667636015	-5.57430734100159	-5.3415898520061	-10.1224698310512	-9.21134554915647	8.22039101066238	7.33455460906314	10.9277516273908	10.2225041533143	17.0302761246387	10.4533465422439	16.6974723462523	1.74222827603273	13.7979989117874	19.3898062678193	-18.7660620853575	-12.9397667123847	-21.6156673386345	4.66616765552374	-2.33129940770005	-0.87255693691762	6.6611305524334	2.07384842977074	-9.30496162116196	-1.37608225515356	7.30174110632054	-9.5437364238307	17.1241935023692	2.34578125836882	20.4737477151751	-5.68669267741151	13.2071074531727	1.10435145850205	-2.54256803030165	-1.08660725299465	15.9260512404579	-10.5821435062923	12.6853448091391	-4.92419195133807	15.9683739757932	6.84923052892468
"g5"	10.5395691146262	-2.43915839620984	-10.2367873421559	3.15112015329422	0.895874291353489	-5.12593482103973	0.530822754329398	1.2675980135845	9.08589671741107	16.083294286794	2.79364426267376	-14.0470356329577	1.93970078840721	-6.30391749817246	-19.3465031181191	-0.0913498867880858	6.71149680738897	-6.76722100092496	3.53541101116601	-7.98787391939321	-2.64109861098703	26.4018117974999	4.3644601135617	-0.0867153626566807	13.7437975532558	-0.309250925787266	-5.89067003550129	21.429553517373	-4.18079579334796	-3.26298584761595	0.626121734840644	7.03149091932761	-8.12839040304542	16.7456827095017	0.640852197151399	-0.179843725913276	6.35260773002451	3.18054766550562	-11.8882718561446	17.5719132885891	0.686217853320339	10.8603930012713	-1.6913234630226	7.07403929522264	-2.04420208303541	-12.5878963289738	-4.27051738026297	19.5710849110411	-7.56531586143676	5.07409815686366	-6.79016678776503	-9.65852663971288	-22.570447386108	9.05164002627048	15.8416989840524	3.76079238340237	6.03580001542654	0.424994065224106	3.21469442744575	-13.9857770239754	-2.13483467440796	0.48537584461922	7.24177580186465	4.22976214958186	8.28680781465225	-4.25791792483242	-1.43034777994811	17.456181745666	8.13504912906993	-3.33578461514217	11.6757871469723	-6.83788495297988	-8.03698486117365	-3.61694116830799	-11.0982314026713	-2.88929655956977
"g6"	9.1054718548036	8.58988801482315	1.00069855036111	-3.82773072807264	-9.35642148386509	-9.72175242099487	1.55439883328235	-0.167479783630913	7.18080095886614	2.12543474524317	-3.54174527216141	-1.76264132430258	-6.45221575775697	-0.96461187346847	-4.66531961804862	12.5734874668268	-3.65600048241134	8.45426118783733	-15.0104385992737	-7.57902902262862	13.6042936094448	-11.2287203700822	-0.841138643588144	0.296585059065075	2.69640151356493	-4.45874670014585	8.5257868857234	3.15491330021708	-8.89415525811033	-6.89075157557348	0.602952468245078	10.3836229799984	3.7499657510625	9.21448502955048	9.60075873127037	4.49315955910991	-5.4138188856466	17.520375217247	5.94200635289979	2.52801863359988	-5.46712896553922	0.228529536356675	-14.227160949762	11.6436513655965	15.1330153098899	6.98726610113344	-4.72376924977669	5.51120119824885	0.0760426732421181	16.5964920319398	-4.37735896096236	-7.47257210345543	-14.7908003444212	-9.48365382479976	-14.8973249108498	6.59350763418763	-2.78461973977794	18.9537212415983	4.8087025749423	9.90762972526694	-15.8332654533859	-0.247486671164546	21.3623370537246	-11.7139096666	-17.1064862927789	6.13666479392521	4.38577714648718	2.69851515146859	-23.6318669792701	-7.25368570600298	4.38151282024784	1.77038463567805	-1.82066709039468	18.3622984170703	9.42346168170416	-8.57303638009086
"g7"	3.05184185080348	2.61754680319905	6.09263846728705	-19.8178485667986	-8.64839978094101	9.91595852466374	-10.5475201498047	-14.8830216770536	17.9081653135882	3.67477927464456	-1.46118903543532	-6.34055055828235	-7.76050745372546	5.27245883637732	-0.163872302771942	-0.140418094274626	-3.92827687329737	3.96076315972595	-13.5800058401556	2.35434827063154	-9.82517403385627	10.1345581095671	4.23721546596783	-3.54981317157796	9.78858334700697	15.7783640535543	5.05542158021433	0.243775100907653	-15.5849687370323	-4.8130476827727	-7.32349909979803	-1.41490770009777	-10.0199961749248	-9.96501389235513	6.23992570080724	2.11969144480607	11.804060855831	-0.339934064735983	7.41319657560815	16.4847815609869	-2.40229317060934	5.51812362388574	8.38144990739854	1.52953922166705	-4.25030815422442	5.76659461994956	-1.10202691505705	4.50285686298758	-2.15181884223336	15.3929900605974	3.27521015218763	-20.4940980711444	12.824281370636	23.360607408314	0.498574220537804	-23.980231399908	-12.3320276007441	-4.20710873182448	-14.2972923711026	-0.234491600058282	-15.1323121863667	-5.27813435039494	9.31156296214594	20.2692742791074	-16.8111460839434	-21.7658635543156	-0.1839113761191	29.3157656878704	-1.71803669039121	10.5332477822544	-4.93216534923092	-9.80452266833168	6.03115864862684	17.8033717865002	-0.577512024532432	5.00023127967583
"g8"	-13.8986896054505	-8.65910090952087	21.5322053186737	2.9237794367569	-3.78893186369579	-11.3819432946501	-3.5120169100787	-4.24478254749216	1.75085581627126	12.4433855920131	-12.2790849077257	-2.60040083913989	-12.184792486724	-14.5949021486897	11.5464425994829	1.31986730441384	5.28871694330695	1.26782070623909	-10.7638378077327	-0.771608355027934	3.98264371900044	5.71678069456194	7.07806700667706	18.9770496594044	-10.0318459451695	-12.689986129524	-4.38772952570932	-15.1757998866957	8.59299409191399	22.23692215852	12.5169674263645	-0.0457463837582055	-12.762360004349	-0.950508601162577	14.0230365789315	-10.0301400086958	-6.38451276669654	4.05979905086903	-0.0791279449493946	4.8649176758382	-5.19903377842864	-7.09298432195595	-16.1883755862189	-3.56647995931178	-15.5429741249994	-13.1341463092537	9.78748303108717	-2.91812776664396	-2.23193971000916	12.4125187371273	-4.51059856909953	11.3729395711252	-1.78322085364766	4.7385885668998	2.74673006024247	0.346641183683223	10.9754440543136	2.45943231843353	3.6062786055679	-8.27769799832397	14.1806498883405	2.18819680040257	-4.23431317224573	-12.3654938409621	-2.55083869960055	7.9882748165923	1.66679267852431	8.6272630835283	6.60652460573368	-15.8082939039166	0.936973905712605	13.8821413373094	-11.6221978357817	-5.98760097581659	-7.18961206684345	4.01730545044689
"g9"	8.63336125031345	3.64483948819639	2.96608403923304	-24.0967331353975	9.04963860271949	10.09789039635	-27.5779328788146	-14.1613107313328	-8.57779479847093	-8.25012668183085	-8.65939646208068	11.5053040650129	6.9269920737618	2.22310019307934	11.6574449517501	-9.69706169157128	-9.51965408092464	-2.09698586638267	5.11132224857607	6.49554366359194	-1.70877368954332	0.75294830243622	-13.255427354631	6.9465901671207	0.577404117745309	-4.15817226029379	-7.02249718762519	0.146511597389575	4.97518799225326	-2.91260601045265	-6.1017948049381	-2.8542823225681	13.4345264218321	-1.372530327902	-12.9619075555015	12.6989303450321	2.03506632030559	1.24253863518734	11.8156737708552	1.93578660388382	-18.2338288566358	-18.4371348900865	3.52508209747875	13.7040424308468	-9.56783018304312	-7.3589272480043	-0.151492751692097	-2.14431656789383	6.07850977545372	0.138146561279193	-5.45764926622112	-7.57870554985579	-9.84175991844161	-13.2086223832009	-4.33247695740521	-13.516942351719	12.1490765323528	8.48046592946339	14.1947521044162	-3.67829795477003	-8.93019040134637	12.3175527388226	-6.62368487960168	-0.992380937831327	6.03789888486389	-2.5454062056084	0.126971238178082	-9.89769064343717	6.76448796649663	1.49233289682821	1.75786856479775	5.366511546688	18.7272180099132	16.6322436862971	-5.04497428964185	-10.307585939163
"g10"	-7.404888965034	0.245022173695415	-11.2664651944593	10.9579761812154	-8.98468270592445	-1.21505848369689	2.52891897865004	-11.0814372002317	4.67891123621108	9.05268643955143	-6.71745763508179	14.0797689513896	8.1558427268332	-14.2116817162601	-2.25246507943323	7.50369874408047	8.23391992896722	-2.22149907190988	-2.36955716974773	12.9072371145085	0.214053661194014	-4.52751501803484	8.06852142432045	12.324200622996	-13.0168565721085	8.24040293738148	-9.16669357900782	-1.44700582123839	0.306771568246766	-4.98218540656422	-3.78676155722267	9.27041947295359	-5.36980991358927	-2.71945934049182	-1.83044752092658	10.0843959470429	-8.01997572362048	-6.35916475913401	-5.27240278190751	-7.63094474658085	-4.4942214442855	-0.549167085041033	14.8725879134869	0.159776567729477	-5.22913913221791	1.80122349619936	5.66333760286723	10.1406985117693	-9.63828710819162	-7.17233761201861	13.1886012409187	-11.3532270936787	-11.2516326002665	-12.6809903911818	-12.9529410399723	-0.241473834995713	4.52395004112531	0.482175159039117	-3.92050262796938	-8.84224797461478	-13.0151329601682	4.01750992022171	-9.36131395632676	6.63992233561047	11.787207577981	13.9904260126177	1.39577905182287	5.18951506265178	-0.915695383488283	-0.746600490056609	-5.78853562105622	-8.03949442792378	14.2983199092238	14.7587381021445	14.8397976842199	0.686259599786079
