"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"
"g1"	4.16792013058018	-13.5255766090448	20.2940485205257	-0.225924168155806	6.22433386823308	16.4643879978721	-11.8968019183895	-8.69714357442344	17.2833849178068	11.1258000039932	6.40698308742741	8.07416681737159	-4.22483066892378	2.5460903186176	-0.539526133869097	2.12048515372535	-3.30234984630354	12.5716507903476	6.79858462558624	8.24794406281414	17.2989027900413	-2.42684862582478	8.55699703498928	20.4720560523403	-6.10327642843767	3.07696087465912	-7.51081413996477	-2.30326792373447	20.8337598413486	-7.89659760791677	17.7765633818072	-8.64376614356943	-1.67802651329071	0.75587267056845	1.68882282211553	5.03776692051905	-3.28095436810895	9.85192370083133	-15.0768409367414	-6.00325945811654	13.8151815078841	-4.49884265424771	-5.3916436492414	0.822370079263	18.9753007356334	-14.1721862074485	6.28660561388532	16.8513936132007	-3.31058856254598	-5.1428488929214	-1.96956359800994	2.94428361870603	-7.16499353083338	21.1413778194226	12.4217804845817	-21.2008639428542	-1.92893197336365	12.1416674645973	4.93235789526191	2.78831059501868
"g2"	4.22133316107367	-5.86076964795008	-12.341999963558	-9.79989239941493	11.362244978173	7.52628584481375	5.78684875883628	-3.55771847550594	2.02955508217745	8.53124786220228	-9.02051076290616	5.16627852634581	-10.5336680957095	-6.03887953310131	-5.82588835717586	-4.43112821141065	2.15471648617795	26.3130764366044	-8.99376449319715	-10.286346372432	5.26476277780366	5.19675365304358	-2.0667500344971	2.92377505754433	17.8122169810836	10.0469412694523	-17.9592276407942	-9.52123732358133	-11.5642092248627	-9.22092089663665	2.62377035660532	-3.51223944788597	12.614015348288	0.507161602131435	3.68546563218599	-9.15109178541683	-12.394847732377	7.84575394481453	5.34594868937958	1.72589494253999	-20.0823794810386	-10.6163939462084	5.87208108039571	8.17689697390889	-5.14504402221482	-0.730133663826478	5.1691432001769	-11.0564341087194	10.0999366569336	12.7244241314	14.476772794625	10.9594990454206	3.16794577040412	7.42641947023754	-12.42171433511	9.63177762111002	-7.17286509859168	-8.86736132449757	-12.5184678591389	-5.56141546870508
"g3"	-11.8962850658851	6.56296639087741	-5.7963481321019	1.40529330520814	-0.39438412822823	11.4091631385433	15.4339242284093	-6.74511514354267	9.11954465153232	3.28695388283655	11.5425405926865	-2.10915112557998	0.0958456245152591	-6.62660867882963	13.5684007695142	-8.68311146280298	-9.73081679276006	-10.556987206388	7.80256748040577	8.1942938701367	10.7964497663837	-7.37460319245764	19.2255859305747	18.6275670244788	0.845220145695962	6.94104443057803	-9.63433782500409	-3.45697905427499	-14.3385511996388	-3.28754186747118	-15.7856793226512	-1.73657357027499	-10.7953927959783	-1.25567980267685	12.96652976968	-14.3116349658848	-2.30808159630764	-0.849388501454186	-11.6326094821901	-6.26182301020123	9.658058600589	0.107566779221057	-0.968555783612599	-1.84560608469274	-9.63619872414503	0.300852282040495	-7.73888859167145	14.0326402440711	0.269309765066949	-1.61901109352326	4.31315732271834	10.4710356984357	4.02447018231121	4.99739520710943	8.33852023874415	-19.7638266497498	4.46595312245813	-8.50956033266498	13.7262348367605	7.02367952479508
"g4"	1.424631804963	-3.72166121084759	10.5454604379081	-3.43493905863987	-1.27990320455576	1.86795922591338	-12.094801890461	-5.07665694321591	12.5496225955017	-6.62188185308274	4.11186161188947	-4.383109026022	-9.16835920245496	-4.33331367160327	-16.9425757265418	7.51928200868807	5.53680059606139	-21.5672105715162	24.5568164667206	-3.60869091465607	7.71734044549895	-10.0374689394774	-20.895482590264	-7.990366481156	-0.480803929649221	-0.0346482810920426	5.15023947719418	0.249426148149129	-9.26733303094238	0.89205899761248	10.5014598492319	4.44575534903449	3.57483560290363	-3.29387667863242	-5.1443027995562	2.85281849496593	0.294758740150995	3.21861667283441	25.8169162156521	13.0572572615102	4.29584891773097	15.6215871580192	-2.30079592325943	-11.6261582638521	3.7660318469034	13.7422122814754	-3.66438704825351	5.30871893286158	13.1174350212339	18.5029927236264	16.5254565510691	-0.533809384774792	-15.4662806665379	10.0671488722954	18.2060638866016	-5.26978677430245	7.68758903344284	7.92847092594389	-1.2953948866156	-2.20237052585633
"g5"	-27.9732463760424	-2.91988721559064	1.21627990310985	5.64268198862373	22.1483088197133	-9.57925240364788	-2.41230445905129	7.43112370323297	-1.9907124669473	-5.38595054876801	-4.47267777567561	21.087128282503	12.9442813481799	13.4965863374478	11.8022329539529	-6.51971541558122	12.0188682351786	-8.17195981739906	0.268234447732265	6.51300268372902	3.45394915787077	5.80048622663748	2.14789423771557	-2.3088464405184	-0.531354677794976	1.58478012808343	-4.67387623153533	-4.21095704471492	-23.0137818009995	-6.89199736761614	10.6595701905532	-8.19402007139594	21.3289237967363	-2.23875432890578	-0.153946837766809	5.81845078787564	16.5956999133533	-20.1675697876571	-5.86377731943858	-4.27034978288615	-1.20101511376502	-5.18768320145522	-2.8639589464554	2.8743471467067	-0.578474342922203	0.426534256389335	-1.43571971265935	-8.63327724895128	-12.2576717428688	10.4200614120187	22.3665781675253	0.0769156007489133	-7.97686163187593	-1.58677011418791	9.00608613577817	-4.99151062037849	18.3485932147857	-3.34887647436147	15.1437742854685	15.7358221639523
"g6"	6.281029158077	3.38688724085064	-16.3288148776555	9.07702443190746	-14.7185862992626	10.4609638890542	-6.04034354086454	7.78514027787281	-6.42230277002783	16.2978070671647	-8.0501265057219	-9.94549804470843	3.9784258973571	-12.3986106605604	-12.480149290771	5.29522821768529	-11.4568292168403	-5.95094278991168	-12.9667637143452	-12.5450146799963	-7.7016104726054	-0.778524764860402	-12.5589127313972	-20.7314622114108	10.9251364622408	0.252654107365924	12.0623033145157	-5.0499780175924	14.8011883607648	-9.36125852666822	-10.928396458197	-5.00569543456758	-2.43451513470616	-14.0972184995599	-6.94352882838268	0.694680521013246	-12.097050444886	-2.53723114670219	-14.2813849225013	2.94864224446066	10.6367298813399	-9.87085874545889	-9.36445140478934	-9.53893879642587	3.14838174703257	5.84620489561909	-5.50786454544367	-0.953495175102518	0.313250275420665	-6.61915760329745	-5.16927041808881	10.4616286931608	0.929864783672208	6.97444413224099	11.7372793263049	-0.522122684222493	9.04241498532089	16.2165151111904	-2.58810440830372	-18.4447945941015
"g7"	13.2918177459603	1.84436837359238	19.5769428043377	8.9573628210604	-8.09522594157819	0.269468139047224	-0.818348430087596	4.05816835259583	-10.5640413795416	-3.75088005606373	-17.9022850761066	0.39626931206274	-2.56838082896093	-11.7414535759331	9.60910130683197	-6.55948482487299	6.9018371902768	-9.96090264882667	-0.415934348830972	15.3063448225166	-21.1321951579727	-2.33141942506057	6.56741776485259	-0.452275995035972	9.50050499226977	3.34314114263379	16.5225572533841	0.521428757984388	3.60650128887713	4.68702287292147	-8.07050127392781	-12.0590177033558	-15.5218706675718	6.68204084626073	6.73748032778508	-3.84440307716866	7.64397809127325	-3.61753381669637	5.44134372115038	7.01905226779724	10.8505411068067	-4.19515926789068	-3.98203389620986	-9.33854133247242	-6.55948365219254	11.0263354160687	18.8742583320386	5.63071549683328	18.2354383844108	1.29121274292838	1.96605861758454	-4.22041509089414	1.08181898728701	-2.74273805072633	10.4066915179527	3.98317761217727	-11.0269101549764	-11.7705939605807	-5.14961719611014	0.864036995757924
"g8"	-4.98159759263954	9.9430988209457	-2.29468874408691	-7.36756773173694	-1.42651061498503	-10.4732413806136	-2.92317030988326	-7.18704731872294	12.1429139539473	9.26609288219408	-0.0933876164533965	10.4608465653757	7.29555991648319	-11.3994943243332	-3.99416498938465	-11.6941651112159	-4.99332792584835	-20.3503744955923	3.24668109117923	2.40475158681166	-0.958722179360349	16.6411571834332	3.52096648017677	8.78008460400064	-8.57102376648222	8.59668884437067	-4.70258703296246	2.71625878982489	20.6098171738323	-5.4142127074751	-11.425659912641	-7.59252358113045	9.26708781997013	-1.02120598240939	1.98992702913467	-7.90835087760259	24.8255341502728	11.8718013193024	10.6198103338684	10.3977462159986	6.38435247589524	-14.9518275147533	5.53016810904198	-10.9649362813865	2.28594595056296	1.89950733802925	0.71658866772595	5.5078895888132	-18.2423453495153	13.5276733074143	-1.89124648048919	13.4230957135651	1.05461691738727	0.606442375069043	5.45385180860745	6.88745977825064	12.3065433203349	0.260979860154185	10.6687209899833	-9.79671513236647
"g9"	-8.50421799850514	-12.6821069218656	7.63233429103931	-7.95228990944545	-8.54705592383291	12.7508657840556	9.39197422739647	-8.11451782194166	-4.01825199030518	2.57940595746613	15.2856269399913	13.1204669603703	12.1459278628843	-5.52788807756626	8.64732930050863	-42.1664227835577	1.05636985688948	4.02552861030868	-9.62791953519787	-0.575266229367641	-3.08119620301786	-21.1212783101471	-4.33969033344392	-0.568366693306735	-3.75433285967247	11.5331716847546	14.6776861302806	3.75770163672109	10.4959235023558	9.17951965903602	-0.576448818016018	-21.5282625606699	23.2550885187618	-14.3942121315424	-3.37664857955234	9.25167590856026	11.4024524127415	0.514085617317738	-5.38101797126091	8.92694096982611	-5.6091014346179	11.6285547421668	3.19570389945136	2.78482451802041	13.3896655781364	-2.8157841825191	0.909400767623615	11.1689737923176	-0.927304911446167	6.24728045757886	-5.77797319344215	-14.7575122077691	-6.14424520841357	-9.6714176693993	-11.6597162581815	8.35797582180735	-11.6683715416329	5.24665269770511	3.14067121411512	3.25854187117648
"g10"	14.0787539848032	11.7175893831294	12.8268808554724	1.30388055631565	2.3478701964411	0.0573133410108222	13.618678702272	-14.8960795744266	17.5848068505425	9.21976304153669	-16.1999208346889	19.39620419338	0.603280623316573	-2.64698693921933	-7.36942586409532	-5.71890535487035	4.6393248627959	-0.773805516808503	12.4277920576414	-18.8414247124787	5.3593801725784	-16.3146660651539	8.72272932084528	-7.67284548063346	1.83764618554517	-4.51701040023949	18.0736604335428	-11.8255757143497	-1.51916423850135	2.7499942853808	0.703158641674283	-21.1168223125852	-5.55382903012126	21.2103617720237	5.42181558952288	-3.79131093182438	-3.32714110022357	-11.485427107094	-3.77834384366908	-9.41662387922661	1.8459938653244	-20.53851738871	11.4527769563889	-22.1383116905808	-5.77162498378167	6.31434050018776	8.8365764404757	10.9742610792988	6.08012286470514	-6.77020022666763	-2.57454500434941	-5.52186961125678	-3.11799195611198	-0.335388321167019	-23.2007583800055	14.9302397668546	3.67843456074701	0.149156207161266	-4.71015974538285	-8.17274386679089
