"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"
"g1"	-13.1185429974978	-4.64006477839508	0.154353903706807	-1.70446545082024	-5.19455230185947	3.48846028824586	5.88864384995843	-0.575605831121113	9.53853463986188	6.13322309606331	-11.6437580455551	-12.3662385646547	1.13830109482279	0.0143868419923567	11.4145026277675	12.4811092156869	-1.09201994056851	14.278188010453	-2.07348141099014	-8.29313183275721	4.89554815526399	12.0961682374254	-17.8451395228258	-3.72640039530401	0.898637429050959	14.4142228423235	0.994467021447211	0.580664141842686	-4.01151320108503	-4.90589360159008	-4.20371595141421	-5.38586306373069	-0.20280252629522	-2.73446786398591	3.15901875199632	-0.793629479904452	-2.22241584309683	-7.98554124835526	-10.6223810652909	-5.17404854658262	-18.0483569307243	3.18367679976075	5.51892784752832	-8.62012302050683	-0.221978510347523	1.39362454491265	-1.60124839346343	3.44692928411755	-15.0417235551676	-3.84690450635468	5.40922116718467	-5.75785561827934	11.5501232190317	-10.2825855917773	15.0249317570051	6.55810666757136	4.37392035059198	-13.3401744843531	12.4759063146106	-10.9311802205326	9.59643067068708	-1.11737497907907	-4.81271043569471	14.2347520228243	-0.558928726826756	-12.5371424152064	0.211814066895782	10.2545596251191	4.70559616820469	24.536224044328	3.55355922176545	11.161614745124	3.16920381582516	11.0976562117178	3.87378361252863	-23.6204709520532	7.37115694216395	-10.642324580317	18.9608013983633	7.70315290479819	4.00307594344598	-5.54544073804875	9.54237922807276	0.984440165438365	13.4760822864707	2.47209271354685	14.8776119537919	-5.10473923300796	-3.48832427793871	12.2330313323633	-1.08319617760152	-18.7323370821269	0.156440617471692	3.7821213355017	-2.25036026754383	5.30830170733821	-9.04395931979372	-10.1433667289857
"g2"	2.92921192005227	-1.83585314212123	1.40259386132039	6.91526548650561	-2.65009194657779	16.3168406769932	-2.71355451423101	11.1044946418949	12.3694396043292	1.23051478404697	1.74921306412494	-15.8343480308512	-10.2987294279131	19.38696235643	18.6337640097859	4.34800437409827	-1.13725070831845	8.56598057682378	-4.11846791826948	-3.78679160355756	-0.778483640803681	-0.899801109536654	-13.4913185569443	5.48609427175234	-0.395373628197503	5.05552529416275	-2.54467898505001	7.28965715364687	1.01571955612192	3.54500551715844	-12.6131402955144	-11.943860579463	-9.52804159678981	10.0450620266852	4.76590279933128	4.17804119176015	-6.35160450182982	-4.1418612811039	-7.85372928607343	22.4307648093889	11.1686527628014	-2.73042677157662	-2.73677259550524	24.5971454353436	-14.2726191334266	4.24142524641572	6.1288468566787	24.1770470321846	8.15947337133061	-2.10457791282683	6.46850712686393	-6.93779973195085	2.05451471231366	-2.24041997462853	-4.87598945125005	-15.8764576916307	5.26604473321525	-10.2153907637018	-12.6077451780218	17.0252333848977	0.983306516423334	15.2314614142896	-1.94079360128274	10.1538176076215	-5.30229239871134	8.07073333748839	18.3111201253602	15.7317550641634	-6.39036738565631	-3.98675450317366	2.09986268434969	-5.34934417847724	16.6627690653379	-5.64516484213387	-9.8871181463074	9.69900001247655	2.75745835064384	13.7099051502582	3.20674511179082	-15.7142335271297	-8.27208282858015	-13.0941435441558	-12.1464583511923	3.84991973706272	-9.58847964702948	4.22820150889826	8.67007010949561	9.72289122241363	-13.8064571409012	-7.52480025265787	3.23000448748911	-12.7473937570435	21.8628319794522	8.56227290515519	1.08956913837823	-3.37478262458248	0.635270183211768	5.64067612388061
"g3"	13.5201246637657	-3.4234582885407	6.33226399741146	-0.512869924791321	-8.82370054711554	5.10508062147772	-3.93612491857565	28.4178885573294	-6.19857287964982	-14.1800201596159	15.3479415460024	-10.3107806853598	-0.361615626177988	4.18994753450795	-18.619296597732	-2.44977927250159	2.03126400549218	-2.00839386691936	-1.12612567145217	12.1344635435599	-11.5348809171436	9.6263387964517	0.281892083356911	0.157623342312848	-6.16424600181644	6.06520900094195	-4.35489769227466	-4.8441045673421	0.0696900298194853	25.5328495706187	7.55613111516845	9.84130102069636	7.39550405268539	11.6157751032805	3.94355282092089	-0.755313382393344	-1.28982090986441	-20.0881097203113	10.8931904189396	-12.4912236576013	-5.86331521262701	-0.89073653712092	-2.94867203557527	-2.44675088246058	13.367094150712	-0.916726566315112	-5.01750981666113	-5.48846948612657	-20.4303524253066	1.96202878471931	5.16895807749793	17.9051696617404	15.9441890208034	-3.51980245246073	-7.72321551153595	-4.14839504809324	-14.1753569544866	-23.4813064816628	20.1794406928194	17.3861915239862	-15.7106958591722	12.1395014504642	-15.1478017099532	6.54299377160093	3.8259346854909	-11.6175964665322	24.7235965230446	-2.59809195812847	-5.94193931043106	-1.82130977325295	-16.4795496984618	-1.92505799174592	10.7902793270731	-4.84341291085792	-3.97375514124545	14.6574085028135	-11.502563453264	12.866235404189	-6.54263316200692	-5.04918097284769	-18.0106038534936	-2.86011663800812	-11.5313193116863	7.16632158553726	-3.54888219620055	2.62905715636881	1.04258703826202	18.1091661659714	5.54141817898748	4.87658180990239	24.2722112661027	15.4767605723639	-15.3221521790946	-8.81435763023855	6.00460335900158	-12.0242037415001	6.73216692431439	5.08054371930082
"g4"	-21.9696059088444	-16.8454792826318	5.98379999974567	-5.27931159023756	-8.18176707037102	8.28321692204172	3.08886017387979	9.61136298571211	-0.893547295672344	-5.64917055298408	-1.28951344098819	-14.0059119443862	12.0991198696907	-2.40821228438174	-8.83649016121915	0.441491168089329	15.0757765531755	-20.5296006261314	27.0474192560463	1.57222282679412	5.48834732065946	10.7621835683273	-1.16528154971336	-2.64783781888418	-14.9301069192955	2.69095347159375	5.97865291278514	15.6265404585183	1.76347887571775	5.85061316639041	6.5424067979578	7.91650560157673	-7.18356562348783	-0.939590237589615	-7.61448406240743	2.78409190283269	10.1736099128143	-2.50420838013849	-6.37290697565457	2.83568947659524	-5.7220208411635	-2.13969034690327	11.9196235044401	7.63829492378215	3.34067441268386	-5.33293002506696	7.10667301780511	-13.9384990816428	8.70725795300596	15.4964875723196	-17.8909692453625	6.50916501327188	6.76579684152255	15.2700238645469	3.54990802635204	-4.02535367284323	-14.3313060806778	-18.5335926843528	12.3976114419971	-9.04571219067759	-2.70459620446178	0.024464284199598	-1.69353447235643	-0.364437087659989	0.825511886898137	-4.94266035706235	-6.73676012910664	-17.8036981401529	7.65328424892286	-20.085201519125	-5.19032746010095	1.6480873154081	-5.51270899241808	-11.3988910322613	4.22775929569591	14.7197971646818	9.96122038912015	6.35302096012661	4.21959285072782	22.8603869744165	-1.56554437553041	11.0441634079543	-8.99185160646726	-7.52713492218728	-9.85870396339729	1.73054101700045	-4.90573727417606	6.02540954518606	4.2622537668604	-3.61585723913315	-5.56086338549282	5.51822109393216	-2.93797170719168	-4.82724819868946	4.15789981893231	-11.8048107486631	-18.8551150968979	-3.12538735936007
"g5"	-5.28607681765115	13.3628549944594	-10.9791332280344	-2.91567173408063	20.8306160061614	15.269808643642	4.10632082710535	-2.73708955274215	-10.486795901175	0.402789934078527	5.80483136861626	-1.46632507117705	-4.22202420098459	7.4995978750082	-3.68353116485306	-5.5629858147957	1.1389128447726	3.24558641228767	-17.9591954013056	15.0742372812562	10.5450416030698	-18.7129180892675	-1.49105809206143	-17.9863204354705	2.02089270894914	0.165850997912036	-10.0437330167006	0.231742905168092	0.320312884606105	12.4859659800413	-0.806758836626448	9.61752983345825	-0.63166057758129	-12.345640101259	-17.8321655550667	13.2299516595403	3.65696643480797	-6.71167271387938	-2.5027692318423	6.60754670656688	-2.43834471902752	11.1894732057114	3.13835028700797	21.4776704727265	2.47094490698449	-6.90501718163823	-1.10537581443867	-9.19310859751071	-0.257787777163661	-5.28690836532352	-10.6760470807495	3.63208161801379	-5.65188972705084	3.29866122955463	-11.8728378646479	1.4963635931782	-4.83587638347312	-5.44563871285355	3.46715225854247	-5.44845770316986	5.29792106939089	17.0059804001147	14.1347174519527	-8.28563200327684	7.48698829247702	0.93701495397647	6.7993833398534	7.37441735674023	-11.496229712175	-2.09709647627622	7.74336364531892	11.458117340034	-6.74879260261524	-5.06245953677672	12.154539966757	2.78600990729057	2.12074070526996	10.8314036541121	1.25423535316557	-17.2525308783508	2.72174409079071	2.38665045688651	31.3192162728263	-13.9899211230983	2.95404929902292	-19.9206593428231	6.08655650210828	-13.0775695968725	11.0609511070532	-10.3352292421195	14.5506941808891	2.063731773684	2.96761175578496	5.4422327535687	11.2882259178474	-0.806246164668808	-5.20041215149815	-16.0679672722931
"g6"	-18.2921628577857	-8.47156305986625	6.15220842204604	-16.0393386754567	9.43042282119302	-12.3770567401031	4.15277614229458	-5.22003270256947	13.7695289692469	12.3471128162227	-21.6924161909299	4.39509221361741	-0.972325157631536	-12.8720960885721	-12.8041963818197	15.3340091896125	11.3173668519196	-17.8378822033987	-11.9301016202076	1.72798143892936	-4.89691375997234	-3.80096276980883	-0.658776140997189	-2.87635641959807	-4.83315447717995	5.85646961081462	-3.32144228321355	-9.1352275468862	-17.205454160866	16.9114944155199	2.73255577824392	11.6589795130242	11.6581631667759	1.07356162021161	-1.91343422307302	7.5894752165301	6.88998712085271	-4.66662475985008	-7.70646982097169	16.2671092426439	1.70245921687883	9.64356446179713	22.347289749924	-3.26868359320661	-17.6703395484218	-9.77020151861788	-6.44525466575409	-1.67167048349387	-4.99975250993014	4.17779808285559	-11.8981875832887	-12.7165389428555	6.64025529489988	8.58408133202408	-2.44062694554047	4.76814237883325	0.215581902459341	9.44452380565961	-11.0519696211874	-3.23555335405994	10.2491598749171	-6.05836503620797	-11.3826448282054	-7.74047903856292	-4.20376703526914	-21.8030040028802	12.1899926342774	-9.74904499248605	-0.238677167501107	3.05275225181868	-5.18417206623783	-7.0426848929108	16.8746657566878	2.41914339178877	20.5806482647084	-10.2273805273957	5.57100096886825	-0.620782930481934	-5.51149360293762	5.44999772501925	-5.93827395195699	15.4535227606808	22.9227569535175	5.15371734038519	-8.8695299327398	12.199827642451	-21.9839060277326	-0.17626074564472	-10.1247613279249	-3.54046907697195	3.93294971912657	-6.04936651938376	-21.7004542151709	11.6398144462776	10.9267154061011	-6.02220344758758	9.70654911254035	17.3385948714713
"g7"	-4.63133670022247	-16.9724862809596	-4.1888283474367	19.0609833116935	5.25262829836309	25.0210427201386	-4.55902747038123	4.09812170795787	7.66650806359977	-1.806058007523	-3.54763905039609	-3.40631301220011	3.60138388189049	1.50621744872468	-8.08256938423189	-14.0924833975841	-9.19981236480506	3.4029658145264	-4.46774750265844	-9.32570912598427	-10.5052582219858	6.89108981210345	-14.5583104513506	13.6871572779882	-12.5336573731811	9.79583208359379	-7.81631620451396	5.51901636051144	3.06518291265923	9.58341374966277	-8.78005102333613	-3.76429035441056	-0.529800007059493	30.2977020226417	-1.23799475536494	2.30948920788291	-2.16526239233623	11.4636816305345	-2.79265729858157	4.5706868625901	10.2805030792342	-2.09524110269344	-13.3868288160674	2.94939659141742	1.90113221603253	8.86929980994111	-14.9865774689213	1.11384686012736	-11.6912872460465	1.89211355913025	-2.27434434910091	-2.65856153171275	2.31332793247342	-2.53449244881479	-10.6283394561874	0.478374454847863	-21.018574348159	-0.31050469790568	0.287700147342924	11.2824889000037	-20.6379437221274	-18.9497716182996	-0.216137178989341	22.7255251095613	4.62008511668477	-13.5713167583367	5.279771136234	-2.16848525565595	6.86509516042785	-9.34541782187312	6.88935657899257	-0.616766736884193	10.6504222278647	-12.1707336787286	6.67743449180146	-10.3813033211621	-13.1042782269463	3.38456911337215	7.16363140018668	23.3713838475038	6.17718380211428	-4.73637198145957	-7.74523928269914	8.96387736202153	-10.1664452339627	-9.79499316036908	-10.5706573445491	-4.07129707460081	4.73254448739308	3.48460943325335	-7.08417835022553	2.4856346892885	13.863224612538	-5.37631942443177	-14.2236994973718	9.88487552184003	8.92742462772887	-3.53455643983314
"g8"	-5.65443186968669	-13.0290787080504	1.78570279137725	5.95680381607818	-0.375362605205704	-9.26959942289344	18.9608752462231	3.03366165565536	-18.9761506655217	2.71708625408555	4.06005031343947	-0.89063108366245	8.42252193823157	-3.85280501064824	26.1550782056936	-29.696928106036	2.03141056169065	-1.85657828786241	-4.04554888009431	2.20750307952042	8.19528481139162	-0.411540764763228	-2.35609879145425	-8.31072848661331	5.9332668832716	-1.68821489980469	13.9427347672655	-1.52715581177286	1.73993439740091	8.56655644492527	23.4150858701413	18.4887278077322	-4.5382672192922	-6.38719827696886	7.16783279637112	11.8180401361933	-10.701771265837	-5.72182291428162	-10.8284281596003	-0.294382024488661	-0.84327468412588	25.1950918375478	-1.18598322027759	5.94534745243571	5.47771789337427	3.99134769826083	13.7198365630226	-4.86712835929535	-6.2388476467773	-0.430662518922222	19.9880796316792	14.2321567644529	7.48949471496692	-6.81984013888722	-0.964039720596515	-19.6033583295532	14.2372279649399	16.923382506774	-1.91925548950368	-1.67830871997794	3.90058968143123	-11.3879006216572	-6.37817908887978	-21.0160539972979	15.7892215520248	-1.98448060508444	9.39760494449394	15.6957409985538	-4.08396720764519	-8.28464655955212	1.29749144204067	-5.0989079625269	-6.18147353840454	12.5824076635744	14.3291745699384	-4.53850882502616	1.53319413399235	-4.6239104771502	1.72704177788246	18.0039419807038	-10.3756565052169	-7.14744636774691	-7.16915786077008	15.7060732742797	-6.87712178031233	-16.0738044089436	0.624826066931615	-2.02083411536872	10.6149165716629	0.790222185008988	14.6010571899019	-16.9248709681534	23.7178840332229	-16.8133227850903	-12.0752879587576	-4.82999038890762	-8.49568829852293	4.11162479880295
"g9"	-5.27925074152706	-0.901252183727827	-5.03279728900864	4.96604023513658	-4.59254819118875	9.04101845881547	-2.89035157497508	-4.97022933868814	-26.7074952148684	12.4626006164953	-20.9968314874118	-24.1543731859416	-1.20193093027962	-0.534640904599792	6.13640378903962	-0.789057631020799	6.44908649151058	-8.04892682068099	-5.20806617936596	-8.86103170242749	-5.56886618760046	-12.3866795838817	-0.68086175914497	-1.35027004742932	-1.71133543880702	5.77265516063679	10.007103278102	-5.58779724068834	9.64232990366095	22.3619574733398	-10.4705941029899	-0.386290817171657	2.44694965456586	-7.37179154028348	-8.04409224888115	9.57418390314025	0.0679629379926882	-4.87684532701779	3.84850650774648	-4.7106637277557	-10.0080520699096	-18.6978213937427	6.95964102240156	10.0216861857138	7.59058525186584	-5.88876457587102	23.9400324929149	-7.38047429160913	6.74827433345317	7.02265810195277	11.6020285052417	-6.11959188023843	-5.86992540276212	-3.0576196084936	-22.2468981673426	-18.01865940477	7.47981094231133	3.93649167175314	-4.14956054127088	2.30003562396485	9.39386681126006	-18.5609627268255	0.791282971280467	8.35139083569609	3.84339409140854	-12.2583021136339	-6.15285810858533	7.64552150194054	-5.76848750216171	-16.6342271528327	6.65401734859846	9.46193414226374	12.6919640167681	0.0374304916251319	-13.6301091729332	-9.43429425786739	6.07339365974269	17.7694221053672	8.50011557948515	3.25211354166308	9.33743122056168	-0.478384771041054	0.0510801970269261	-1.88853113238046	9.45074556338372	-0.492011308803469	-4.38470302963267	-1.8434800755123	-16.2845550894615	21.1759525734072	9.24211802935574	-5.67115238429212	7.80895291987405	-4.17749534783453	-15.1699720727741	8.50345790407704	-1.91150335293449	-4.45772436271345
"g10"	-22.0278248214882	6.09773892627522	-13.7070448999482	-15.3080728989981	4.21503445420374	-12.1628882080039	-28.2230351203137	-4.81843188590615	15.7787335521932	10.4723146508159	-9.2470770717863	1.36486994813599	1.43167094658261	13.0378291374045	1.19437154385579	-1.14500207025064	17.1989762393894	-22.2781922759096	17.2998609722194	-3.18792511562926	5.81726594030815	3.85167626560835	2.95410757050075	-0.858115174687989	-3.6593792608285	-18.8784435124597	-3.79990865572081	4.55429216870332	-11.2779535536036	-12.5684466777935	9.63173527147393	12.0682342080223	9.91119379028818	-0.13341424034757	4.06987229981545	-2.4363855112254	-11.1885276719932	2.3444914825398	-26.0150200542263	6.4469065777599	-11.3962482638992	11.922090663311	0.637716098574476	-1.46444799182054	0.421049284043869	17.8244419901514	-6.21461606440973	-12.7948160764685	-4.72189288044011	1.93171498656735	13.0023126131906	-3.32392305454927	-9.27305025029655	5.59537457933382	-20.7599149242851	-8.73498319449387	1.46907946979121	-10.9846136690152	14.5827658554045	-5.2927005747035	-1.29545521651245	-4.34208459460345	12.7950134393016	-2.45181443444081	-9.8438427042958	-16.7431150448297	1.07332495649157	7.96611595319525	8.2060841174129	-11.828426295431	-13.2954522728646	-12.3347210409534	4.99660999628181	-8.98487004786318	-1.82415324770464	-17.1452632283048	-6.2599748751975	1.63188306615645	9.01754684294538	-12.8928754663949	0.992882773667022	3.49213967380257	-3.50258721968013	-18.8889045748022	10.4646551363709	0.0144876229172077	-3.0219685300125	-7.12407336691984	-12.9948175789706	0.642524862763633	-8.98481327557884	3.79150260922246	-13.5749905194494	9.56288899767752	-2.26793276584866	-11.1076565509006	-2.84869889497907	-3.25763807868676
