"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"
"g1"	-3.09945018332988	-12.9984598855245	-5.8651790921579	15.5881154815907	2.83319591620605	4.52654452241888	-8.14985626331692	15.9419222207367	-1.23494569981324	3.01104966216887	-9.87881500580747	3.95005463265162	-4.67448219135197	11.2336751612535	-14.909231730542	-8.49380121969485	-2.8422635330708	12.722689373974	-18.6716182715997	-10.1761029835996
"g2"	1.18303512330473	3.18220149490097	-7.66688498677143	11.9984707851612	-3.38588674433278	-4.15440355034744	-7.48093069482493	8.08916392435953	-4.03601029998098	-1.0405758156113	15.2716244204244	13.893992468418	11.2511938666891	-2.08824914186994	11.5464345811639	6.84393199492515	6.59158678090704	12.0173408627367	-5.22165885540663	15.3418490291484
"g3"	7.32858292473794	-8.39247710340263	7.8007933703895	15.5439369891458	8.19314727242808	-11.6594743059014	-6.66136811658397	13.4343019368576	7.16161602729043	5.14290192792383	11.467600850032	-7.36710195022	-9.33699286956098	-15.1657946136756	-5.3190808918418	-1.57885193290343	-16.1548395684911	2.2037762317897	-2.8138283746473	-22.1266845939778
"g4"	4.89694086821846	7.18407501644275	8.43285805286488	-7.57516876270647	12.0364651794539	-2.19570386154339	-22.3413727859124	20.6807518042761	-20.1977647820633	10.1302617482604	-4.34182301903979	7.64190690060049	10.4808093360254	2.16299864507353	-7.21827534066448	6.36220465578056	3.51160560387605	4.60449892841869	3.48263109406759	1.79468800678782
"g5"	5.72281745718116	2.94588125552289	11.5454893892347	-38.5172411239908	2.39185276052745	-17.8278891957778	22.7216973447762	10.0606128444925	-1.93080173983227	-5.67681564798951	21.8222349397787	-8.58422277364803	-5.1372087473359	39.405794122516	5.70131108724275	-2.54588263171122	13.36684557084	-12.025006338824	15.1202329770741	27.1708117353933
"g6"	1.66801188018666	10.9424311829715	3.03041629429921	8.8992877773625	17.8981604557525	2.01573248619319	9.32174474434412	-8.19814558092966	8.54449711442352	1.90493013977432	12.9727078502974	5.06531473739313	-11.3348894464656	12.1775158484534	3.06949551317572	7.24653235988612	2.16836174495061	-0.118329683660661	0.750286254883472	11.9336345086769
"g7"	4.0465964551448	9.55742880895852	7.04228815984311	0.39496650057948	-7.41093765215871	-2.34539548058944	-21.4942854426572	-7.42472533596038	12.0498062972903	11.1206714412555	-2.40466109535575	-12.2090315106682	-6.18798911411251	-4.91239685027447	9.2542019398888	-1.59682024042617	2.10286152828919	2.19286190216991	3.60612975599944	1.23803133464826
"g8"	5.94838162486045	14.0382071849194	-5.7051853018945	5.03835588259206	8.85705173763178	11.0502211942563	-12.6274358528664	-1.1244123810174	-3.57525033537381	12.7529593300194	-6.47042761316182	24.4480821548547	-18.5560458367076	-8.42898756310273	-8.35931635074907	-5.82149937391345	11.1127784322742	3.29931396170674	-8.8555908455334	-1.41019997221996
"g9"	13.0121641033175	-7.2653960645053	6.3076830890651	13.3658037148073	9.07057227149356	-1.66409408808796	3.78414663617395	-7.25898166050888	7.27482999054388	-4.04816451820084	7.96361826408106	11.0343068396009	-7.26856275431635	-0.237692474265142	-2.0570491775321	11.2074422374862	3.11534854467095	15.0821240560807	-9.96448423659101	-22.5153179596685
"g10"	5.8220023347393	-6.31651806033901	2.85716697438797	-1.47393170424546	11.2157218393426	0.753740514079176	5.89574982524343	1.75740669736205	-15.0644067443855	4.43169741690716	-1.63925812629621	4.97256145704662	-9.98831003658644	-9.47491623970118	7.05787891934489	5.41062308808068	-1.31283912206831	-10.0648747732081	2.23895064101449	-5.03650053468688
