"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"case 1"	"case 2"	"case 3"	"case 4"
"g1"	-6.79818944604452	-11.4425250361121	3.59866923884379	8.37395583586621	-11.7605314086629	-0.467084216061611	-2.62683605629492	4.25166057930381
"g2"	-0.235590983976294	-6.54209525352057	17.5468031182703	0.117781632457147	-2.10548503345721	9.11270932126179	-2.646868304435	14.1982817318307
"g3"	-4.19937624159951	-8.18725083399007	-2.15193378362251	-1.60548411909428	17.5871736435885	-1.56568706038648	-26.7670606077155	-8.57116791339656
"g4"	-11.8188422036123	-15.4572585241331	-4.28165436300086	-0.357668471206835	-8.31927247690117	-5.95188485762265	4.13821010525399	-0.296878977177959
"g5"	12.7384953697538	-19.4592604431913	-6.12289917940114	-0.0458275295528556	10.5205633575265	-3.81668354466373	2.44077944443202	-10.9121120195205
"g6"	-7.87281071225006	-0.127673358217606	5.96068349490644	2.64570082041651	-18.9574310452313	8.48786302280914	5.81753471562969	-9.61513761951378
"g7"	-3.8905591228313	7.79999419442217	12.0475157351081	-9.99816314488422	6.35797332655458	-0.136417561672413	7.67584601811982	-1.22943221211613
"g8"	-5.27602941234662	-4.79386703394447	-0.821496046225516	-5.3150408630572	8.11941009413662	-27.2480440674835	7.06109440607361	-1.77157843207675
"g9"	15.1197565487601	9.16333906969591	5.25648786233576	-3.41974242553695	6.97961066198076	13.0814741277838	11.2523920769131	30.4837282701688
"g10"	7.99044205267827	13.4363503729163	-4.42108588024208	-6.90128789254154	3.6349538742113	12.0949181456166	-13.7545419234085	-6.96958056548584
"g11"	-11.3891788661985	-4.29926241379235	22.2937161641398	10.3308065468772	-7.02109689481393	7.49123945723745	-9.82031446369915	-4.0692928824658
"g12"	-4.36054154790253	11.5542408745895	-10.7662744607894	-15.0292107846502	0.0866144006589936	6.47874615272776	15.7554211753217	3.42771634669358
"g13"	-9.86210137851938	-11.6212768782229	17.4240657455538	30.855911188429	9.63873831872423	-4.75935098229715	-10.4930199623409	-2.5395265640209
"g14"	27.1675916392143	-19.954138968331	2.0266659182089	5.92532281961859	4.54582524900343	25.7363471719586	-5.10830709366679	13.0926807229461
"g15"	23.9837993802441	-7.7302991171227	8.02270441653688	-3.09566335880531	7.35925177697836	-1.109828548197	2.82809043637082	19.0565660015662
"g16"	9.21811762788925	5.765092491431	30.0129527116631	-10.1065129421779	-7.89772095094024	-12.81574425785	10.97410149601	-30.8713715117059
"g17"	5.12296525865844	-6.05669610198981	-8.73691357355706	-4.92399648713577	13.2902575113743	5.77599615803903	1.92093681600214	-0.586867966450754
"g18"	12.813354103321	2.3126209325923	6.92074693059803	12.2286099106802	8.65652798373299	4.9364524990197	6.94655811159985	-5.16637918142969
"g19"	-13.8567224682224	5.55046464513084	-5.45619639788298	-3.83072562780953	16.5626607294896	-13.6888279584574	0.623408013769103	6.67976168058028
"g20"	-3.85776320731076	-15.6383301267057	12.6903954362764	-1.02268966216921	11.1815581606612	5.89682052522535	10.7927094655985	-12.4840822130262
"g21"	-2.46805942825446	4.88389324005575	6.2888669914915	18.9843674490621	3.18097071886667	3.08754204561847	-5.3611039316058	-21.6409565523465
"g22"	1.13276447073114	-4.98001138887318	-9.71383215478429	12.3245236910249	-11.2868218088205	6.61866830283179	-4.53675885697654	8.74148357854171
"g23"	10.2583276810225	-7.32108736870376	22.6156737055508	1.07076560902024	8.93370407217953	9.21894451193072	-14.1119856382773	-3.15003710472153
"g24"	-8.66540680321376	-14.1610669024977	6.39814630102041	7.33923842850932	-12.6271161973587	16.9358881432053	-7.62488248067524	-1.01239184108006
"g25"	10.1168706076983	0.0221256839537086	8.9574980045478	-7.75826431067978	-13.7954190154315	6.11392351230079	-24.5698449553397	19.7411760647605
"g26"	11.985016978831	1.51122206208114	13.4572710833246	-3.30826812613594	-5.41621051632727	2.2070331140667	-5.18175708039711	-3.1393633401065
"g27"	-3.16319943908494	-13.1379328214294	0.351512770525537	-5.24163312111025	-8.22939484843394	1.41825823162789	-13.0823957085848	12.7036151381002
"g28"	5.79278755816381	16.9667083185429	3.77296829876451	12.6811004133621	6.96053136183815	-1.78951488635159	-10.7570458404959	14.8021869923349
"g29"	-23.3479949530036	6.51353879841816	-16.5992479769925	8.76518231079921	-3.59645983163855	-4.89377441866769	12.9702492776489	-10.8562266739398
"g30"	-3.57798655801552	-17.6235792176853	4.05943007713654	-16.9658867419717	-3.98452394716025	0.187540908193388	11.47423751394	3.69223245283474
"g31"	3.74425114214337	-1.89430754083908	-0.0307530941218967	2.70973296871023	-4.1125481105124	-0.662718987964094	7.80005695385682	-2.897348265667
"g32"	-10.2274231631775	-0.967395172977281	-3.37337564510969	-1.85386988287564	11.3238604951215	10.0739340286533	-7.20618079162391	0.303190369605111
"g33"	-11.6403334904669	16.3248642191106	2.04186771356648	4.49632572770392	5.02382113645221	-8.3631827816618	8.60332779502323	13.5995407720849
"g34"	14.7772372771583	18.4579025191983	7.24566721541792	15.1600006835257	-13.0202230094294	-1.5209082060176	3.81615075323316	-6.86690133510077
"g35"	-9.26279326646596	-18.1167866738247	24.3097207663746	1.33653828161493	-11.3525507652717	-1.29340434867877	-3.84639169871212	6.84612562093075
"g36"	-2.35848523638247	0.325428507854463	1.10758961208065	9.98847596994743	7.18239949921323	-19.6869413134136	1.25318163314823	-8.44592202255657
"g37"	4.49539835146537	-1.63052883244009	4.41462452572832	0.51024544554012	2.20503931268181	19.7681618727069	-0.823276466080428	-5.63310167131332
"g38"	1.19844158737895	5.01876027262653	-5.94639183960692	7.53682004160784	-7.74369886322135	-3.73883420792852	-11.6213339662576	-6.45614440642264
"g39"	3.49551129696243	-4.60714198765475	26.8236801798455	-5.76198117509863	-10.9885201455185	12.1584107853146	7.98433824962998	-11.9898135281912
"g40"	-8.75086378551438	-1.90588134751167	13.3303363238127	12.5367756304935	0.649392563022321	-14.5834089907348	-6.09988760822052	-5.14464894277607
"g41"	-4.05866837277892	0.486718558846264	-4.46642637920996	-7.68269528621078	-19.2411169395155	0.914378971817963	14.0996735584528	27.5286960300527
"g42"	-1.74493972087429	4.14726495904187	-1.25178379502069	16.9212827508146	-2.16347983040321	5.74113237877525	4.3089849075517	-2.23216297839942
"g43"	-7.68296053922767	5.77022104624403	-1.2258687191277	-19.2318080666277	7.95004586101896	-8.19862338246339	-12.155668835674	17.225651690608
"g44"	12.6440738763992	9.03599938609139	2.26561337884404	11.641441989637	-14.6206710565322	-2.7076909989733	4.51855908034808	8.41472096742327
"g45"	8.92666171659662	-8.80674451819317	-4.0203742846299	2.25284732625845	14.0918477149241	-5.38136326000734	-2.72836612483269	-8.58860542928392
"g46"	19.2641214506142	5.38594818791095	-1.13080883669436	-6.71909150902964	15.2575696220228	-0.494579199290142	-1.33987637002676	-8.21145562494065
"g47"	16.3889490489201	3.51498446588263	-11.2211870464883	5.47393175088139	20.6558349772624	13.4532809630495	11.3151086828236	10.1667756638331
"g48"	-3.12317273055299	-6.30230885922282	5.88692083031623	9.23406802777625	-15.4152498216201	5.30796461432952	-5.0277810408483	-1.93986536827151
"g49"	-13.4878872316782	10.8264338897689	-9.59255461197384	-5.89194985713584	-13.5524293682082	9.25388129949375	10.8951357022282	-2.51876649757391
"g50"	1.17546182478947	-3.37207783549588	-7.92088664353452	-11.5376312608692	5.79194688005475	16.94340682142	9.88763411815008	-11.3248587163671
"g51"	2.17894382166719	0.963503773347934	-17.2790164036077	9.18116730078132	24.873152670809	-3.18631751651314	17.0538479822941	-14.5877310561322
"g52"	4.6754966343415	7.89799432076212	-15.442871055885	11.6650517482366	-14.9992968128959	-9.14659944438982	10.0097293566742	-9.61337515245795
"g53"	-16.1231532745814	-1.40779909461833	-1.31316209840835	-10.3537199055866	-4.81276083709175	6.97340831075994	-1.35819525779951	0.346640064781509
"g54"	-7.33008291124128	-1.72813780583828	-2.93218983859821	-4.28625090394626	-9.23948396388834	-3.17496034518484	0.380927176316919	-18.3280632364527
"g55"	-9.54697908237254	0.824689875405361	-7.21262394875779	13.4621799048619	-12.8817102899858	7.91614330385986	12.70008262889	13.423218931597
"g56"	-13.6692604686519	17.8065021744542	4.65378673213112	4.69202635325377	-3.76203764252917	22.8840938589307	-4.05208052761947	-9.05032127303359
